"","budget","at","bb","extinct","","","","","","","","","","","","","","","","","","","","","","",""
"1",1000,0,0,0,1,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"2",1000,0,0,0,2,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"3",1000,0,0,0,3,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"4",1000,0,0,0,4,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"5",1000,0,0,0,5,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"6",1000,0,0,0,6,1000,1000,20,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"7",1000,0,0,0,7,1000,1000,13,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"8",1000,0,0,0,8,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"9",1000,0,0,0,9,1000,1000,23,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"10",1000,0,0,0,10,1000,1000,19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"11",1000,0,0,0,11,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"12",1000,0,0,0,12,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"13",1000,0,0,0,13,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"14",1000,0,0,0,14,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"15",1000,0,0,0,15,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"16",1000,0,0,0,16,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"17",1000,0,0,0,17,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"18",1000,0,0,0,18,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"19",1000,0,0,0,19,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"20",1000,0,0,0,20,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"21",1000,0,0,0,21,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"22",1000,0,0,0,22,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"23",1000,0,0,0,23,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"24",1000,0,0,0,24,1000,1000,30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"25",1000,0,0,0,25,1000,1000,21,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"26",1000,0,0,0,26,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"27",1000,0,0,0,27,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"28",1000,0,0,0,28,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"29",1000,0,0,0,29,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"30",1000,0,0,0,30,1000,1000,12,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"31",1000,0,0,0,31,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"32",1000,0,0,0,32,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"33",1000,0,0,0,33,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"34",1000,0,0,0,34,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"35",1000,0,0,0,35,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"36",1000,0,0,0,36,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"37",1000,0,0,0,37,1000,1000,20,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"38",1000,0,0,0,38,1000,1000,19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"39",1000,0,0,0,39,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"40",1000,0,0,0,40,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"41",1000,0,0,0,41,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"42",1000,0,0,0,42,1000,1000,13,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"43",1000,0,0,0,43,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"44",1000,0,0,0,44,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"45",1000,0,0,0,45,1000,1000,19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"46",1000,0,0,0,46,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"47",1000,0,0,0,47,1000,1000,18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"48",1000,0,0,0,48,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"49",1000,0,0,0,49,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"50",1000,0,0,0,50,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"51",1000,0,0,0,51,1000,1000,13,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"52",1000,0,0,0,52,1000,1000,18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"53",1000,0,0,0,53,1000,1000,18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"54",1000,0,0,0,54,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"55",1000,0,0,0,55,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"56",1000,0,0,0,56,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"57",1000,0,0,0,57,1000,1000,13,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"58",1000,0,0,0,58,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"59",1000,0,0,0,59,1000,1000,13,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"60",1000,0,0,0,60,1000,1000,19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"61",1000,0,0,0,61,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"62",1000,0,0,0,62,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"63",1000,0,0,0,63,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"64",1000,0,0,0,64,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"65",1000,0,0,0,65,1000,1000,19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"66",1000,0,0,0,66,1000,1000,12,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"67",1000,0,0,0,67,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"68",1000,0,0,0,68,1000,1000,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"69",1000,0,0,0,69,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"70",1000,0,0,0,70,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"71",1000,0,0,0,71,1000,1000,18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"72",1000,0,0,0,72,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"73",1000,0,0,0,73,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"74",1000,0,0,0,74,1000,1000,18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"75",1000,0,0,0,75,1000,1000,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"76",1000,0,0,0,76,1000,1000,18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"77",1000,0,0,0,77,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"78",1000,0,0,0,78,1000,1000,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"79",1000,0,0,0,79,1000,1000,19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"80",1000,0,0,0,80,1000,1000,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"81",1000,0,0,0,81,1000,1000,22,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
