"","budget","at","bb","extinct","","","","","","","","","","","","","","","","","","","","","","",""
"1",1000,0,0,0,1,1000,1000,59,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"2",1000,0,0,0,2,1000,1000,69,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"3",1000,0,0,0,3,1000,1000,60,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"4",1000,0,0,0,4,1000,1000,61,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"5",1000,0,0,0,5,1000,1000,57,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"6",1000,0,0,0,6,1000,1000,50,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"7",1000,0,0,0,7,1000,1000,72,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"8",1000,0,0,0,8,1000,1000,65,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"9",1000,0,0,0,9,1000,1000,43,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"10",1000,0,0,0,10,1000,1000,52,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"11",1000,0,0,0,11,1000,1000,60,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"12",1000,0,0,0,12,1000,1000,65,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"13",1000,0,0,0,13,1000,1000,59,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"14",1000,0,0,0,14,1000,1000,60,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"15",1000,0,0,0,15,1000,1000,68,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"16",1000,0,0,0,16,1000,1000,65,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"17",1000,0,0,0,17,1000,1000,70,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"18",1000,0,0,0,18,1000,1000,64,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"19",1000,0,0,0,19,1000,1000,65,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"20",1000,0,0,0,20,1000,1000,61,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"21",1000,0,0,0,21,1000,1000,59,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"22",1000,0,0,0,22,1000,1000,60,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"23",1000,0,0,0,23,1000,1000,69,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"24",1000,0,0,0,24,1000,1000,33,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"25",1000,0,0,0,25,1000,1000,47,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"26",1000,0,0,0,26,1000,1000,56,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"27",1000,0,0,0,27,1000,1000,62,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"28",1000,0,0,0,28,1000,1000,70,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"29",1000,0,0,0,29,1000,1000,70,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"30",1000,0,0,0,30,1000,1000,78,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"31",1000,0,0,0,31,1000,1000,58,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"32",1000,0,0,0,32,1000,1000,58,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"33",1000,0,0,0,33,1000,1000,69,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"34",1000,0,0,0,34,1000,1000,60,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"35",1000,0,0,0,35,1000,1000,64,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"36",1000,0,0,0,36,1000,1000,62,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"37",1000,0,0,0,37,1000,1000,50,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"38",1000,0,0,0,38,1000,1000,52,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"39",1000,0,0,0,39,1000,1000,67,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"40",1000,0,0,0,40,1000,1000,61,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"41",1000,0,0,0,41,1000,1000,60,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"42",1000,0,0,0,42,1000,1000,73,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"43",1000,0,0,0,43,1000,1000,59,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"44",1000,0,0,0,44,1000,1000,62,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"45",1000,0,0,0,45,1000,1000,51,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"46",1000,0,0,0,46,1000,1000,59,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"47",1000,0,0,0,47,1000,1000,55,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"48",1000,0,0,0,48,1000,1000,61,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"49",1000,0,0,0,49,1000,1000,61,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"50",1000,0,0,0,50,1000,1000,67,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"51",1000,0,0,0,51,1000,1000,75,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"52",1000,0,0,0,52,1000,1000,55,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"53",1000,0,0,0,53,1000,1000,54,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"54",1000,0,0,0,54,1000,1000,65,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"55",1000,0,0,0,55,1000,1000,63,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"56",1000,0,0,0,56,1000,1000,68,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"57",1000,0,0,0,57,1000,1000,74,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"58",1000,0,0,0,58,1000,1000,57,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"59",1000,0,0,0,59,1000,1000,73,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"60",1000,0,0,0,60,1000,1000,52,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"61",1000,0,0,0,61,1000,1000,60,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"62",1000,0,0,0,62,1000,1000,59,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"63",1000,0,0,0,63,1000,1000,57,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"64",1000,0,0,0,64,1000,1000,61,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"65",1000,0,0,0,65,1000,1000,52,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"66",1000,0,0,0,66,1000,1000,77,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"67",1000,0,0,0,67,1000,1000,66,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"68",1000,0,0,0,68,1000,1000,69,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"69",1000,0,0,0,69,1000,1000,65,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"70",1000,0,0,0,70,1000,1000,65,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"71",1000,0,0,0,71,1000,1000,55,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"72",1000,0,0,0,72,1000,1000,64,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"73",1000,0,0,0,73,1000,1000,59,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"74",1000,0,0,0,74,1000,1000,54,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"75",1000,0,0,0,75,1000,1000,63,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"76",1000,0,0,0,76,1000,1000,53,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"77",1000,0,0,0,77,1000,1000,57,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"78",1000,0,0,0,78,1000,1000,60,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"79",1000,0,0,0,79,1000,1000,51,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"80",1000,0,0,0,80,1000,1000,57,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"81",1000,0,0,0,81,1000,1000,44,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"82",1000,0,0,0,82,1000,1000,66,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"83",1000,0,0,0,83,1000,1000,63,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"84",1000,0,0,0,84,1000,1000,69,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"85",1000,0,0,0,85,1000,1000,57,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"86",1000,0,0,0,86,1000,1000,61,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"87",1000,0,0,0,87,1000,1000,66,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"88",1000,0,0,0,88,1000,1000,55,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"89",1000,0,0,0,89,1000,1000,56,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"90",1000,0,0,0,90,1000,1000,63,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"91",1000,0,0,0,91,1000,1000,60,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"92",1000,0,0,0,92,1000,1000,66,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
