"","budget","at","bb","extinct","","","","","","","","","","","","","","","","","","","","","","",""
"1",1000,0,0,0,1,1000,1000,11846,81014,91100,61598,71523,68275,68670,68365,68559,68908,67753,68919,67944,68224,69091,68906,68770,68420,69079,68493
"2",1000,0,0,0,2,1000,1000,11826,81088,90283,62043,71455,67987,68755,68935,68828,68467,69115,68700,68983,68902,68509,69394,68654,68810,69046,68891
"3",1000,0,0,0,3,1000,1000,11844,80603,90397,62475,70764,67902,68906,68544,68847,68514,68714,68677,68998,68749,68796,69092,68485,69299,68670,68792
"4",1000,0,0,0,4,1000,1000,11850,80563,89348,63059,70639,68612,68549,68875,69273,68464,68929,68877,68511,68594,69470,68616,68912,68534,67989,69516
"5",1000,0,0,0,5,1000,1000,11840,80832,90266,62668,71138,67682,69018,68952,68543,68654,68650,68621,68936,68682,68676,68649,68698,69019,68507,68772
"6",1000,0,0,0,6,1000,1000,11844,80480,91085,62281,71747,67580,69009,68439,68625,69442,69183,68498,68719,67998,68966,67893,69130,68774,68892,68592
"7",1000,0,0,0,7,1000,1000,11863,81203,89505,62694,71068,68096,69057,68662,68619,68582,68484,68645,68713,68653,68901,68602,69321,69032,68905,68457
"8",1000,0,0,0,8,1000,1000,11801,80710,90856,62210,71693,68078,68890,68578,68527,68664,68628,68638,68761,68917,68581,68483,68731,69269,68425,69336
"9",1000,0,0,0,9,1000,1000,11800,80216,92749,61659,71968,68300,69460,69025,69061,69054,68508,69167,68596,68695,68629,68640,68976,68448,68677,68650
"10",1000,0,0,0,10,1000,1000,11827,80426,91690,61815,71446,68355,69086,69157,68918,68606,69007,68775,68453,68679,68817,68584,68599,68859,69059,68549
"11",1000,0,0,0,11,1000,1000,11834,81004,91906,61891,71800,68203,69131,68487,68650,69326,69290,69087,69211,68659,69044,69237,68533,68752,68649,68626
"12",1000,0,0,0,12,1000,1000,11839,80661,90195,62382,71664,67756,68869,69026,68732,68908,68536,69360,68689,68649,68632,69442,68451,69475,68821,68693
"13",1000,0,0,0,13,1000,1000,11838,80741,89859,62473,71432,67839,68936,68885,68500,68626,68678,68677,68661,69305,68605,69311,68459,68821,69393,68406
"14",1000,0,0,0,14,1000,1000,11824,80150,89724,62553,71518,68406,69445,69033,68403,68774,69426,68252,69020,68990,68841,68670,69154,68508,68548,68550
"15",1000,0,0,0,15,1000,1000,11892,81184,90087,62798,71397,68346,69002,68438,68685,68721,68620,68645,68620,68579,69020,69147,69092,69081,68497,68615
"16",1000,0,0,0,16,1000,1000,11822,80717,89867,63025,71483,67584,68905,69376,68387,68728,68556,68661,68966,68919,68539,68609,69149,68469,68601,68741
"17",1000,0,0,0,17,1000,1000,11832,80927,90402,62647,71602,67925,69617,68887,69242,69133,69212,68719,68914,68564,68640,69013,68518,69422,68455,68701
"18",1000,0,0,0,18,1000,1000,11874,81104,90048,62855,71489,68522,69382,69209,68440,69354,68341,69423,68366,68758,68603,68556,68640,68658,68760,68732
"19",1000,0,0,0,19,1000,1000,11842,80748,90717,62697,71615,67615,69073,68513,69445,68836,68647,69378,68624,68586,69461,68892,68909,69236,69178,69195
"20",1000,0,0,0,20,1000,1000,11814,80465,90420,62296,71654,68117,69492,68987,69193,68442,68690,68749,68632,68662,68882,68481,68683,68579,68621,68592
"21",1000,0,0,0,21,1000,1000,11831,80560,90610,62416,71601,68269,69192,68776,68685,68542,68940,69094,68807,68616,68877,68579,68677,68376,69411,68774
"22",1000,0,0,0,22,1000,1000,11841,81075,91612,62282,71655,67869,69528,68267,68736,68627,69098,68417,68753,68467,68740,69105,68543,68692,68593,68937
"23",1000,0,0,0,23,1000,1000,11824,81111,91636,62246,71797,68143,69475,69033,69157,68713,68522,68614,68733,68618,69371,68598,68619,68953,68722,68572
"24",1000,0,0,0,24,1000,1000,11810,78764,91933,62413,71827,68430,69334,68413,69328,68360,69489,68648,68592,68755,68744,68634,69445,68413,68922,69242
"25",1000,0,0,0,25,1000,1000,11835,80439,91421,62043,71803,67951,69131,68678,68640,68549,68674,68917,69216,68428,68666,69353,68584,68927,68385,68775
"26",1000,0,0,0,26,1000,1000,11849,80831,91324,62478,71607,68126,68792,69335,68305,68809,68537,69328,68360,69082,68457,68923,69324,68510,69082,69153
"27",1000,0,0,0,27,1000,1000,11889,80975,90743,62223,71018,67757,69732,68380,68847,69137,69117,68542,69021,68504,68669,68608,68696,68372,68741,69082
