"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","overK"
"1",1,1000,0,0,0,67.493,67.493,14.5485668246267,0.545125528591508,0,1
"2",2,1000,0,0,0,67.891,67.891,13.736952582895,0.570352784150445,0,1
"3",3,1000,0,0,0,67.792,67.792,12.9287812587291,0.631871722670825,0,1
"4",4,1000,0,0,0,68.516,68.516,13.8234899510712,0.458881619655027,0,1
"5",5,1000,0,0,0,67.772,67.772,14.2460993781993,0.508061539264787,0,1
"6",6,1000,0,0,0,67.592,67.592,14.3445089773977,0.543655910489991,0,1
"7",7,1000,0,0,0,67.457,67.457,13.8142479427234,0.532815352265312,0,1
"8",8,1000,0,0,0,68.336,68.336,13.24790571137,0.448618486124939,0,1
"9",9,1000,0,0,0,67.65,67.65,14.5523537892921,0.582083872155547,0,1
"10",10,1000,0,0,0,67.549,67.549,14.193070949898,0.621403601156476,0,1
"11",11,1000,0,0,0,67.626,67.626,14.0766321765911,0.465536292515684,0,1
"12",12,1000,0,0,0,67.693,67.693,12.8181863770743,0.498331375859402,0,1
"13",13,1000,0,0,0,67.406,67.406,13.5350273426558,0.570864804566659,0,1
"14",14,1000,0,0,0,67.55,67.55,14.4115403119606,0.454311232739968,0,1
"15",15,1000,0,0,0,67.615,67.615,13.388738915468,0.545426563872476,0,1
"16",16,1000,0,0,0,67.741,67.741,14.3922379098735,0.581153947733389,0,1
"17",17,1000,0,0,0,67.701,67.701,12.4668439488798,0.526601166913832,0,1
"18",18,1000,0,0,0,67.732,67.732,14.2178608461203,0.631527630685959,0,1
"19",19,1000,0,0,0,68.195,68.195,13.2735304103305,0.567445861423038,0,1
"20",20,1000,0,0,0,67.592,67.592,14.466871822851,0.552013182120107,0,1
"21",21,1000,0,0,0,67.774,67.774,14.6016942831089,0.556975726622687,0,1
"22",22,1000,0,0,0,67.937,67.937,14.3865998735083,0.600281213420367,0,1
"23",23,1000,0,0,0,67.572,67.572,13.7259147723372,0.503273933565753,0,1
"24",24,1000,0,0,0,68.242,68.242,14.7006882131158,0.56401415996144,0,1
"25",25,1000,0,0,0,67.775,67.775,14.4653110353384,0.605827705561272,0,1
"26",26,1000,0,0,0,68.153,68.153,14.2335662581503,0.54850455032631,0,1
"27",27,1000,0,0,0,68.082,68.082,14.5721367388052,0.589026554432831,0,1
"28",28,1000,0,0,0,67.617,67.617,14.426512779701,0.544211752759081,0,1
"29",29,1000,0,0,0,67.545,67.545,13.3979598556414,0.423222837952263,0,1
"30",30,1000,0,0,0,67.628,67.628,14.2220338600098,0.468484859980577,0,1
"31",31,1000,0,0,0,68.408,68.408,13.6974595978183,0.515522679104503,0,1
"32",32,1000,0,0,0,67.31,67.31,14.7876705291194,0.556768075887427,0,1
"33",33,1000,0,0,0,67.695,67.695,13.3175418752236,0.487563745779679,0,1
"34",34,1000,0,0,0,67.771,67.771,14.3288698610948,0.576329928582736,0,1
"35",35,1000,0,0,0,68.073,68.073,15.7015849778194,0.601958429216786,0,1
"36",36,1000,0,0,0,67.687,67.687,12.9399062322239,0.459040199626623,0,1
"37",37,1000,0,0,0,67.68,67.68,13.3814897222659,0.544305459720008,0,1
"38",38,1000,0,0,0,67.555,67.555,14.7525054887339,0.440395720877642,0,1
"39",39,1000,0,0,0,68.176,68.176,13.8613114982918,0.549383772112494,0,1
"40",40,1000,0,0,0,67.711,67.711,13.287640068855,0.457222489181362,0,1
"41",41,1000,0,0,0,67.683,67.683,14.5760555282038,0.577999348918376,0,1
"42",42,1000,0,0,0,68.39,68.39,14.4460421315633,0.618704798817978,0,1
"43",43,1000,0,0,0,67.332,67.332,14.0562444154836,0.565518228804622,0,1
"44",44,1000,0,0,0,68.643,68.643,13.9934595041211,0.528957903321469,0,1
"45",45,1000,0,0,0,67.548,67.548,15.1605905234816,0.46733008249878,0,1
"46",46,1000,0,0,0,68.352,68.352,14.8416296409537,0.519877120354603,0,1
"47",47,1000,0,0,0,67.894,67.894,14.8433076047177,0.621148670266475,0,1
"48",48,1000,0,0,0,67.558,67.558,13.6209317394189,0.544840721319204,0,1
"49",49,1000,0,0,0,67.356,67.356,14.588925267845,0.481007241815106,0,1
"50",50,1000,0,0,0,67.36,67.36,13.8149111122565,0.489153457067185,0,1
"51",51,1000,0,0,0,66.952,66.952,14.3991248885813,0.590586891679914,0,1
"52",52,1000,0,0,0,68.184,68.184,15.8009254243136,0.57545220947586,0,1
"53",53,1000,0,0,0,67.291,67.291,14.3853526645261,0.627274207637376,0,1
"54",54,1000,0,0,0,67.782,67.782,12.5752338556871,0.645724272224449,0,1
"55",55,1000,0,0,0,68.032,68.032,14.4819268984262,0.543179693148689,0,1
"56",56,1000,0,0,0,68.411,68.411,15.0540999497425,0.536490462969307,0,1
"57",57,1000,0,0,0,67.44,67.44,15.3071004687888,0.642412057569474,0,1
"58",58,1000,0,0,0,67.436,67.436,13.9517709139094,0.527866147234443,0,1
