"","budget","at","bb","extinct","","","","","","","",""
"1",1000,0,0,0,1,1000,1000,14,100,100,100,100
"2",1000,0,0,0,2,1000,1000,16,100,100,100,100
"3",1000,0.1,0,0,1,1000,1000,15,100,100,100,100
"4",1000,0.1,0,0,2,1000,1000,20,100,100,100,100
"5",1000,0.1,0.1,0,1,1000,1000,16,100,100,100,100
"6",1000,0.1,0.1,0,2,1000,1000,17,100,100,100,100
"7",1000,0.1,0.2,0,1,1000,1000,16,100,100,100,100
"8",1000,0.1,0.2,0,2,1000,1000,16,100,100,100,100
"9",1000,0.1,0.3,0,1,1000,1000,14,100,100,100,100
"10",1000,0.1,0.3,0,2,1000,1000,19,100,100,100,100
"11",1000,0.1,0.4,0,1,1000,1000,16,100,100,100,100
"12",1000,0.1,0.4,0,2,1000,1000,21,100,100,100,100
"13",1000,0.1,0.5,0,1,1000,1000,12,100,100,100,100
"14",1000,0.1,0.5,0,2,1000,1000,14,100,100,100,100
"15",1000,0.1,0.6,0,1,1000,1000,15,100,100,100,100
"16",1000,0.1,0.6,0,2,1000,1000,18,100,100,100,100
"17",1000,0.1,0.7,0,1,1000,1000,20,100,100,100,100
"18",1000,0.1,0.7,0,2,1000,1000,22,100,100,100,100
"19",1000,0.1,0.8,0,1,1000,1000,18,100,100,100,100
"20",1000,0.1,0.8,0,2,1000,1000,18,100,100,100,100
"21",1000,0.1,0.9,0,1,1000,1000,20,100,100,100,100
"22",1000,0.1,0.9,0,2,1000,1000,14,100,100,100,100
"23",1000,0.1,1,0,1,1000,1000,16,100,100,100,100
"24",1000,0.1,1,0,2,1000,1000,18,100,100,100,100
