"","budget","at","bb","extinct","","","","","","","",""
"1",1000,0,0,0,1,1000,1000,1000,1000,1000,1000,1000
"2",1000,0,0,0,2,1000,1000,1000,1000,1000,1000,1000
"3",1000,0.1,0,0,1,1000,1000,1000,1000,1000,1000,1000
"4",1000,0.1,0,0,2,1000,1000,1000,1000,1000,1000,1000
"5",1000,0.1,0.1,0,1,1000,1000,1000,1000,1000,1000,1000
"6",1000,0.1,0.1,0,2,1000,1000,1000,1000,1000,1000,1000
"7",1000,0.1,0.2,0,1,1000,1000,1000,1000,1000,1000,1000
"8",1000,0.1,0.2,0,2,1000,1000,1000,1000,1000,1000,1000
"9",1000,0.1,0.3,0,1,1000,1000,1000,1000,1000,1000,1000
"10",1000,0.1,0.3,0,2,1000,1000,1000,1000,1000,1000,1000
"11",1000,0.1,0.4,0,1,1000,1000,1000,1000,1000,1000,1000
"12",1000,0.1,0.4,0,2,1000,1000,1000,1000,1000,1000,1000
"13",1000,0.1,0.5,0,1,1000,1000,1000,1000,1000,1000,1000
"14",1000,0.1,0.5,0,2,1000,1000,1000,1000,1000,1000,1000
"15",1000,0.1,0.6,0,1,1000,1000,1000,1000,1000,1000,1000
"16",1000,0.1,0.6,0,2,1000,1000,1000,1000,1000,1000,1000
"17",1000,0.1,0.7,0,1,1000,1000,1000,1000,1000,1000,1000
"18",1000,0.1,0.7,0,2,1000,1000,1000,1000,1000,1000,1000
"19",1000,0.1,0.8,0,1,1000,1000,1000,1000,1000,1000,1000
"20",1000,0.1,0.8,0,2,1000,1000,1000,1000,1000,1000,1000
"21",1000,0.1,0.9,0,1,1000,1000,1000,1000,1000,1000,1000
"22",1000,0.1,0.9,0,2,1000,1000,1000,1000,1000,1000,1000
"23",1000,0.1,1,0,1,1000,1000,1000,1000,1000,1000,1000
"24",1000,0.1,1,0,2,1000,1000,1000,1000,1000,1000,1000
