"","budget","at","bb","extinct","","","","","","","",""
"1",1000,0,0,0,1,1000,1000,69,10,10,10,10
"2",1000,0,0,0,2,1000,1000,61,10,10,10,10
"3",1000,0.1,0,0,1,1000,1000,65,10,10,10,10
"4",1000,0.1,0,0,2,1000,1000,49,10,10,10,10
"5",1000,0.1,0.1,0,1,1000,1000,61,10,10,10,10
"6",1000,0.1,0.1,0,2,1000,1000,56,10,10,10,10
"7",1000,0.1,0.2,0,1,1000,1000,62,10,10,10,10
"8",1000,0.1,0.2,0,2,1000,1000,61,10,10,10,10
"9",1000,0.1,0.3,0,1,1000,1000,68,10,10,10,10
"10",1000,0.1,0.3,0,2,1000,1000,52,10,10,10,10
"11",1000,0.1,0.4,0,1,1000,1000,60,10,10,10,10
"12",1000,0.1,0.4,0,2,1000,1000,47,10,10,10,10
"13",1000,0.1,0.5,0,1,1000,1000,77,10,10,10,10
"14",1000,0.1,0.5,0,2,1000,1000,70,10,10,10,10
"15",1000,0.1,0.6,0,1,1000,1000,63,10,10,10,10
"16",1000,0.1,0.6,0,2,1000,1000,54,10,10,10,10
"17",1000,0.1,0.7,0,1,1000,1000,50,10,10,10,10
"18",1000,0.1,0.7,0,2,1000,1000,45,10,10,10,10
"19",1000,0.1,0.8,0,1,1000,1000,55,10,10,10,10
"20",1000,0.1,0.8,0,2,1000,1000,53,10,10,10,10
"21",1000,0.1,0.9,0,1,1000,1000,49,10,10,10,10
"22",1000,0.1,0.9,0,2,1000,1000,70,10,10,10,10
"23",1000,0.1,1,0,1,1000,1000,62,10,10,10,10
"24",1000,0.1,1,0,2,1000,1000,55,10,10,10,10
