"","budget","at","bb","extinct","","","","","","","",""
"1",1000,0,0,0,1,1000,1000,11864,81082,90065,62560,71564
"2",1000,0,0,0,2,1000,1000,11837,80974,91663,62167,71679
"3",1000,0.1,0,0,1,1000,1000,11859,81119,90834,62174,71772
"4",1000,0.1,0,0,2,1000,1000,11840,80566,93306,62178,71703
"5",1000,0.1,0.1,0,1,1000,1000,11856,81148,91510,62437,71186
"6",1000,0.1,0.1,0,2,1000,1000,11857,81006,91479,62019,71163
"7",1000,0.1,0.2,0,1,1000,1000,11831,80995,91384,62048,71820
"8",1000,0.1,0.2,0,2,1000,1000,11824,80777,91127,62268,71732
"9",1000,0.1,0.3,0,1,1000,1000,11836,81180,92026,61968,71839
"10",1000,0.1,0.3,0,2,1000,1000,11884,81152,91652,62473,71625
"11",1000,0.1,0.4,0,1,1000,1000,11819,80740,91319,62280,71289
"12",1000,0.1,0.4,0,2,1000,1000,11834,80268,91580,61993,71784
"13",1000,0.1,0.5,0,1,1000,1000,11819,81168,90512,62724,71492
"14",1000,0.1,0.5,0,2,1000,1000,11831,81323,92041,62108,71572
"15",1000,0.1,0.6,0,1,1000,1000,11864,81256,91596,61994,71719
"16",1000,0.1,0.6,0,2,1000,1000,11829,80505,90887,62458,71710
"17",1000,0.1,0.7,0,1,1000,1000,11867,80929,92331,61283,72100
"18",1000,0.1,0.7,0,2,1000,1000,11838,80741,93287,61855,71884
"19",1000,0.1,0.8,0,1,1000,1000,11854,81163,91791,62162,71747
"20",1000,0.1,0.8,0,2,1000,1000,11862,80900,91312,62279,71361
"21",1000,0.1,0.9,0,1,1000,1000,11859,80720,91632,62057,71301
"22",1000,0.1,0.9,0,2,1000,1000,11828,81067,91389,62298,70162
"23",1000,0.1,1,0,1,1000,1000,11857,81009,90957,62234,71771
"24",1000,0.1,1,0,2,1000,1000,11801,80446,91915,62039,71331
