"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","overK"
"1",1,1000,0,0,0,70.564,70.564,0.974794653082861,0.64874361209387,0,1
"2",2,1000,0,0,0,70.679,70.679,0.813759183178675,0.638756361558021,0,1
"3",1,1000,0.1,0,0,70.772,70.772,1.04989559047968,0.779704783660798,0,1
"4",2,1000,0.1,0,0,70.703,70.703,0.697953510584739,0.70002633306717,0,1
"5",1,1000,0.1,0.1,0,70.186,70.186,0.797172140287867,0.540973074597401,0,1
"6",2,1000,0.1,0.1,0,70.163,70.163,0.828472771614222,0.579628946218044,0,1
"7",1,1000,0.1,0.2,0,70.82,70.82,0.854444624418591,0.700059414720153,0,1
"8",2,1000,0.1,0.2,0,70.732,70.732,0.862517757738513,0.755676595630881,0,1
"9",1,1000,0.1,0.3,0,70.839,70.839,0.780029134558879,0.684147445812794,0,1
"10",2,1000,0.1,0.3,0,70.625,70.625,0.902295311176727,0.672784258161607,0,1
"11",1,1000,0.1,0.4,0,70.289,70.289,0.881994850549753,0.616563959441765,0,1
"12",2,1000,0.1,0.4,0,70.784,70.784,0.922322963764541,0.870826006465502,0,1
"13",1,1000,0.1,0.5,0,70.492,70.492,1.01023415681038,0.627352899779661,0,1
"14",2,1000,0.1,0.5,0,70.572,70.572,0.749874180987774,0.629224520717886,0,1
"15",1,1000,0.1,0.6,0,70.719,70.719,0.783918815971005,0.576671740104236,0,1
"16",2,1000,0.1,0.6,0,70.71,70.71,0.956428922651808,0.74281198200192,0,1
"17",1,1000,0.1,0.7,0,71.1,71.1,0.876045941955188,0.870898123803305,0,1
"18",2,1000,0.1,0.7,0,70.884,70.884,0.695484101240778,0.737359658914923,0,1
"19",1,1000,0.1,0.8,0,70.747,70.747,0.903852608117432,0.869818158206789,0,1
"20",2,1000,0.1,0.8,0,70.361,70.361,0.869130325689376,0.79080683155331,0,1
"21",1,1000,0.1,0.9,0,70.301,70.301,0.864841620052959,0.753229729044814,0,1
"22",2,1000,0.1,0.9,0,69.162,69.162,0.902671914328588,0.845947697077931,0,1
"23",1,1000,0.1,1,0,70.771,70.771,0.908607168865043,0.748296128866992,0,1
"24",2,1000,0.1,1,0,70.331,70.331,0.820802134011665,0.658855437498985,0,1
