"memory","budget","ratio","UT","BB","Extinct","rep","target","popInit","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20"
1,1000,0.5,0,0,1,2,2000,1000,36,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,4,2000,1000,45,60,60,60,39,60,60,25,60,60,60,60,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,6,2000,1000,31,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,8,2000,1000,29,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,10,2000,1000,33,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,12,2000,1000,31,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,14,2000,1000,44,60,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,16,2000,1000,42,60,60,60,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,18,2000,1000,22,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,20,2000,1000,44,60,14,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,22,2000,1000,46,60,60,40,60,16,60,60,60,60,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,24,2000,1000,37,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,26,2000,1000,27,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,28,2000,1000,46,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,30,2000,1000,42,60,60,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,32,2000,1000,30,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,34,2000,1000,31,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,36,2000,1000,37,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,38,2000,1000,38,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,40,2000,1000,28,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,42,2000,1000,39,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,44,2000,1000,24,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,46,2000,1000,34,60,60,60,60,60,36,60,60,60,60,60,60,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,48,2000,1000,40,60,20,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0
