"rep","memory","budget","ratio","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","SumAbsDev","final_ts"
1,0,1000,0.5,0.1,0,1,-0.9335,0.9335,39601.25,0.0172932330827068,0,8969,9
2,0,1000,0.5,0.1,0,1,-0.962,0.962,40000,0,0.0909090909090909,8918,11
3,0,1000,0.5,0.1,0,1,-0.938,0.938,39994,0.001,0,6640,5
4,0,1000,0.5,0.1,0,1,-0.9915,0.9915,40000,0,0,7311,5
5,0,1000,0.5,0.1,0,1,-0.9865,0.9865,39001.375,0.0243531202435312,0,5427,4
6,0,1000,0.5,0.1,0,1,-0.842,0.842,38973.75,0.0230964467005076,0,6195,6
7,0,1000,0.5,0.1,0,1,-0.945,0.945,40000,0,0.125,7933,8
8,0,1000,0.5,0.1,0,1,-0.9925,0.9925,40000,0,0,8186,7
9,0,1000,0.5,0.1,0,1,-0.955,0.955,40000,0,0.125,7758,8
10,0,1000,0.5,0.1,0,1,-0.8685,0.8685,39844.25,0.00750750750750751,0,7143,7
11,0,1000,0.5,0.1,0,1,-0.993,0.993,39022.5,0.0354060913705584,0,5452,4
12,0,1000,0.5,0.1,0,1,-0.909,0.909,39976,0.002,0,7708,8
13,0,1000,0.5,0.1,0,1,-0.8975,0.8975,39671.75,0.0170340681362725,0,6197,5
14,0,1000,0.5,0.1,0,1,-0.9835,0.9835,38970,0.0281868969019807,0,5399,4
15,0,1000,0.5,0.1,0,1,-0.897,0.897,39326.25,0.0224407463439233,0,7211,7
16,0,1000,0.5,0.1,0,1,-0.971,0.971,40000,0,0.222222222222222,7658,9
17,0,1000,0.5,0.1,0,1,-0.9825,0.9825,40000,0,0,8138,7
18,0,1000,0.5,0.1,0,1,-0.975,0.975,40000,0,0,9104,10
19,0,1000,0.5,0.1,0,1,-0.929,0.929,39982,0.002,0.125,7225,8
20,0,1000,0.5,0.1,0,1,-0.9885,0.9885,40000,0,0,9749,10
21,0,1000,0.5,0.1,0,1,-0.9925,0.9925,39063.25,0.0187484165188751,0,5454,4
22,0,1000,0.5,0.1,0,1,-0.9825,0.9825,40000,0,0,7092,5
23,0,1000,0.5,0.1,0,1,-0.932,0.932,40000,0,0,7382,7
24,0,1000,0.5,0.1,0,1,-0.9635,0.9635,39982,0.0025,0,7189,6
25,0,1000,0.5,0.1,0,1,-0.988,0.988,40000,0,0,7477,5
26,0,1000,0.5,0.1,0,1,-0.9935,0.9935,40000,0,0,7743,6
