"memory","budget","ratio","UT","BB","Extinct","rep","target","popInit","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20"
1,1000,0.1,0,0,1,2,2000,1000,90,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,4,2000,1000,76,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,6,2000,1000,52,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,8,2000,1000,71,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,10,2000,1000,52,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,2,2000,1000,90,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,4,2000,1000,76,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,6,2000,1000,52,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,8,2000,1000,71,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,10,2000,1000,52,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0,0,1,2,2000,1000,41,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0,0,1,4,2000,1000,40,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0,0,1,6,2000,1000,27,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0,0,1,8,2000,1000,50,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0,0,1,10,2000,1000,83,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0,0,1,2,2000,1000,33,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0,0,1,4,2000,1000,43,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0,0,1,6,2000,1000,35,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0,0,1,8,2000,1000,26,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0,0,1,10,2000,1000,32,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,2,2000,1000,31,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,4,2000,1000,23,16,16,100,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,6,2000,1000,27,16,16,16,58,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,8,2000,1000,27,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,10,2000,1000,28,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.6,0,0,1,2,2000,1000,29,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.6,0,0,1,4,2000,1000,20,52,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.6,0,0,1,6,2000,1000,27,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.6,0,0,1,8,2000,1000,18,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.6,0,0,1,10,2000,1000,37,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.7,0,0,1,2,2000,1000,18,76,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.7,0,0,1,4,2000,1000,16,90,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.7,0,0,1,6,2000,1000,18,83,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.7,0,0,1,8,2000,1000,17,83,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.7,0,0,1,10,2000,1000,27,12,12,34,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0
1,1000,0.8,0,0,1,2,2000,1000,19,76,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.8,0,0,1,4,2000,1000,19,11,62,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.8,0,0,1,6,2000,1000,21,11,11,100,11,11,11,11,100,11,11,52,11,11,11,11,11,11,0,0
1,1000,0.8,0,0,1,8,2000,1000,21,11,100,11,11,11,11,66,11,11,50,11,11,11,11,11,11,0,0,0
1,1000,0.8,0,0,1,10,2000,1000,18,83,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.9,0,0,0,2,2000,1000,17,10,29,10,10,76,10,10,10,10,10,100,10,10,10,10,100,10,10,100
1,1000,0.9,0,0,1,4,2000,1000,19,71,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
1,1000,0.9,0,0,0,6,2000,1000,20,30,10,10,35,10,10,45,10,10,10,10,34,10,55,10,10,10,10,10
1,1000,0.9,0,0,1,8,2000,1000,14,10,10,90,10,10,10,20,47,10,10,10,10,10,0,0,0,0,0,0
1,1000,0.9,0,0,1,10,2000,1000,19,66,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0.3,0,1,2,2000,1000,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0.3,0,1,4,2000,1000,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0.3,0,1,6,2000,1000,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0.3,0,1,8,2000,1000,76,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0.3,0,1,10,2000,1000,71,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0.3,0,1,2,2000,1000,35,33,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0.3,0,1,4,2000,1000,37,33,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0.3,0,1,6,2000,1000,33,33,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0.3,0,1,8,2000,1000,43,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0.3,0,1,10,2000,1000,45,33,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0.3,0,1,2,2000,1000,52,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0.3,0,1,4,2000,1000,38,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0.3,0,1,6,2000,1000,52,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0.3,0,1,8,2000,1000,43,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0.3,0,1,10,2000,1000,26,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0.3,0,1,2,2000,1000,41,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
