"memory","budget","ratio","UT","BB","Extinct","rep","target","popInit","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20"
1,1000,0.1,0,0,1,2,2000,1000,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,4,2000,1000,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,6,2000,1000,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,8,2000,1000,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,10,2000,1000,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,2,2000,1000,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,4,2000,1000,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,6,2000,1000,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,8,2000,1000,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,10,2000,1000,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0,0,1,2,2000,1000,300,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0,0,1,4,2000,1000,300,300,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0,0,1,6,2000,1000,300,300,300,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0,0,1,8,2000,1000,300,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0,0,1,10,2000,1000,300,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0,0,1,2,2000,1000,400,400,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0,0,1,4,2000,1000,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0,0,1,6,2000,1000,400,400,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0,0,1,8,2000,1000,400,400,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0,0,1,10,2000,1000,400,400,400,400,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,2,2000,1000,500,500,500,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,4,2000,1000,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,6,2000,1000,500,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,8,2000,1000,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,10,2000,1000,500,500,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.6,0,0,1,2,2000,1000,600,600,600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.6,0,0,1,4,2000,1000,600,600,600,600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.6,0,0,1,6,2000,1000,600,600,600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.6,0,0,1,8,2000,1000,600,600,600,600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.6,0,0,1,10,2000,1000,600,600,600,600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.7,0,0,1,2,2000,1000,700,700,700,700,700,700,700,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.7,0,0,1,4,2000,1000,700,700,700,700,700,700,700,700,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.7,0,0,1,6,2000,1000,700,700,700,700,700,700,700,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.7,0,0,1,8,2000,1000,700,700,700,700,700,700,700,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.7,0,0,1,10,2000,1000,700,700,700,700,700,700,700,700,700,700,700,0,0,0,0,0,0,0,0,0
1,1000,0.8,0,0,1,2,2000,1000,800,800,800,800,800,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0
