"rep","memory","budget","ratio","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","SumAbsDev","final_ts"
1,1,1000,0.1,0,0,1,-0.6185,0.6185,39832.75,0.0102551275637819,0,3492,3
2,1,1000,0.1,0,0,1,-0.615,0.615,40000,0,0,3486,3
3,1,1000,0.1,0,0,1,-0.6125,0.6125,40000,0,0,3471,3
4,1,1000,0.1,0,0,1,-0.614,0.614,40000,0,0,3477,3
5,1,1000,0.1,0,0,1,-0.6205,0.6205,39779.75,0.0165165165165165,0,3496,3
6,1,1000,0.1,0,0,1,-0.9915,0.9915,40000,0,0,5461,4
7,1,1000,0.1,0,0,1,-0.608,0.608,40000,0,0,3449,3
8,1,1000,0.1,0,0,1,-0.6185,0.6185,40000,0,0,3490,3
9,1,1000,0.1,0,0,1,-0.6095,0.6095,40000,0,0,3452,3
10,1,1000,0.1,0,0,1,-0.991,0.991,40000,0,0,5446,4
1,1,1000,0.2,0,0,1,-0.913,0.913,39922.25,0.00500250125062531,0,5092,4
2,1,1000,0.2,0,0,1,-0.9,0.9,39898.5,0.00575287643821911,0,4963,4
3,1,1000,0.2,0,0,1,-0.62,0.62,38573.25,0.0451539048588145,0,3505,3
4,1,1000,0.2,0,0,1,-0.608,0.608,38415.25,0.0273708558211257,0,3446,3
5,1,1000,0.2,0,0,1,-0.962,0.962,40000,0,0,5313,4
6,1,1000,0.2,0,0,1,-0.953,0.953,39988,0.0015,0,5247,4
7,1,1000,0.2,0,0,1,-0.9875,0.9875,40000,0,0,5402,4
8,1,1000,0.2,0,0,1,-0.612,0.612,39850.25,0.01,0,3459,3
9,1,1000,0.2,0,0,1,-0.607,0.607,39209.5,0.0192551304788447,0,3447,3
10,1,1000,0.2,0,0,1,-0.9865,0.9865,40000,0,0,5421,4
1,1,1000,0.3,0,0,1,-0.6255,0.6255,39594.75,0.0135610246107484,0,3523,3
2,1,1000,0.3,0,0,1,-0.6185,0.6185,38955,0.0258751902587519,0,3493,3
3,1,1000,0.3,0,0,1,-0.6205,0.6205,39820.75,0.00926157697121402,0,3507,3
4,1,1000,0.3,0,0,1,-0.99,0.99,39928,0.00350175087543772,0,5440,4
5,1,1000,0.3,0,0,1,-0.9895,0.9895,40000,0,0,6913,5
6,1,1000,0.3,0,0,1,-0.985,0.985,40000,0,0,6421,5
7,1,1000,0.3,0,0,1,-0.6205,0.6205,40000,0,0,3499,3
8,1,1000,0.3,0,0,1,-0.6185,0.6185,39856.25,0.012,0,3496,3
9,1,1000,0.3,0,0,1,-0.9635,0.9635,39778.5,0.00851703406813627,0,5284,4
10,1,1000,0.3,0,0,1,-0.618,0.618,40000,0,0,3488,3
1,1,1000,0.4,0,0,1,-0.9935,0.9935,39635.75,0.0120421475163071,0,5450,4
2,1,1000,0.4,0,0,1,-0.991,0.991,40000,0,0,6973,5
3,1,1000,0.4,0,0,1,-0.9585,0.9585,39940.25,0.00500250125062531,0,6656,6
4,1,1000,0.4,0,0,1,-0.6215,0.6215,39241.375,0.0345436207766011,0,3514,3
5,1,1000,0.4,0,0,1,-0.9595,0.9595,39982,0.002,0,6855,6
6,1,1000,0.4,0,0,1,-0.9675,0.9675,39994,0.001,0,6582,5
7,1,1000,0.4,0,0,1,-0.9325,0.9325,39886,0.0045045045045045,0,6437,6
8,1,1000,0.4,0,0,1,-0.937,0.937,39712.5,0.0105421686746988,0,5895,5
9,1,1000,0.4,0,0,1,-0.904,0.904,39641.875,0.0125502008032129,0,5948,5
10,1,1000,0.4,0,0,1,-0.965,0.965,40000,0,0,7344,7
1,1,1000,0.5,0,0,1,-0.932,0.932,39910,0.00350175087543772,0,6516,5
2,1,1000,0.5,0,0,1,-0.913,0.913,39797,0.0130260521042084,0,6311,5
3,1,1000,0.5,0,0,1,-0.975,0.975,40000,0,0,7003,5
4,1,1000,0.5,0,0,1,-0.8255,0.8255,39157.625,0.0227387569479535,0,6785,8
5,1,1000,0.5,0,0,1,-0.9535,0.9535,39988,0.001,0,6745,5
6,1,1000,0.5,0,0,1,-0.922,0.922,39982,0.0015,0,7760,9
7,1,1000,0.5,0,0,1,-0.9925,0.9925,40000,0,0,7306,5
8,1,1000,0.5,0,0,1,-0.922,0.922,39689,0.0122930255895635,0,7375,7
9,1,1000,0.5,0,0,1,-0.982,0.982,38900.25,0.028158295281583,0,5400,4
