"memory","budget","ratio","UT","BB","Extinct","rep","target","popInit","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20"
1,1000,0.1,0,0,1,2,2000,1000,1744,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,4,2000,1000,1751,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,6,2000,1000,1739,783,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,8,2000,1000,1747,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,10,2000,1000,1742,794,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,2,2000,1000,1744,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,4,2000,1000,1751,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,6,2000,1000,1739,783,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,8,2000,1000,1747,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,10,2000,1000,1742,794,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0,0,1,2,2000,1000,1751,1086,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0,0,1,4,2000,1000,1769,784,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0,0,1,6,2000,1000,1748,911,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0,0,1,8,2000,1000,1765,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0,0,1,10,2000,1000,1737,815,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0,0,1,2,2000,1000,1742,763,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0,0,1,4,2000,1000,1746,794,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0,0,1,6,2000,1000,1733,1390,426,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0,0,1,8,2000,1000,1739,763,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0,0,1,10,2000,1000,1748,764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0,0,1,2,2000,1000,1780,1048,181,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0,0,1,4,2000,1000,1729,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0,0,1,6,2000,1000,1740,1206,407,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0,0,1,8,2000,1000,1739,1555,685,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0,0,1,10,2000,1000,1771,1513,1596,1217,489,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,2,2000,1000,1741,1200,574,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,4,2000,1000,1741,2045,1944,2996,1469,748,349,5,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,6,2000,1000,1733,1758,1761,1768,2477,1196,345,156,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,8,2000,1000,1719,1684,1374,1086,606,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,10,2000,1000,1747,799,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.6,0,0,1,2,2000,1000,1737,778,57,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.6,0,0,1,4,2000,1000,1732,2432,1073,338,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.6,0,0,1,6,2000,1000,1748,842,154,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.6,0,0,1,8,2000,1000,1739,1185,737,470,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.6,0,0,1,10,2000,1000,1746,1300,1007,646,185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.7,0,0,1,2,2000,1000,1751,2626,1193,740,445,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.7,0,0,1,4,2000,1000,1735,2726,1279,845,622,176,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.7,0,0,1,6,2000,1000,1753,2666,1223,815,548,135,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.7,0,0,1,8,2000,1000,1745,2692,1231,733,413,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.7,0,0,1,10,2000,1000,1735,1559,1745,2274,1351,1084,946,634,220,14,0,0,0,0,0,0,0,0,0,0
1,1000,0.8,0,0,1,2,2000,1000,1782,2626,1176,622,338,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.8,0,0,1,4,2000,1000,1752,1946,2515,1116,727,479,102,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.8,0,0,1,6,2000,1000,1752,1772,1810,3020,1543,1300,1584,2071,3491,1857,1752,2447,1170,797,576,180,20,0,0,0
1,1000,0.8,0,0,1,8,2000,1000,1720,2073,3191,1508,1185,1338,1592,2574,1339,1590,2436,1220,857,707,361,88,0,0,0,0
1,1000,0.8,0,0,1,10,2000,1000,1761,2673,1221,770,547,144,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.9,0,0,0,2,2000,1000,1733,1707,2251,1541,1791,2625,1261,1052,1179,1374,1781,2832,1435,1198,1503,2041,3377,1742,1631,2990
1,1000,0.9,0,0,1,4,2000,1000,1759,2585,1187,943,968,948,891,800,616,292,51,0,0,0,0,0,0,0,0,0
1,1000,0.9,0,0,0,6,2000,1000,1737,2249,1413,1506,2300,1498,1645,2379,1223,1021,1184,1376,2288,1574,2468,1244,989,1089,1197,1416
1,1000,0.9,0,0,1,8,2000,1000,1727,1547,1825,2786,1377,1128,1315,2178,2394,1053,633,385,71,0,0,0,0,0,0,0
1,1000,0.9,0,0,1,10,2000,1000,1751,2560,1164,881,874,724,432,111,4,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0.3,0,1,2,2000,1000,1714,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0.3,0,1,4,2000,1000,1751,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0.3,0,1,6,2000,1000,1701,728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0.3,0,1,8,2000,1000,1765,777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0.3,0,1,10,2000,1000,1735,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0.3,0,1,2,2000,1000,1753,902,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0.3,0,1,4,2000,1000,1744,1123,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0.3,0,1,6,2000,1000,1744,792,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0.3,0,1,8,2000,1000,1746,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0.3,0,1,10,2000,1000,1758,822,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0.3,0,1,2,2000,1000,1748,771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0.3,0,1,4,2000,1000,1748,784,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0.3,0,1,6,2000,1000,1737,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0.3,0,1,8,2000,1000,1739,1008,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0.3,0,1,10,2000,1000,1757,1748,873,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0.3,0,1,2,2000,1000,1763,1117,588,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0.3,0,1,4,2000,1000,1771,829,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0.3,0,1,6,2000,1000,1732,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0.3,0,1,8,2000,1000,1702,872,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0.3,0,1,10,2000,1000,1739,1815,1372,686,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0.3,0,1,2,2000,1000,1763,943,179,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0.3,0,1,4,2000,1000,1737,2124,2365,1006,153,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0.3,0,1,6,2000,1000,1754,942,192,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
