"","rep","memory","budget","ratio","at","bb","ext_prob","ext_prob_sd","ext_prob_95ci_inf","ext_prob_95ci_sup","act_dev","act_dev_sd","act_dev_95ci_inf","act_dev_95ci_sup","abs_act_dev","abs_act_dev_sd","abs_act_dev_95ci_inf","abs_act_dev_95ci_sup","fin_yield","fin_yield_sd","fin_yield_95ci_inf","fin_yield_95ci_sup","max_diff_yield","max_diff_yield_sd","max_diff_yield_95ci_inf","max_diff_yield_95ci_sup","inac_ts","inac_ts_sd","inac_ts_95ci_inf","inac_ts_95ci_sup","SumAbsDev","SumAbsDev_sd","SumAbsDev_95ci_inf","SumAbsDev_95ci_sup"
"1",10,1,1000,0.1,0,0,1,0,1,1,-0.6547,0.35384841473237,-0.7275,-0.61585,0.6547,0.357545191752813,0.61515,0.72745,39925.35,342.394790809284,39857.95,39985.6,0.00412943475170306,0.0174101882194278,0.00120285857572718,0.00758103555210326,0,0,0,0,1183.175,180.073373998153,1160.13333333333,1221.95833333333
"2",10,1,1000,0.2,0,0,1,0,1,1,-0.7149,0.509654413075937,-0.81375,-0.61845,0.7149,0.513070988854802,0.61845,0.8124,39419.9,1572.50690085418,39136.1375,39716.65,0.0189101117292692,0.0526999386472372,0.0090576751531189,0.0287012604535496,0,0,0,0,1204.76666666667,235.885916660764,1166.06666666667,1252.36666666667
"3",10,1,1000,0.3,0,0,1,0,1,1,-0.7946,0.480703350703425,-0.883,-0.70715,0.7946,0.502207024938421,0.6989,0.8874,39450.525,1342.99204203928,39180.225,39694.775,0.0165902624971276,0.0321383754959772,0.0108661674202933,0.0229996023163945,0,0,0,0,1219.03833333333,193.440485376928,1183.49333333333,1255.71
"4",10,1,1000,0.4,0,0,1,0,1,1,-0.859,0.541238330994561,-0.9564,-0.753,0.859,0.551981303576036,0.7528,0.9586,39320.65,2036.01551539225,38893.225,39662.225,0.0192326049581654,0.0409463257227669,0.0116822491811954,0.0268671960711823,0,0,0,0,1233.16880952381,398.094420638275,1153.2480952381,1301.80333333333
"5",10,1,1000,0.5,0,0,1,0,1,1,-0.93725,0.126013618927788,-0.961,-0.91555,0.93725,0.125448240321346,0.91455,0.96095,39725.5375,993.137460989014,39520.3875,39895.15,0.0103768262238305,0.0306389227864951,0.00465650959351667,0.0158934171997908,0,0,0,0,1167.86880952381,755.822503688284,1011.15380952381,1292.73333333333
"6",10,1,1000,0.6,0,0,1,0,1,1,-0.93905,0.0930425058179802,-0.9575,-0.92295,0.93905,0.09504122862094,0.92,0.95625,39834.95,687.485435541435,39690.175,39945.475,0.00834455167774454,0.0306577820883741,0.00310127603841961,0.0140886281178703,0,0,0,0,1223.37896103896,549.27831257319,1114.54753246753,1315.92904761905
"7",10,1,1000,0.7,0,0,1,0,1,1,-0.9567,0.153274880525153,-0.9808,-0.9264,0.9567,0.153566161629117,0.9248,0.982,39707.675,1189.32419466594,39464.15,39894.75,0.0103185660192929,0.0286688096888847,0.00565372925541986,0.0160290461319566,0,0,0,0,1067.88626984127,530.516428968213,978.265555555555,1175.79349206349
"8",10,1,1000,0.8,0,0,0.8,1.38989967663537,0.5,1,-0.87985,0.846056047843955,-0.97275,-0.70645,0.87985,0.900242065829303,0.7027,0.97235,39224.315625,4662.31685061364,38229.071875,39848.375,0.0183841746510067,0.0729845911370704,0.00757367021930029,0.0334994008569033,0,0,0,0,950.18125,705.742740857073,820.65,1084.50625
"9",10,1,1000,0.9,0,0,0.4,1.66158391636147,0.1,0.7,-0.4993,1.32826998290581,-0.74335,-0.24535,0.5527,1.06075128954487,0.3635,0.74975,36957.271875,9031.26648045454,35325.1375,38553.303125,0.0465422955456754,0.105747716528519,0.0268810513374617,0.0663840067760992,0,0,0,0,742.538940242764,663.524584459089,629.447352941176,867.602619047619
"10",10,1,1000,0.1,0.1,0,1,0,1,1,-0.6167,0.0172601891888048,-0.61965,-0.6135,0.6167,0.016490553390081,0.6135,0.61945,39897.775,319.294850551354,39836.225,39955.725,0.00550711350448193,0.0170114907071492,0.00242647647647648,0.00876292570766255,0,0,0,0,1162.2,20.0565590269119,1158.26666666667,1165.56666666667
