"memory","budget","ratio","UT","BB","Extinct","rep","target","popInit","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20"
1,1000,0.1,0,0,1,2,2000,1000,16,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,4,2000,1000,14,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,6,2000,1000,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,8,2000,1000,16,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,10,2000,1000,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,2,2000,1000,16,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,4,2000,1000,14,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,6,2000,1000,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,8,2000,1000,16,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,10,2000,1000,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0,0,1,2,2000,1000,25,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0,0,1,4,2000,1000,22,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0,0,1,6,2000,1000,26,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0,0,1,8,2000,1000,25,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0,0,1,10,2000,1000,12,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0,0,1,2,2000,1000,26,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0,0,1,4,2000,1000,23,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0,0,1,6,2000,1000,29,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0,0,1,8,2000,1000,29,40,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0,0,1,10,2000,1000,20,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0,0,1,2,2000,1000,47,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0,0,1,4,2000,1000,28,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0,0,1,6,2000,1000,35,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0,0,1,8,2000,1000,35,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0,0,1,10,2000,1000,43,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,2,2000,1000,41,60,60,27,60,60,60,27,60,60,60,60,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,4,2000,1000,37,60,13,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,6,2000,1000,23,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,8,2000,1000,48,32,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,10,2000,1000,38,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.6,0,0,1,2,2000,1000,42,70,70,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.6,0,0,1,4,2000,1000,41,70,70,70,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.6,0,0,1,6,2000,1000,35,70,70,70,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.6,0,0,1,8,2000,1000,37,70,70,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.6,0,0,1,10,2000,1000,51,70,70,70,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.7,0,0,1,2,2000,1000,44,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.7,0,0,1,4,2000,1000,44,80,11,80,80,80,80,80,80,11,80,80,80,80,80,0,0,0,0,0
1,1000,0.7,0,0,1,6,2000,1000,45,80,12,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.7,0,0,1,8,2000,1000,46,80,12,80,80,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.7,0,0,1,10,2000,1000,55,80,80,80,13,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
1,1000,0.8,0,0,1,2,2000,1000,52,90,90,90,24,90,90,11,90,90,74,10,90,90,90,90,90,90,0,0
1,1000,0.8,0,0,1,4,2000,1000,39,90,17,90,90,90,90,90,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.8,0,0,1,6,2000,1000,43,90,13,90,90,90,90,90,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.8,0,0,0,8,2000,1000,51,90,90,90,10,90,90,90,10,90,90,83,10,90,90,90,90,90,90,90
1,1000,0.8,0,0,1,10,2000,1000,54,17,90,90,90,90,90,90,11,90,90,90,90,90,90,90,0,0,0,0
1,1000,0.9,0,0,0,2,2000,1000,58,35,100,100,14,100,100,100,100,100,18,100,100,100,100,100,10,100,100,16
1,1000,0.9,0,0,1,4,2000,1000,59,20,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.9,0,0,1,6,2000,1000,50,100,36,100,100,10,100,100,100,100,21,100,100,100,100,100,100,0,0,0
1,1000,0.9,0,0,0,8,2000,1000,68,56,36,100,10,100,100,100,100,15,100,100,100,100,100,100,100,10,100,100
1,1000,0.9,0,0,0,10,2000,1000,63,40,100,12,100,100,100,100,13,100,100,100,100,100,10,100,100,100,10,100
1,1000,0.1,0.1,0,1,2,2000,1000,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0.1,0,1,4,2000,1000,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0.1,0,1,6,2000,1000,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0.1,0,1,8,2000,1000,18,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0.1,0,1,10,2000,1000,15,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0.1,0,1,2,2000,1000,23,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0.1,0,1,4,2000,1000,20,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0.1,0,1,6,2000,1000,28,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0.1,0,1,8,2000,1000,20,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
