"rep","memory","budget","ratio","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","SumAbsDev","final_ts"
1,1,1000,0.1,0,0,1,-0.622,0.622,39958,0.0025,0,3501,3
2,1,1000,0.1,0,0,1,-0.6115,0.6115,40000,0,0,3467,3
3,1,1000,0.1,0,0,1,-0.6215,0.6215,40000,0,0,3505,3
4,1,1000,0.1,0,0,1,-0.615,0.615,40000,0,0,3478,3
5,1,1000,0.1,0,0,1,-0.6185,0.6185,39964,0.0055,0,3490,3
6,1,1000,0.1,0,0,1,-0.635,0.635,39791.5,0.016008004002001,0,3567,3
7,1,1000,0.1,0,0,1,-0.608,0.608,39707.5,0.00952858575727182,0,3449,3
8,1,1000,0.1,0,0,1,-0.6235,0.6235,40000,0,0,3516,3
9,1,1000,0.1,0,0,1,-0.977,0.977,40000,0,0,5391,4
10,1,1000,0.1,0,0,1,-0.615,0.615,39832.5,0.00775775775775776,0,3479,3
1,1,1000,0.2,0,0,1,-0.621,0.621,39299.25,0.0320674044265594,0,3506,3
2,1,1000,0.2,0,0,1,-0.609,0.609,38775.375,0.0415610745058287,0,3462,3
3,1,1000,0.2,0,0,1,-0.6245,0.6245,38828.125,0.0410295616717635,0,3516,3
4,1,1000,0.2,0,0,1,-0.616,0.616,39492.5,0.0151209677419355,0,3480,3
5,1,1000,0.2,0,0,1,-0.6205,0.6205,38874.125,0.0292546425845841,0,3503,3
6,1,1000,0.2,0,0,1,-0.9555,0.9555,39970,0.002,0,5240,4
7,1,1000,0.2,0,0,1,-0.621,0.621,39061.375,0.0208174663620208,0,3506,3
8,1,1000,0.2,0,0,1,-0.8845,0.8845,39898.25,0.00725,0,4892,4
9,1,1000,0.2,0,0,1,-0.985,0.985,40000,0,0,5468,4
10,1,1000,0.2,0,0,1,-0.612,0.612,40000,0,0,3470,3
1,1,1000,0.3,0,0,1,-0.619,0.619,39424.25,0.0188821752265861,0,3494,3
2,1,1000,0.3,0,0,1,-0.8575,0.8575,38795,0.0322457303084374,0,4791,4
3,1,1000,0.3,0,0,1,-0.937,0.937,39558.75,0.0178123432012042,0,5164,4
4,1,1000,0.3,0,0,1,-0.6195,0.6195,39258.75,0.0192064695476371,0,3495,3
5,1,1000,0.3,0,0,1,-0.9745,0.9745,39814.5,0.00750750750750751,0,5320,4
6,1,1000,0.3,0,0,1,-0.8565,0.8565,38705.75,0.0305654610290372,0,4781,4
7,1,1000,0.3,0,0,1,-0.935,0.935,39462.75,0.0190954773869347,0,5149,4
8,1,1000,0.3,0,0,1,-0.91,0.91,39994,0.001,0,6159,5
9,1,1000,0.3,0,0,1,-0.6145,0.6145,39611.5,0.0150829562594268,0,3474,3
10,1,1000,0.3,0,0,1,-0.6225,0.6225,39880,0.0045045045045045,0,3509,3
1,1,1000,0.4,0,0,1,-0.9905,0.9905,39630.75,0.0125376128385155,0,5491,4
2,1,1000,0.4,0,0,1,-0.973,0.973,40000,0,0,6578,5
3,1,1000,0.4,0,0,1,-0.6135,0.6135,38992.5,0.0236040609137056,0,3473,3
4,1,1000,0.4,0,0,1,-0.609,0.609,37809.875,0.0459963721171288,0,3453,3
5,1,1000,0.4,0,0,1,-0.621,0.621,39120.375,0.0237373737373737,0,3492,3
6,1,1000,0.4,0,0,1,-0.9725,0.9725,39452.25,0.0201005025125628,0,5393,4
7,1,1000,0.4,0,0,1,-0.9225,0.9225,39844.5,0.00901352028042063,0,6063,5
8,1,1000,0.4,0,0,1,-0.94,0.94,38927.5,0.0302491103202847,0,5145,4
9,1,1000,0.4,0,0,1,-0.9855,0.9855,39530.75,0.0205874968616621,0,5432,4
10,1,1000,0.4,0,0,1,-0.9625,0.9625,39898,0.0065,0,6759,7
1,1,1000,0.5,0,0,1,-0.933,0.933,39660.25,0.0130522088353414,0,6913,6
2,1,1000,0.5,0,0,1,-0.907,0.907,39815.5,0.012012012012012,0,7351,12
3,1,1000,0.5,0,0,1,-0.9325,0.9325,40000,0,0,6958,5
4,1,1000,0.5,0,0,1,-0.9595,0.9595,39766.5,0.00851703406813627,0,8262,8
5,1,1000,0.5,0,0,1,-0.902,0.902,39958,0.0035,0,6661,5
6,1,1000,0.5,0,0,1,-0.9935,0.9935,39122.875,0.0275530839231547,0,5475,4
7,1,1000,0.5,0,0,1,-0.991,0.991,40000,0,0,8451,7
8,1,1000,0.5,0,0,1,-0.911,0.911,39272,0.0240887879934418,0,6967,7
9,1,1000,0.5,0,0,1,-0.9715,0.9715,40000,0,0,7852,6
10,1,1000,0.5,0,0,1,-0.8715,0.8715,39660.25,0.0150451354062187,0,6387,5
1,1,1000,0.6,0,0,1,-0.986,0.986,40000,0,0,8805,7
2,1,1000,0.6,0,0,1,-0.908,0.908,39500.25,0.0225790265930758,0,6433,5
3,1,1000,0.6,0,0,1,-0.925,0.925,39952,0.003,0,7117,7
4,1,1000,0.6,0,0,1,-0.9195,0.9195,39412.25,0.0288509784244857,0,7167,6
5,1,1000,0.6,0,0,1,-0.9395,0.9395,39886,0.00550275137568784,0,6772,5
6,1,1000,0.6,0,0,1,-0.975,0.975,39928.25,0.0045,0,7735,6
7,1,1000,0.6,0,0,1,-0.919,0.919,39994,0.0015,0,9128,11
8,1,1000,0.6,0,0,1,-0.9545,0.9545,40000,0,0,6947,5
9,1,1000,0.6,0,0,1,-0.901,0.901,39850.25,0.00950475237618809,0,6750,5
10,1,1000,0.6,0,0,1,-0.963,0.963,39826.5,0.00800800800800801,0,7592,6
1,1,1000,0.7,0,0,1,-0.971,0.971,39850,0.00600901352028042,0,9419,10
2,1,1000,0.7,0,0,1,-0.8905,0.8905,39052.75,0.0258358662613982,0,10643,9
3,1,1000,0.7,0,0,1,-0.993,0.993,39970,0.0045,0,8884,8
4,1,1000,0.7,0,0,1,-0.976,0.976,39796.75,0.0117617617617618,0,13069,15
5,1,1000,0.7,0,0,1,-0.9875,0.9875,39898.25,0.00500250125062531,0,9189,10
6,1,1000,0.7,0,0,1,-0.9835,0.9835,39922.5,0.00425,0,8808,8
7,1,1000,0.7,0,0,1,-0.9525,0.9525,39719.75,0.0122684026039059,0,9914,8
8,1,1000,0.7,0,0,1,-0.8475,0.8475,38998.5,0.0250506072874494,0,6859,7
9,1,1000,0.7,0,0,1,-0.993,0.993,39994,0.001,0,8336,6
10,1,1000,0.7,0,0,1,-0.9725,0.9725,39874.25,0.00750750750750751,0,9443,10
1,1,1000,0.8,0,0,0,-0.1075,0.1075,35076.53125,0.0761122518822724,0,10845,20
2,1,1000,0.8,0,0,1,-0.957,0.957,39826.25,0.00900450225112556,0,14145,18
3,1,1000,0.8,0,0,1,-0.9655,0.9655,39862,0.00750750750750751,0,10855,10
4,1,1000,0.8,0,0,1,-0.963,0.963,39660.5,0.0162744116174261,0,8479,8
5,1,1000,0.8,0,0,1,-0.974,0.974,39946,0.0035,0,12103,14
6,1,1000,0.8,0,0,1,-0.9765,0.9765,39898,0.005,0,8728,8
7,1,1000,0.8,0,0,1,-0.984,0.984,39994,0.001,0,8250,6
8,1,1000,0.8,0,0,0,-0.9795,0.9795,38828.125,0.0317258883248731,0,15180,20
9,1,1000,0.8,0,0,1,-0.967,0.967,39856.5,0.00750750750750751,0,12035,12
10,1,1000,0.8,0,0,1,-0.9245,0.9245,39295.25,0.0262096774193548,0,14975,16
1,1,1000,0.9,0,0,0,-0.2815,0.2815,34665.78125,0.0735170677112479,0,12863,20
2,1,1000,0.9,0,0,0,0.267,0.267,34389.15625,0.0728858871535106,0,11909,20
3,1,1000,0.9,0,0,1,-0.902,0.902,38892.25,0.0274669379450661,0,13613,14
4,1,1000,0.9,0,0,1,-0.9515,0.9515,39464.75,0.0230923694779116,0,8370,7
5,1,1000,0.9,0,0,1,-0.958,0.958,39671.75,0.0175526579739218,0,15551,18
6,1,1000,0.9,0,0,1,-0.9245,0.9245,39411.875,0.0188631790744467,0,13427,17
7,1,1000,0.9,0,0,0,-0.2325,0.2325,34932.25,0.0675582517578933,0,11834,20
8,1,1000,0.9,0,0,0,-0.4295,0.4295,40000,0,0,11839,20
9,1,1000,0.9,0,0,0,-0.4055,0.4055,35164.1875,0.0594318808604523,0,12291,20
10,1,1000,0.9,0,0,0,-0.175,0.175,32980.71875,0.105054723502304,0,11335,20
1,1,1000,0.1,0.1,0,1,-0.617,0.617,40000,0,0,3490,3
2,1,1000,0.1,0.1,0,1,-0.6105,0.6105,39797,0.00875875875875876,0,3463,3
3,1,1000,0.1,0.1,0,1,-0.6195,0.6195,40000,0,0,3502,3
4,1,1000,0.1,0.1,0,1,-0.617,0.617,39892,0.005005005005005,0,3489,3
5,1,1000,0.1,0.1,0,1,-0.6175,0.6175,39916,0.006,0,3491,3
6,1,1000,0.1,0.1,0,1,-0.6055,0.6055,39796.75,0.0107607607607608,0,3447,3
7,1,1000,0.1,0.1,0,1,-0.615,0.615,39719.75,0.0170426065162907,0,3473,3
8,1,1000,0.1,0.1,0,1,-0.6215,0.6215,39904.25,0.004004004004004,0,3507,3
9,1,1000,0.1,0.1,0,1,-0.6215,0.6215,39952,0.0035,0,3498,3
10,1,1000,0.1,0.1,0,1,-0.622,0.622,40000,0,0,3506,3
1,1,1000,0.2,0.1,0,1,-0.759,0.759,38747.875,0.0292769857433809,0,4268,4
2,1,1000,0.2,0.1,0,1,-0.606,0.606,39109.625,0.0180203045685279,0,3436,3
3,1,1000,0.2,0.1,0,1,-0.985,0.985,40000,0,0,5388,4
4,1,1000,0.2,0.1,0,1,-0.611,0.611,39826.75,0.0105052526263132,0,3461,3
5,1,1000,0.2,0.1,0,1,-0.6175,0.6175,39690,0.0110330992978937,0,3496,3
6,1,1000,0.2,0.1,0,1,-0.6065,0.6065,37765.5,0.047012987012987,0,3445,3
7,1,1000,0.2,0.1,0,1,-0.623,0.623,38901.75,0.0320950214809199,0,3512,3
8,1,1000,0.2,0.1,0,1,-0.6125,0.6125,39694.75,0.0175482577086989,0,3469,3
9,1,1000,0.2,0.1,0,1,-0.9185,0.9185,39970,0.002,0,5048,4
10,1,1000,0.2,0.1,0,1,-0.608,0.608,39210.25,0.0262891809908999,0,3441,3
1,1,1000,0.3,0.1,0,1,-0.9675,0.9675,40000,0,0,6225,6
2,1,1000,0.3,0.1,0,1,-0.615,0.615,39448.5,0.0235943775100402,0,3477,3
3,1,1000,0.3,0.1,0,1,-0.844,0.844,39737.25,0.012781954887218,0,5844,5
4,1,1000,0.3,0.1,0,1,-0.617,0.617,39707.75,0.00727728983688833,0,3484,3
5,1,1000,0.3,0.1,0,1,-0.9465,0.9465,39772.25,0.0100200400801603,0,5206,4
6,1,1000,0.3,0.1,0,1,-0.617,0.617,39252.25,0.0159412955465587,0,3492,3
7,1,1000,0.3,0.1,0,1,-0.839,0.839,39398.25,0.0216297786720322,0,5480,5
8,1,1000,0.3,0.1,0,1,-0.975,0.975,39844,0.00650650650650651,0,5345,4
9,1,1000,0.3,0.1,0,1,-0.957,0.957,40000,0,0,6665,5
10,1,1000,0.3,0.1,0,1,-0.621,0.621,39310.875,0.0241448692152917,0,3499,3
1,1,1000,0.4,0.1,0,1,-0.9625,0.9625,40000,0,0,6905,6
2,1,1000,0.4,0.1,0,1,-0.976,0.976,39442,0.0191146881287726,0,5356,4
3,1,1000,0.4,0.1,0,1,-0.6135,0.6135,39138.5,0.0277078085642317,0,3475,3
4,1,1000,0.4,0.1,0,1,-0.611,0.611,37832.375,0.0387004918457158,0,3455,3
5,1,1000,0.4,0.1,0,1,-0.982,0.982,39529.25,0.0163111668757842,0,5424,4
6,1,1000,0.4,0.1,0,1,-0.9575,0.9575,39123,0.0169921379660157,0,5232,4
7,1,1000,0.4,0.1,0,1,-0.992,0.992,39558.25,0.0185836263184329,0,5408,4
8,1,1000,0.4,0.1,0,1,-0.932,0.932,39898.25,0.0055,0.125,6475,8
9,1,1000,0.4,0.1,0,1,-0.9865,0.9865,39547.5,0.0118209255533199,0,5401,4
10,1,1000,0.4,0.1,0,1,-0.977,0.977,39398,0.0176233635448137,0,5344,4
1,1,1000,0.5,0.1,0,1,-0.9645,0.9645,40000,0,0,6915,5
2,1,1000,0.5,0.1,0,1,-0.9845,0.9845,39994,0.001,0,8604,8
3,1,1000,0.5,0.1,0,1,-0.9795,0.9795,40000,0,0,9198,11
4,1,1000,0.5,0.1,0,1,-0.875,0.875,39851,0.00875875875875876,0.125,7589,8
5,1,1000,0.5,0.1,0,1,-0.8865,0.8865,39518.75,0.0185836263184329,0,6153,5
6,1,1000,0.5,0.1,0,1,-0.904,0.904,39218,0.0222278353119475,0,9725,11
7,1,1000,0.5,0.1,0,1,-0.8925,0.8925,39154.625,0.0194936708860759,0,6612,6
8,1,1000,0.5,0.1,0,1,-0.617,0.617,37689.625,0.0417536534446764,0,3483,3
9,1,1000,0.5,0.1,0,1,-0.955,0.955,40000,0,0,6824,5
10,1,1000,0.5,0.1,0,1,-0.994,0.994,40000,0,0,7778,6
1,1,1000,0.6,0.1,0,1,-0.988,0.988,39994,0.0015,0.111111111111111,12557,18
2,1,1000,0.6,0.1,0,1,-0.9125,0.9125,39808.75,0.00901352028042063,0,6537,5
3,1,1000,0.6,0.1,0,1,-0.98,0.98,39970,0.002,0,8504,7
4,1,1000,0.6,0.1,0,1,-0.995,0.995,40000,0,0,8752,7
