"memory","budget","ratio","UT","BB","Extinct","rep","target","popInit","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20"
1,1000,0.1,0,0,1,2,2000,1000,1756,777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,4,2000,1000,1752,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,6,2000,1000,1703,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,8,2000,1000,1731,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,10,2000,1000,1751,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,2,2000,1000,1756,777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,4,2000,1000,1752,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,6,2000,1000,1703,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,8,2000,1000,1731,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.1,0,0,1,10,2000,1000,1751,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0,0,1,2,2000,1000,1754,782,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0,0,1,4,2000,1000,1752,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0,0,1,6,2000,1000,1755,916,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0,0,1,8,2000,1000,1752,1125,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.2,0,0,1,10,2000,1000,1754,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0,0,1,2,2000,1000,1747,1173,285,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0,0,1,4,2000,1000,1744,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0,0,1,6,2000,1000,1741,1184,287,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0,0,1,8,2000,1000,1735,1280,646,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.3,0,0,1,10,2000,1000,1736,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0,0,1,2,2000,1000,1745,1233,390,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0,0,1,4,2000,1000,1759,782,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0,0,1,6,2000,1000,1727,825,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0,0,1,8,2000,1000,1768,967,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.4,0,0,1,10,2000,1000,1757,1941,1688,1237,543,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,2,2000,1000,1746,1967,2082,2294,1871,1902,2078,2303,1214,520,186,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,4,2000,1000,1748,1763,2600,1231,947,568,81,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,6,2000,1000,1740,769,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,8,2000,1000,1729,2248,1505,1142,727,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.5,0,0,1,10,2000,1000,1762,990,604,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.6,0,0,1,2,2000,1000,1724,1088,568,184,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.6,0,0,1,4,2000,1000,1743,1331,993,605,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.6,0,0,1,6,2000,1000,1753,1239,831,392,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.6,0,0,1,8,2000,1000,1765,925,272,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.6,0,0,1,10,2000,1000,1750,1246,896,442,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.7,0,0,1,2,2000,1000,1730,1137,825,867,1013,932,628,219,6,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.7,0,0,1,4,2000,1000,1769,1668,2710,1359,946,1294,1443,1608,2059,2762,1229,708,390,48,0,0,0,0,0,0
1,1000,0.7,0,0,1,6,2000,1000,1750,2103,2686,1163,681,354,33,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.7,0,0,1,8,2000,1000,1770,2077,2669,1168,635,305,9,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.7,0,0,1,10,2000,1000,1760,1507,1645,2057,2632,1150,717,412,55,0,0,0,0,0,0,0,0,0,0,0
1,1000,0.8,0,0,1,2,2000,1000,1756,1389,1411,1760,2354,1695,1999,2774,1283,1291,2113,2791,1232,882,734,369,86,0,0,0
1,1000,0.8,0,0,1,4,2000,1000,1750,1915,2496,1145,704,429,74,0,0,0,0,0,0,0,0,0,0,0,0,0
