"","budget","UT","BB","Extinct","rep","target","popInit","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20"
"1",1000,0,0,1,10,2000,1000,21,41,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0
"2",1000,0,0,0,20,2000,1000,16,83,9,9,9,9,100,9,9,90,9,9,9,100,9,9,83,9,9,9
"3",1000,0,0,0,30,2000,1000,19,9,100,9,9,83,9,9,9,83,9,9,9,9,100,9,9,9,100,9
"4",1000,0,0,0,40,2000,1000,17,9,38,9,100,9,9,9,9,90,9,9,9,62,9,9,9,9,62,9
"5",1000,0,0,0,50,2000,1000,15,100,9,9,9,76,9,9,9,76,9,9,9,28,9,50,9,9,9,9
"6",1000,0,0,0,60,2000,1000,18,71,9,9,9,9,100,9,9,100,9,9,9,100,9,9,18,45,9,9
"7",1000,0,0,1,70,2000,1000,13,9,71,9,9,16,62,9,9,9,9,9,9,9,9,0,0,0,0,0
"8",1000,0,0,0,80,2000,1000,14,9,62,9,9,9,9,9,9,100,9,9,40,9,9,9,9,76,9,9
"9",1000,0,0,0,90,2000,1000,15,25,9,47,9,9,100,9,9,55,9,9,9,45,9,9,50,9,9,9
"10",1000,0,0,0,100,2000,1000,14,9,100,9,9,9,100,9,50,9,9,45,9,100,9,9,76,9,9,100
"11",1000,0.1,0.2,0,10,2000,1000,16,30,9,9,9,100,9,9,71,9,9,9,90,9,9,9,27,9,40,9
"12",1000,0.1,0.2,0,20,2000,1000,15,9,9,100,9,9,100,9,9,55,9,9,9,9,100,9,9,9,100,9
"13",1000,0.1,0.2,0,30,2000,1000,18,9,24,9,100,9,9,66,9,9,9,9,19,43,9,66,9,9,9,33
"14",1000,0.1,0.2,0,40,2000,1000,14,24,71,9,9,9,9,18,40,9,62,9,9,9,100,9,9,9,100,9
"15",1000,0.1,0.2,0,50,2000,1000,16,9,100,9,9,9,9,100,9,9,9,100,9,9,76,9,9,9,100,9
"16",1000,0.1,0.2,0,60,2000,1000,14,15,50,9,9,55,9,9,9,12,100,9,25,25,7,41,9,9,100,9
"17",1000,0.1,0.2,0,70,2000,1000,16,9,9,71,9,9,9,9,100,9,9,90,9,9,50,9,9,9,58,9
"18",1000,0.1,0.2,0,80,2000,1000,24,9,9,10,100,9,9,76,9,9,9,100,9,9,100,9,9,100,9,9
"19",1000,0.1,0.2,0,90,2000,1000,16,76,9,9,13,100,9,9,100,9,9,76,9,9,100,9,9,83,9,9
"20",1000,0.1,0.2,0,100,2000,1000,16,71,9,9,9,9,90,9,9,9,58,9,9,12,100,9,9,9,100,9
"21",1000,0.1,0.8,0,10,2000,1000,15,18,32,38,9,20,32,9,9,9,50,9,9,9,9,76,9,9,9,58
"22",1000,0.1,0.8,0,20,2000,1000,14,100,9,9,9,37,9,9,9,100,9,9,9,100,9,9,100,5,55,9
"23",1000,0.1,0.8,0,30,2000,1000,20,9,52,9,9,9,9,9,9,9,9,9,9,83,9,9,9,100,9,9
"24",1000,0.1,0.8,0,40,2000,1000,14,9,100,9,9,9,27,9,9,100,9,9,100,5,5,100,5,41,9,9
"25",1000,0.1,0.8,0,50,2000,1000,18,32,32,5,9,62,9,9,9,9,100,9,9,21,40,9,9,9,9,9
"26",1000,0.1,0.8,0,60,2000,1000,12,58,9,9,9,9,9,9,83,9,9,9,66,9,9,43,9,9,9,100
"27",1000,0.1,0.8,0,70,2000,1000,16,90,9,9,9,11,100,9,9,76,9,9,100,9,9,76,9,9,9,11
"28",1000,0.1,0.8,1,80,2000,1000,14,83,9,9,9,18,58,9,9,9,9,9,9,9,9,0,0,0,0,0
"29",1000,0.1,0.8,0,90,2000,1000,16,30,9,9,83,9,9,71,9,9,9,100,9,9,83,9,9,58,9,9
"30",1000,0.1,0.8,0,100,2000,1000,16,9,9,55,9,9,9,100,9,9,34,9,9,43,9,9,47,9,9,9
"31",1000,0.3,0.2,0,10,2000,1000,19,9,9,100,7,7,100,7,7,100,7,7,100,7,55,9,9,9,9,9
"32",1000,0.3,0.2,0,20,2000,1000,19,9,9,9,90,7,9,100,9,9,100,7,7,100,7,7,100,7,7,55
"33",1000,0.3,0.2,1,30,2000,1000,14,45,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0
"34",1000,0.3,0.2,0,40,2000,1000,15,100,9,9,9,100,9,9,100,7,7,100,7,38,9,9,9,71,7,9
"35",1000,0.3,0.2,0,50,2000,1000,18,9,9,100,7,7,58,7,9,9,100,7,7,100,7,7,76,7,7,100
"36",1000,0.3,0.2,0,60,2000,1000,14,40,9,9,9,9,20,20,100,6,6,100,7,7,100,7,7,100,7,7
"37",1000,0.3,0.2,0,70,2000,1000,16,9,100,9,9,9,100,6,6,100,7,40,9,9,9,71,7,7,90,7
"38",1000,0.3,0.2,0,80,2000,1000,19,9,9,100,7,7,100,7,17,100,9,9,100,7,20,83,9,9,9,9
"39",1000,0.3,0.2,0,90,2000,1000,17,9,76,9,9,9,41,7,7,50,7,9,9,90,7,7,55,7,9,29
"40",1000,0.3,0.2,0,100,2000,1000,14,40,9,9,9,14,83,7,9,50,9,9,9,47,7,9,9,71,7,9
"41",1000,0.3,0.8,0,10,2000,1000,16,9,9,37,5,5,100,5,100,9,9,9,16,55,5,5,100,5,5,100
"42",1000,0.3,0.8,0,20,2000,1000,14,100,9,9,9,100,9,9,9,100,5,5,100,5,32,9,9,76,5,5
"43",1000,0.3,0.8,0,30,2000,1000,20,52,9,9,35,5,9,100,9,9,13,100,5,5,100,5,5,100,5,40
"44",1000,0.3,0.8,0,40,2000,1000,18,71,9,9,9,9,66,5,5,100,5,58,9,9,9,9,100,5,23,23
"45",1000,0.3,0.8,0,50,2000,1000,17,83,9,9,9,9,100,5,5,100,5,62,9,9,9,9,55,5,5,100
"46",1000,0.3,0.8,0,60,2000,1000,17,9,9,100,5,5,100,5,17,100,9,9,100,5,83,9,9,9,83,5
"47",1000,0.3,0.8,0,70,2000,1000,18,9,90,9,9,9,76,5,5,100,5,22,66,9,9,9,9,9,9,58
"48",1000,0.3,0.8,1,80,2000,1000,17,52,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0
"49",1000,0.3,0.8,0,90,2000,1000,15,9,100,9,9,9,38,5,5,100,5,34,9,9,41,5,5,100,5,41
"50",1000,0.3,0.8,0,100,2000,1000,15,24,9,47,9,9,9,9,62,5,5,100,5,58,9,9,9,9,9,76
