"","budget","UT","BB","Extinct","rep","target","popInit","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20"
"1",1000,0,0,1,10,2000,1000,47,24,110,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0
"2",1000,0,0,0,20,2000,1000,61,12,110,110,110,110,10,110,110,11,110,110,110,10,110,110,12,110,110,110
"3",1000,0,0,0,30,2000,1000,52,110,10,110,110,12,110,110,110,12,110,110,110,110,10,110,110,110,10,110
"4",1000,0,0,0,40,2000,1000,57,110,26,110,10,110,110,110,110,11,110,110,110,16,110,110,110,110,16,110
"5",1000,0,0,0,50,2000,1000,63,10,110,110,110,13,110,110,110,13,110,110,110,35,110,20,110,110,110,110
"6",1000,0,0,0,60,2000,1000,55,14,110,110,110,110,10,110,110,10,110,110,110,10,110,110,54,22,110,110
"7",1000,0,0,1,70,2000,1000,72,110,14,110,110,62,16,110,110,110,110,110,110,110,110,0,0,0,0,0
"8",1000,0,0,0,80,2000,1000,67,110,16,110,110,110,110,110,110,10,110,110,25,110,110,110,110,13,110,110
"9",1000,0,0,0,90,2000,1000,63,39,110,21,110,110,10,110,110,18,110,110,110,22,110,110,20,110,110,110
"10",1000,0,0,0,100,2000,1000,70,110,10,110,110,110,10,110,20,110,110,22,110,10,110,110,13,110,110,10
"11",1000,0.1,0.2,0,10,2000,1000,60,33,110,110,110,10,110,110,14,110,110,110,11,110,110,110,37,110,25,110
"12",1000,0.1,0.2,0,20,2000,1000,66,110,110,10,110,110,10,110,110,18,110,110,110,110,10,110,110,110,10,110
"13",1000,0.1,0.2,0,30,2000,1000,53,110,41,110,10,110,110,15,110,110,110,110,52,23,110,15,110,110,110,30
"14",1000,0.1,0.2,0,40,2000,1000,70,41,14,110,110,110,110,54,25,110,16,110,110,110,10,110,110,110,10,110
"15",1000,0.1,0.2,0,50,2000,1000,61,110,10,110,110,110,110,10,110,110,110,10,110,110,13,110,110,110,10,110
"16",1000,0.1,0.2,0,60,2000,1000,70,64,20,110,110,18,110,110,110,80,10,110,40,40,130,24,110,110,10,110
"17",1000,0.1,0.2,0,70,2000,1000,60,110,110,14,110,110,110,110,10,110,110,11,110,110,20,110,110,110,17,110
"18",1000,0.1,0.2,0,80,2000,1000,41,110,110,96,10,110,110,13,110,110,110,10,110,110,10,110,110,10,110,110
"19",1000,0.1,0.2,0,90,2000,1000,62,13,110,110,72,10,110,110,10,110,110,13,110,110,10,110,110,12,110,110
"20",1000,0.1,0.2,0,100,2000,1000,62,14,110,110,110,110,11,110,110,110,17,110,110,81,10,110,110,110,10,110
"21",1000,0.1,0.8,0,10,2000,1000,63,54,31,26,110,48,31,110,110,110,20,110,110,110,110,13,110,110,110,17
"22",1000,0.1,0.8,0,20,2000,1000,69,10,110,110,110,27,110,110,110,10,110,110,104,10,110,110,10,190,18,110
"23",1000,0.1,0.8,0,30,2000,1000,48,110,19,110,110,110,110,110,110,110,110,110,110,12,110,110,110,10,110,110
"24",1000,0.1,0.8,0,40,2000,1000,68,110,10,110,110,110,37,110,110,10,110,110,10,190,190,10,190,24,110,110
"25",1000,0.1,0.8,0,50,2000,1000,53,31,31,190,110,16,110,110,110,110,10,110,110,46,25,110,110,110,110,110
"26",1000,0.1,0.8,0,60,2000,1000,79,17,110,110,110,110,110,110,12,110,110,110,15,110,110,23,110,110,110,10
"27",1000,0.1,0.8,0,70,2000,1000,59,11,110,110,110,88,10,110,110,13,110,110,10,110,110,13,110,110,110,88
"28",1000,0.1,0.8,1,80,2000,1000,71,12,110,110,110,53,17,110,110,110,110,110,110,110,110,0,0,0,0,0
"29",1000,0.1,0.8,0,90,2000,1000,62,33,110,110,12,110,110,14,110,110,110,10,110,110,12,110,110,17,110,110
"30",1000,0.1,0.8,0,100,2000,1000,59,110,110,18,110,110,110,10,110,110,29,110,110,23,110,110,21,110,110,110
"31",1000,0.3,0.2,0,10,2000,1000,52,110,110,10,130,130,10,130,130,10,130,130,10,130,18,110,110,110,110,110
"32",1000,0.3,0.2,0,20,2000,1000,52,110,110,110,11,130,110,10,110,110,10,130,130,10,130,130,10,130,130,18
"33",1000,0.3,0.2,1,30,2000,1000,68,22,110,110,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0
"34",1000,0.3,0.2,0,40,2000,1000,63,10,110,110,110,10,110,110,10,130,130,10,130,26,110,110,110,14,130,110
"35",1000,0.3,0.2,0,50,2000,1000,54,110,110,10,130,130,17,130,110,110,10,130,130,10,130,130,13,130,130,10
"36",1000,0.3,0.2,0,60,2000,1000,68,25,110,110,110,110,50,50,10,150,150,10,130,130,10,130,130,10,130,130
"37",1000,0.3,0.2,0,70,2000,1000,60,110,10,110,110,110,10,150,150,10,130,25,110,110,110,14,130,130,11,130
"38",1000,0.3,0.2,0,80,2000,1000,51,110,110,10,130,130,10,130,58,10,110,110,10,130,49,12,110,110,110,110
"39",1000,0.3,0.2,0,90,2000,1000,58,110,13,110,110,110,24,130,130,20,130,110,110,11,130,130,18,130,110,34
"40",1000,0.3,0.2,0,100,2000,1000,70,25,110,110,110,71,12,130,110,20,110,110,110,21,130,110,110,14,130,110
"41",1000,0.3,0.8,0,10,2000,1000,59,110,110,27,190,190,10,190,10,110,110,110,60,18,190,190,10,190,190,10
"42",1000,0.3,0.8,0,20,2000,1000,67,10,110,110,110,10,110,110,110,10,190,190,10,190,31,110,110,13,190,190
"43",1000,0.3,0.8,0,30,2000,1000,48,19,110,110,28,190,107,10,110,110,76,10,190,190,10,190,190,10,190,25
"44",1000,0.3,0.8,0,40,2000,1000,54,14,110,110,110,110,15,190,190,10,190,17,110,110,110,110,10,190,42,42
"45",1000,0.3,0.8,0,50,2000,1000,57,12,110,110,110,110,10,190,190,10,190,16,110,110,110,110,18,190,190,10
"46",1000,0.3,0.8,0,60,2000,1000,56,110,110,10,190,190,10,190,58,10,110,110,10,190,12,110,110,110,12,190
"47",1000,0.3,0.8,0,70,2000,1000,55,110,11,110,110,110,13,190,190,10,190,44,15,110,110,110,110,110,110,17
"48",1000,0.3,0.8,1,80,2000,1000,56,19,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,0
"49",1000,0.3,0.8,0,90,2000,1000,66,110,10,110,110,110,26,190,190,10,190,29,110,110,24,190,190,10,190,24
"50",1000,0.3,0.8,0,100,2000,1000,63,41,110,21,110,110,110,110,16,190,190,10,190,17,110,110,110,110,110,13
