"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","SumSqDev"
"1",1,1000,0,0,0,0.4855,0.4855,33961.4375,0.0714487832484437,0,9403044
"2",2,1000,0,0,0,-0.295,0.295,31919.0625,0.136462093862816,0,8632460
"3",3,1000,0,0,0,-0.1355,0.1355,36320.75,0.0637956399625518,0,7814496
"4",4,1000,0,0,0,0.2285,0.2285,35655.8125,0.086731305618276,0,9902505
"5",5,1000,0,0,0,0.361,0.361,34105.125,0.0789918332863982,0,7595181
"6",6,1000,0,0,0,-0.238,0.238,39145.625,0.0202942668696093,0,6302713
"7",7,1000,0,0,0,-0.375,0.375,32484.78125,0.0734338061465721,0,8227669
"8",8,1000,0,0,0,-0.055,0.055,34019.125,0.0556349092986716,0,7890448
"9",9,1000,0,0,0,-0.1815,0.1815,40000,0,0,8374712
"10",10,1000,0,0,1,-0.9915,0.9915,39994,0.0015,0,17902108
"11",11,1000,0,0,0,-0.3515,0.3515,40000,0,0,9017648
"12",12,1000,0,0,0,0.1015,0.1015,35371.25,0.0802168021680217,0,8167140
"13",13,1000,0,0,0,-0.2505,0.2505,40000,0,0,7263175
"14",14,1000,0,0,0,-0.2975,0.2975,35467.625,0.0699172656991727,0,7667146
"15",15,1000,0,0,0,-0.388,0.388,31562.25,0.124944518419885,0,6875065
"16",16,1000,0,0,0,-0.2745,0.2745,34968.3125,0.0860354223433242,0,7619902
"17",17,1000,0,0,0,0.0774999999999999,0.0774999999999999,35331.03125,0.0654941144264988,0,8183560
"18",18,1000,0,0,0,-0.3425,0.3425,35426.25,0.0741144414168937,0,8864438
"19",19,1000,0,0,0,-0.999,0.999,39970,0.0035,0,22529923
"20",20,1000,0,0,0,-0.2175,0.2175,34804.3125,0.0587078651685393,0,9102059
"21",21,1000,0,0,0,0.523,0.523,34147.78125,0.113315515350877,0,9664974
"22",22,1000,0,0,0,-0.568,0.568,38615.375,0.0225467589034076,0,15803220
"23",23,1000,0,0,1,-0.954,0.954,39815.25,0.00826239359038558,0,14942820
"24",24,1000,0,0,0,-0.413,0.413,39749.75,0.00952380952380952,0,9085864
"25",25,1000,0,0,0,0.4115,0.4115,34810.1875,0.0667952072717257,0,9175735
"26",26,1000,0,0,0,0.142,0.142,33728.4375,0.0735569310493738,0,6757317
"27",27,1000,0,0,0,0.722,0.722,34408,0.0533795248868778,0,10161113
"28",28,1000,0,0,0,-0.017,0.017,39695.25,0.0105315947843531,0,13263642
"29",29,1000,0,0,0,-0.377,0.377,31097.625,0.0888078802450942,0,12442857
"30",30,1000,0,0,0,-0.2915,0.2915,31780.5,0.0873352522345099,0,8219778
"31",31,1000,0,0,0,-0.3425,0.3425,40000,0,0,7152936
"32",32,1000,0,0,0,-0.2735,0.2735,31435.453125,0.0870249520153551,0,8997996
"33",33,1000,0,0,0,-0.342,0.342,40000,0,0,8372499
"34",34,1000,0,0,0,0.0960000000000001,0.0960000000000001,35526.5625,0.0606391696257853,0,9538929
"35",35,1000,0,0,0,0.5865,0.5865,34073.3125,0.062695257029253,0,8977126
"36",36,1000,0,0,0,0.022,0.022,34424.25,0.076998804584769,0,6777497
"37",37,1000,0,0,0,-0.072,0.072,34666,0.083576693088583,0,6460963
"38",38,1000,0,0,0,-0.199,0.199,40000,0,0,9982059
"39",39,1000,0,0,0,-0.288,0.288,33805.5625,0.0957088767353807,0,7174939
"40",40,1000,0,0,0,-0.3765,0.3765,32875.28125,0.0912929528246942,0,7253370
"41",41,1000,0,0,0,0.191,0.191,33443.59375,0.0800925256614139,0,6945672
"42",42,1000,0,0,0,-0.115,0.115,33807.84375,0.105225888684322,0,9358911
"43",43,1000,0,0,0,-0.076,0.076,33196.40625,0.0743067590987868,0,8057080
"44",44,1000,0,0,1,-0.975,0.975,39952,0.007,0,22118775
"45",45,1000,0,0,0,-0.182,0.182,34731.3125,0.0474186307519641,0,7820785
"46",46,1000,0,0,0,0.069,0.069,33672.125,0.0751858204688393,0,6301656
"47",47,1000,0,0,0,-0.3595,0.3595,39281.375,0.0189298334174659,0,7208625
"48",48,1000,0,0,0,-0.347,0.347,35008.21875,0.0682226211849192,0,10836188
"49",49,1000,0,0,1,-0.934,0.934,39428.5,0.0173453996983409,0,18667251
"50",50,1000,0,0,0,-0.1345,0.1345,36097.625,0.0576430976430976,0,7451782
"51",51,1000,0,0,0,0.3035,0.3035,33806.40625,0.0693323812923956,0,9304381
"52",52,1000,0,0,0,-0.3515,0.3515,35314.140625,0.068075117370892,0,9074434
"53",53,1000,0,0,0,0.4875,0.4875,34115.125,0.0656316160903317,0,9057359
"54",54,1000,0,0,0,-0.686,0.686,36344.375,0.0538946239442284,0,9990166
"55",55,1000,0,0,0,-0.1955,0.1955,34056.28125,0.0910044767767208,0,7395420
"56",56,1000,0,0,0,0.4645,0.4645,35132.5,0.0670723274789102,0,6854286
"57",57,1000,0,0,0,-0.005,0.005,34222.3125,0.0697100119946377,0,9722956
"58",58,1000,0,0,0,-0.3565,0.3565,32553.8125,0.0755710471670128,0,7228303
"59",59,1000,0,0,0,-0.4595,0.4595,39385.5,0.0156328794755421,0,8144997
"60",60,1000,0,0,0,-0.625,0.625,36666.625,0.0451097804391218,0,10854629
"61",61,1000,0,0,0,-0.00800000000000001,0.00800000000000001,34034.8125,0.0568710208169397,0,7394844
"62",62,1000,0,0,0,-0.4235,0.4235,32857.40625,0.0834725753723211,0,8677553
"63",63,1000,0,0,0,-0.2425,0.2425,31141.796875,0.125148192056906,0,6106022
"64",64,1000,0,0,0,0.332,0.332,34804.65625,0.0764317945157931,0,8242073
"65",65,1000,0,0,0,-0.4065,0.4065,36456.375,0.0524075552008513,0,15489048
"66",66,1000,0,0,1,-0.9715,0.9715,39713,0.0135202804206309,0,17922855
"67",67,1000,0,0,0,0.518,0.518,34090.65625,0.0900621118012422,0,9639468
"68",68,1000,0,0,0,-0.2585,0.2585,31751.328125,0.111512667660209,0,9266801
"69",69,1000,0,0,0,-0.314,0.314,33307.75,0.059498728659644,0,7665725
"70",70,1000,0,0,1,-0.953,0.953,39742.5,0.012012012012012,0,18951794
"71",71,1000,0,0,0,0.472,0.472,30964.2109375,0.109790583919291,0,9965952
