"","budget","UT","BB","Extinct","rep","target","popInit","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20"
"1",1000,0,0,1,10,2000,1000,1746,2345,1030,761,680,479,196,17,0,0,0,0,0,0,0,0,0,0,0,0
"2",1000,0,0,0,20,2000,1000,1744,2732,1251,1068,1331,1844,3268,1772,1825,2782,1370,1303,1801,3200,1695,1776,2672,1292,1194,1565
"3",1000,0,0,0,30,2000,1000,1779,2017,3242,1557,1498,2674,1442,1356,1860,2698,1326,1061,1315,1735,2822,1443,1354,1895,2929,1417
"4",1000,0,0,0,40,2000,1000,1733,1691,2320,2015,2835,1361,1145,1434,1882,2788,1375,1312,1776,2534,1224,1039,1270,1668,2507,1247
"5",1000,0,0,0,50,2000,1000,1756,2846,1317,1249,1667,2668,1359,1295,1811,2647,1311,1195,1533,2240,1798,2411,1203,1044,1295,1731
"6",1000,0,0,0,60,2000,1000,1743,2633,1210,1078,1360,1915,3568,1932,1976,2966,1458,1407,2033,3161,1550,1587,2155,2374,997,750
"7",1000,0,0,1,70,2000,1000,1732,1840,2603,1190,1491,2134,2540,1099,878,818,759,617,353,94,0,0,0,0,0,0
"8",1000,0,0,0,80,2000,1000,1734,1831,2541,1133,902,1020,1129,1397,1992,3200,1587,1618,2328,1201,1060,1292,1729,2654,1318,1229
"9",1000,0,0,0,90,2000,1000,1761,2203,1768,2406,1530,1768,3172,1670,1659,2467,1197,1077,1359,2376,1269,1625,2411,1156,928,1031
"10",1000,0,0,0,100,2000,1000,1729,1893,2850,1358,1289,1751,3141,1679,2409,1466,1588,2380,1754,2948,1513,1458,2648,1426,1902,2912
"11",1000,0.1,0.2,0,10,2000,1000,1716,2242,1295,1397,1978,2940,1466,1372,2596,1417,1356,1889,2782,1328,1210,1594,2228,1719,2329,1276
"12",1000,0.1,0.2,0,20,2000,1000,1745,1384,1971,3693,1940,1863,3231,1726,1637,2471,1249,1114,1413,1891,2869,1405,1344,1880,2816,1364
"13",1000,0.1,0.2,0,30,2000,1000,1738,1647,2199,1915,3132,1634,1661,2542,1261,1008,1188,1521,2160,2362,1719,2548,1295,1165,1554,2282
"14",1000,0.1,0.2,0,40,2000,1000,1749,2206,2599,1078,1023,1241,1475,2155,2330,1848,2528,1231,1089,1829,3041,1531,1421,2043,3113,1521
"15",1000,0.1,0.2,0,50,2000,1000,1737,2013,2810,1273,1132,1446,1980,2996,1464,1422,2032,3031,1478,1461,2623,1421,1379,1897,2861,1415
"16",1000,0.1,0.2,0,60,2000,1000,1751,2129,2409,1309,1381,2475,1305,1153,1483,2104,3303,1664,2211,2008,1329,2322,1344,1816,2875,1446
"17",1000,0.1,0.2,0,70,2000,1000,1751,1410,1718,2596,1250,1092,1369,1890,2957,1499,1538,2734,1442,1370,2427,1308,1219,1660,2500,1236
"18",1000,0.1,0.2,0,80,2000,1000,1766,1099,1453,2087,3085,1476,1455,2638,1435,1370,1896,2881,1417,1881,2856,1407,1885,2863,1410,1368
"19",1000,0.1,0.2,0,90,2000,1000,1752,2628,1208,1467,2116,3216,1599,1622,3106,1700,1747,2593,1253,1701,3145,1705,1764,2700,1319,1168
"20",1000,0.1,0.2,0,100,2000,1000,1757,2614,1203,1052,1309,1787,2700,1329,1238,1685,2503,1233,1473,2103,2921,1385,1444,2035,3056,1503
"21",1000,0.1,0.8,0,10,2000,1000,1721,2146,2261,2324,1684,2172,2258,1187,1213,1641,2424,1195,1016,1201,1524,2643,1381,1275,1738,2494
"22",1000,0.1,0.8,0,20,2000,1000,1723,2824,1305,1168,1553,2313,1395,1380,1945,3031,1505,1463,2080,3704,1972,2076,3765,2022,2450,1113
"23",1000,0.1,0.8,0,30,2000,1000,1742,1770,2431,1101,850,886,874,913,953,1064,1111,1329,1835,2694,1295,1204,2052,3479,1782,1910
"24",1000,0.1,0.8,0,40,2000,1000,1753,2030,2879,1301,1201,1539,2225,1588,1978,3768,2010,2092,3109,1514,1829,3417,1831,2332,1149,875
"25",1000,0.1,0.8,0,50,2000,1000,1727,2259,2177,1167,1664,2534,1225,1079,1395,1951,2888,1400,1303,2182,2320,989,829,858,860,888
"26",1000,0.1,0.8,0,60,2000,1000,1737,2466,1083,880,960,1082,1344,1791,2708,1255,1145,1454,2573,1404,1352,2362,1326,1275,1763,3336
"27",1000,0.1,0.8,0,70,2000,1000,1739,2711,1235,1139,1477,2095,2997,1459,1409,2668,1469,1889,2834,1393,1805,2628,1281,1147,1465,2095
"28",1000,0.1,0.8,1,80,2000,1000,1736,2711,1247,1125,1490,2158,2466,1024,782,722,508,235,51,13,0,0,0,0,0,0
"29",1000,0.1,0.8,0,90,2000,1000,1763,2255,1500,1791,2707,1327,1696,2584,1394,1405,2025,3113,1522,1518,2727,1460,1415,2488,1315,1658
"30",1000,0.1,0.8,0,100,2000,1000,1737,1391,1645,2464,1389,1414,2042,3114,1542,1569,2286,1443,1581,2365,1268,1618,2392,1180,1008,1166
"31",1000,0.3,0.2,0,10,2000,1000,1723,1491,1884,2802,1314,1452,2851,1583,1843,2989,1520,1748,3137,1677,2421,1156,926,1078,1305,1768
"32",1000,0.3,0.2,0,20,2000,1000,1764,1155,1253,1659,2763,1423,2028,3783,2038,2171,3286,1620,1875,3039,1549,1754,2867,1452,1518,2420
"33",1000,0.3,0.2,1,30,2000,1000,1748,2348,1024,803,785,704,547,204,25,3,0,0,0,0,0,0,0,0,0,0
"34",1000,0.3,0.2,0,40,2000,1000,1756,2793,1288,1169,1925,3019,1496,1965,3256,1657,1948,3171,1590,2285,1300,1286,1746,2589,1235,1291
"35",1000,0.3,0.2,0,50,2000,1000,1749,1510,1952,2874,1379,1517,2449,1243,1310,1893,2875,1435,1681,2757,1414,1595,2577,1319,1438,2775
"36",1000,0.3,0.2,0,60,2000,1000,1770,2320,1134,1012,1174,1486,2168,2290,3100,1456,1761,2946,1512,1703,2761,1396,1582,3179,1783,2107
"37",1000,0.3,0.2,0,70,2000,1000,1740,1936,3192,1560,1523,2036,3043,1512,1857,3664,2000,2303,1188,1145,1459,2613,1403,1620,2677,1377
"38",1000,0.3,0.2,0,80,2000,1000,1778,1577,1959,3404,1741,1901,2984,1494,2133,3613,1900,1964,3001,1512,2154,2710,1209,1047,1295,1778
"39",1000,0.3,0.2,0,90,2000,1000,1747,1953,2620,1168,985,1542,2353,1274,1483,2379,1194,1289,1827,2742,1338,1500,2432,1249,1320,2248
"40",1000,0.3,0.2,0,100,2000,1000,1753,2327,1106,978,1460,2116,2725,1223,1342,2413,1323,1215,1600,2405,1209,1280,1763,2611,1269,1393
"41",1000,0.3,0.8,0,10,2000,1000,1725,1350,1583,2314,1356,1961,3655,1945,2814,1305,1158,1490,2138,2453,1224,1669,2960,1563,2051,3888
"42",1000,0.3,0.8,0,20,2000,1000,1700,2736,1289,1178,2034,3082,1438,1381,1954,2956,1446,1849,3270,1704,2258,1437,1640,2662,1355,1713
"43",1000,0.3,0.8,0,30,2000,1000,1749,2420,1413,1607,2295,1421,2075,3077,1483,1443,2110,2795,1269,1624,2848,1494,1972,3464,1808,2320
"44",1000,0.3,0.8,0,40,2000,1000,1758,2625,1185,1005,1166,1476,2559,1380,1789,3165,1667,2483,1187,1003,1220,1598,3038,1668,2193,1886
"45",1000,0.3,0.8,0,50,2000,1000,1746,2688,1234,1083,1381,1916,2885,1434,1814,3144,1647,2508,1193,1038,1305,1716,2458,1352,1941,3585
"46",1000,0.3,0.8,0,60,2000,1000,1733,1206,1739,2806,1391,1774,3112,1620,2137,3364,1693,1737,3162,1706,2692,1283,1182,1570,2702,1414
"47",1000,0.3,0.8,0,70,2000,1000,1743,1650,2763,1380,1284,1737,2632,1299,1640,3173,1723,2183,2534,1113,915,978,1069,1280,1662,2496
"48",1000,0.3,0.8,1,80,2000,1000,1756,2423,1027,758,714,422,104,3,0,0,0,0,0,0,0,0,0,0,0,0
"49",1000,0.3,0.8,0,90,2000,1000,1739,2051,2816,1311,1198,1568,2313,1331,1894,3363,1747,2281,1431,1606,2336,1257,1652,2918,1552,2330
"50",1000,0.3,0.8,0,100,2000,1000,1751,2196,1759,2404,1169,1007,1252,1671,2519,1233,1805,3602,1971,2490,1146,925,1047,1266,1746,2658
