"","budget","UT","BB","Extinct","rep","target","popInit","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20"
"1",1000,0,0,0,10,2000,1000,16,23,76,9,9,9,9,9,9,9,100,9,13,100,9,12,100,9,76,9
"2",1000,0,0,0,20,2000,1000,13,9,76,9,9,9,9,83,9,9,100,9,9,9,71,9,9,9,9,9
"3",1000,0,0,0,30,2000,1000,18,9,71,9,9,9,9,9,52,9,9,9,9,45,9,9,23,9,90,9
"4",1000,0,0,0,40,2000,1000,17,83,9,9,9,35,9,9,100,9,9,76,9,9,9,100,9,9,22,100
"5",1000,0,0,0,50,2000,1000,15,9,100,9,9,9,28,9,9,100,9,9,9,12,100,9,9,9,58,9
"6",1000,0,0,0,60,2000,1000,20,27,9,30,9,9,100,9,9,24,9,90,9,9,9,9,100,9,9,76
"7",1000,0,0,0,70,2000,1000,16,32,9,9,45,9,40,9,9,9,9,35,9,9,52,9,9,9,9,9
"8",1000,0,0,0,80,2000,1000,15,100,9,9,9,71,9,9,34,9,9,58,9,9,9,100,9,9,19,47
"9",1000,0,0,0,90,2000,1000,14,100,9,9,9,58,9,9,83,9,9,71,9,9,9,76,9,9,9,100
"10",1000,0,0,0,100,2000,1000,16,90,9,9,9,76,9,9,83,9,9,71,9,9,9,100,9,9,100,9
"11",1000,0.1,0.2,0,10,2000,1000,16,9,83,9,9,9,37,25,25,7,52,9,9,9,9,9,31,9,9,100
"12",1000,0.1,0.2,1,20,2000,1000,18,66,9,9,9,9,9,100,100,6,0,0,0,0,0,0,0,0,0,0
"13",1000,0.1,0.2,1,30,2000,1000,14,9,30,9,66,9,9,9,24,24,24,6,6,100,100,6,0,0,0,0
"14",1000,0.1,0.2,0,40,2000,1000,16,9,100,9,9,9,90,9,9,71,9,9,100,7,9,50,9,9,9,58
"15",1000,0.1,0.2,0,50,2000,1000,15,22,22,7,7,100,7,7,100,7,7,100,7,62,9,9,9,9,100,100
"16",1000,0.1,0.2,0,60,2000,1000,17,9,9,66,9,9,9,9,32,9,55,9,9,9,9,100,7,7,100,7
"17",1000,0.1,0.2,1,70,2000,1000,17,9,90,9,9,9,71,9,9,9,100,100,6,0,0,0,0,0,0,0
"18",1000,0.1,0.2,0,80,2000,1000,17,9,9,100,7,9,100,9,9,66,9,9,100,9,9,52,52,7,9,9
"19",1000,0.1,0.2,0,90,2000,1000,19,9,83,9,9,9,90,7,9,83,9,9,62,9,9,9,83,9,9,100
"20",1000,0.1,0.2,0,100,2000,1000,15,9,100,9,9,9,40,9,9,9,100,7,47,9,9,9,9,100,7,7
"21",1000,0.1,0.8,0,10,2000,1000,13,9,9,100,5,9,100,9,9,83,5,9,32,9,9,100,5,5,100,100
"22",1000,0.1,0.8,1,20,2000,1000,15,76,9,9,9,9,32,9,9,50,50,5,9,9,9,0,0,0,0,0
"23",1000,0.1,0.8,1,30,2000,1000,12,9,37,9,9,9,100,5,32,9,9,90,5,9,100,100,5,0,0,0
"24",1000,0.1,0.8,1,40,2000,1000,19,71,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0
"25",1000,0.1,0.8,0,50,2000,1000,16,19,100,9,9,9,90,5,9,76,9,9,9,9,100,5,5,100,100,3
"26",1000,0.1,0.8,0,60,2000,1000,20,9,66,9,9,9,9,9,9,9,9,9,90,5,9,62,9,9,9,9
"27",1000,0.1,0.8,0,70,2000,1000,14,18,25,9,38,9,9,9,100,5,83,9,9,9,9,100,5,5,100,5
"28",1000,0.1,0.8,0,80,2000,1000,16,100,9,9,9,9,100,5,45,9,9,9,9,9,100,5,71,9,9,9
"29",1000,0.1,0.8,0,90,2000,1000,16,9,90,9,9,90,5,5,100,5,27,26,9,34,9,9,100,9,9,100
"30",1000,0.1,0.8,1,100,2000,1000,19,76,9,9,9,9,9,9,9,100,5,5,100,100,3,0,0,0,0,0
"31",1000,0.3,0.2,1,10,2000,1000,18,40,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0
