"","budget","UT","BB","Extinct","rep","target","popInit","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20"
"1",1000,0,0,0,10,2000,1000,59,42,13,110,110,110,110,110,110,110,10,110,74,10,110,82,10,110,13,110
"2",1000,0,0,0,20,2000,1000,75,110,13,110,110,110,110,12,110,110,10,110,110,110,14,110,110,110,110,110
"3",1000,0,0,0,30,2000,1000,54,110,14,110,110,110,110,110,19,110,110,110,110,22,110,110,42,110,11,110
"4",1000,0,0,0,40,2000,1000,57,12,110,110,110,28,110,110,10,110,110,13,110,110,110,10,110,110,44,10
"5",1000,0,0,0,50,2000,1000,63,110,10,110,110,110,35,110,110,10,110,110,110,77,10,110,110,110,17,110
"6",1000,0,0,0,60,2000,1000,49,36,110,33,110,110,10,110,110,41,110,11,110,110,110,110,10,110,110,13
"7",1000,0,0,0,70,2000,1000,61,31,110,110,22,110,25,110,110,110,110,28,110,110,19,110,110,110,110,110
"8",1000,0,0,0,80,2000,1000,65,10,110,110,110,14,110,110,29,110,110,17,110,110,110,10,110,110,52,21
"9",1000,0,0,0,90,2000,1000,67,10,110,110,110,17,110,110,12,110,110,14,110,110,110,13,110,110,110,10
"10",1000,0,0,0,100,2000,1000,62,11,110,110,110,13,110,110,12,110,110,14,110,110,110,10,110,110,10,110
"11",1000,0.1,0.2,0,10,2000,1000,62,110,12,110,110,110,27,39,39,130,19,110,110,110,110,110,32,110,110,10
"12",1000,0.1,0.2,1,20,2000,1000,54,15,110,110,110,110,110,10,10,150,0,0,0,0,0,0,0,0,0,0
"13",1000,0.1,0.2,1,30,2000,1000,69,110,33,110,15,110,110,110,41,41,41,150,150,10,10,150,0,0,0,0
"14",1000,0.1,0.2,0,40,2000,1000,61,110,10,110,110,110,11,110,110,14,110,110,10,130,110,20,110,110,110,17
"15",1000,0.1,0.2,0,50,2000,1000,63,45,45,130,130,10,130,130,10,130,130,10,130,16,110,110,110,110,10,10
"16",1000,0.1,0.2,0,60,2000,1000,56,110,110,15,110,110,110,110,31,110,18,110,110,110,110,10,130,130,10,130
"17",1000,0.1,0.2,1,70,2000,1000,58,110,11,110,110,110,14,110,110,110,10,10,150,0,0,0,0,0,0,0
"18",1000,0.1,0.2,0,80,2000,1000,56,110,110,10,130,110,10,110,110,15,110,110,10,110,110,19,19,130,110,110
"19",1000,0.1,0.2,0,90,2000,1000,52,110,12,110,110,110,11,130,110,12,110,110,16,110,110,110,12,110,110,10
"20",1000,0.1,0.2,0,100,2000,1000,64,110,10,110,110,110,25,110,110,110,10,130,21,110,110,110,110,10,130,130
"21",1000,0.1,0.8,0,10,2000,1000,74,110,110,10,190,110,10,110,110,12,190,110,31,110,110,10,190,190,10,10
"22",1000,0.1,0.8,1,20,2000,1000,65,13,110,110,110,110,31,110,110,20,20,190,110,110,110,0,0,0,0,0
"23",1000,0.1,0.8,1,30,2000,1000,77,110,27,110,110,110,10,190,31,110,110,11,190,110,10,10,190,0,0,0
"24",1000,0.1,0.8,1,40,2000,1000,52,14,110,110,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0
"25",1000,0.1,0.8,0,50,2000,1000,60,51,10,110,110,110,11,190,110,13,110,110,110,110,10,190,190,10,10,270
"26",1000,0.1,0.8,0,60,2000,1000,48,110,15,110,110,110,110,110,110,110,110,110,11,190,110,16,110,110,110,110
"27",1000,0.1,0.8,0,70,2000,1000,67,54,40,110,26,110,110,110,10,190,12,110,110,110,110,10,190,190,10,190
"28",1000,0.1,0.8,0,80,2000,1000,62,10,110,110,110,110,10,190,22,110,110,110,110,110,10,190,14,110,110,110
"29",1000,0.1,0.8,0,90,2000,1000,60,110,11,110,110,11,190,190,10,190,37,38,110,29,110,110,10,110,110,10
"30",1000,0.1,0.8,1,100,2000,1000,51,13,110,110,110,110,110,110,110,10,190,190,10,10,269,0,0,0,0,0
"31",1000,0.3,0.2,1,10,2000,1000,55,25,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,0
"32",1000,0.3,0.2,1,20,2000,1000,63,110,110,10,130,130,130,10,10,170,0,0,0,0,0,0,0,0,0,0
"33",1000,0.3,0.2,1,30,2000,1000,64,110,110,110,10,10,170,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",1000,0.3,0.2,1,40,2000,1000,75,78,10,10,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",1000,0.3,0.2,1,50,2000,1000,54,110,110,110,10,10,150,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",1000,0.3,0.2,1,60,2000,1000,67,29,110,110,110,10,10,150,0,0,0,0,0,0,0,0,0,0,0,0
"37",1000,0.3,0.2,1,70,2000,1000,63,10,110,110,110,110,10,10,170,0,0,0,0,0,0,0,0,0,0,0
"38",1000,0.3,0.2,1,80,2000,1000,65,110,11,110,110,110,110,10,10,150,0,0,0,0,0,0,0,0,0,0
"39",1000,0.3,0.2,1,90,2000,1000,69,24,110,110,110,110,110,14,14,150,0,0,0,0,0,0,0,0,0,0
"40",1000,0.3,0.2,1,100,2000,1000,69,27,110,110,110,110,10,10,170,0,0,0,0,0,0,0,0,0,0,0
"41",1000,0.3,0.8,1,10,2000,1000,56,110,10,110,110,110,110,10,10,350,0,0,0,0,0,0,0,0,0,0
"42",1000,0.3,0.8,1,20,2000,1000,55,20,110,110,110,110,10,10,350,0,0,0,0,0,0,0,0,0,0,0
"43",1000,0.3,0.8,1,30,2000,1000,58,12,110,110,110,110,10,10,110,110,110,110,0,0,0,0,0,0,0,0
"44",1000,0.3,0.8,1,40,2000,1000,45,25,25,190,110,110,110,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",1000,0.3,0.8,1,50,2000,1000,50,110,10,110,110,110,11,190,190,10,10,270,0,0,0,0,0,0,0,0
"46",1000,0.3,0.8,1,60,2000,1000,58,46,11,110,110,110,110,110,10,10,350,0,0,0,0,0,0,0,0,0
"47",1000,0.3,0.8,1,70,2000,1000,47,75,13,110,110,110,110,110,110,110,110,110,0,0,0,0,0,0,0,0
"48",1000,0.3,0.8,1,80,2000,1000,52,19,110,110,110,110,110,110,110,110,110,110,0,0,0,0,0,0,0,0
"49",1000,0.3,0.8,1,90,2000,1000,50,110,110,10,10,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",1000,0.3,0.8,1,100,2000,1000,58,12,110,110,110,110,10,10,350,0,0,0,0,0,0,0,0,0,0,0
