"","budget","UT","BB","Extinct","rep","target","popInit","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20"
"1",1000,0,0,0,10,2000,1000,1767,2189,2625,1110,927,1015,1020,1179,1374,1907,2948,1510,2113,3170,1536,2102,3855,2076,2631,1217
"2",1000,0,0,0,20,2000,1000,1751,1967,2639,1193,1016,1106,1515,2699,1438,1872,2833,1415,1345,1809,2589,1276,945,933,1017,1018
"3",1000,0,0,0,30,2000,1000,1732,1967,2587,1157,950,1052,1227,1635,2432,1207,1025,1245,1624,2378,1404,1511,2201,2043,2789,1329
"4",1000,0,0,0,40,2000,1000,1754,2690,1254,1058,1308,2294,1502,1668,3186,1695,1755,2622,1269,1162,1533,2811,1511,1478,2189,3087
"5",1000,0,0,0,50,2000,1000,1762,2036,2847,1271,1177,1543,2241,1545,1912,2855,1373,1194,1530,2108,2791,1283,1213,1638,2497,1244
"6",1000,0,0,0,60,2000,1000,1744,2232,1698,2255,1604,1987,3044,1506,1500,2204,2005,2779,1344,1098,1379,1903,2829,1388,1744,2650
"7",1000,0,0,0,70,2000,1000,1713,2268,1371,1582,2378,1853,2335,1184,1020,1255,1647,2299,1429,1647,2446,1180,988,1149,1428,2050
"8",1000,0,0,0,80,2000,1000,1761,2844,1320,1251,1713,2617,1306,1552,2292,1464,1669,2493,1280,1193,2042,3199,1536,1508,2160,2400
"9",1000,0,0,0,90,2000,1000,1741,2866,1328,1221,1549,2499,1395,1498,2713,1442,1773,2570,1270,1149,1517,2665,1422,1347,1899,2909
"10",1000,0,0,0,100,2000,1000,1740,2756,1285,1164,1516,2627,1376,1769,2689,1346,1740,2618,1300,1240,1822,2861,1428,1858,2801,1387
"11",1000,0.1,0.2,0,10,2000,1000,1723,1914,2714,1254,1122,1465,2316,2213,2125,1613,2405,1219,904,1019,1204,1557,2262,1518,1782,3361
"12",1000,0.1,0.2,1,20,2000,1000,1728,2553,1152,988,1180,1516,2174,3832,2044,4,0,0,0,0,0,0,0,0,0,0
