"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","overK"
"1",1,1000,0,0,0,-0.4145,0.4145,36765.4375,0.0680614406779661,0,0.2
"2",2,1000,0,0,0,0.3205,0.3205,39511,0.0196078431372549,0,0.4
"3",3,1000,0,0,1,-0.977,0.977,39928.25,0.00350175087543772,0,0.157894736842105
"4",4,1000,0,0,0,-0.353,0.353,32384.265625,0.0760233918128655,0,0.3
"5",5,1000,0,0,0,-0.2665,0.2665,33193.625,0.0875807609475951,0,0.3
"6",6,1000,0,0,0,-0.1285,0.1285,39838,0.00701051577366049,0,0.3
"7",7,1000,0,0,0,0.1335,0.1335,35120.25,0.0771243630353946,0,0.25
"8",8,1000,0,0,0,-0.0639999999999999,0.0639999999999999,32601.78125,0.094084445096027,0,0.3
"9",9,1000,0,0,1,-0.9255,0.9255,39337.5,0.0214538112064614,0,0.111111111111111
"10",10,1000,0,0,0,0.1395,0.1395,33610.4453125,0.0745109321058688,0,0.35
"11",11,1000,0,0,0,-0.5325,0.5325,39844.5,0.00550550550550551,0,0.25
"12",12,1000,0,0,0,-0.978,0.978,38769,0.0287385554425229,0,0.25
"13",13,1000,0,0,0,-0.359,0.359,35246.8125,0.0819447301652609,0,0.2
"14",14,1000,0,0,0,0.4325,0.4325,34559.0625,0.0932280382975749,0,0.25
"15",15,1000,0,0,1,-0.957,0.957,39844,0.009,0,0.125
"16",16,1000,0,0,0,0.095,0.095,34658.6875,0.0608543417366947,0,0.35
"17",17,1000,0,0,0,-0.2975,0.2975,31966.5,0.0940509069194596,0,0.3
"18",18,1000,0,0,0,-0.2365,0.2365,33565.09375,0.0679012345679012,0,0.35
"19",19,1000,0,0,0,-0.229,0.229,31071.0625,0.111264898116109,0,0.35
"20",20,1000,0,0,0,-0.226,0.226,31242.984375,0.0765484705524273,0,0.3
"21",21,1000,0,0,0,-0.107,0.107,32459.0625,0.0856638210185458,0,0.3
"22",22,1000,0,0,0,-0.2075,0.2075,33627.21875,0.0875995449374289,0,0.2
"23",23,1000,0,0,0,-0.312,0.312,33299.46875,0.103898855770589,0,0.35
"24",24,1000,0,0,0,-0.266,0.266,36032.875,0.0691002155172414,0,0.2
"25",25,1000,0,0,0,-0.086,0.086,39976,0.002,0,0.4
"26",26,1000,0,0,1,-0.96,0.96,39838.25,0.0145072536268134,0,0.2
"27",27,1000,0,0,0,0.281,0.281,35305.375,0.0497378587196468,0,0.3
"28",28,1000,0,0,0,0.48,0.48,33765.90625,0.0747696669029057,0,0.35
"29",29,1000,0,0,0,-0.3415,0.3415,39958,0.0025,0,0.3
"30",30,1000,0,0,0,-0.338,0.338,34679.375,0.0850713501646542,0,0.3
"31",31,1000,0,0,0,-0.425,0.425,31500.59375,0.0833205521472393,0,0.4
"32",32,1000,0,0,0,0.43,0.43,34425.15625,0.0795121951219512,0,0.4
"33",33,1000,0,0,0,0.455,0.455,32696.84375,0.0899739206027238,0,0.3
"34",34,1000,0,0,0,0.085,0.085,34174.09375,0.0551063829787234,0,0.3
"35",35,1000,0,0,0,-0.04,0.04,40000,0,0,0.35
"36",36,1000,0,0,1,-0.943,0.943,39623.75,0.0170426065162907,0,0.125
"37",37,1000,0,0,0,-0.3215,0.3215,35111.9375,0.0589290643113442,0,0.35
"38",38,1000,0,0,0,-0.3155,0.3155,39381.5,0.016633064516129,0,0.2
"39",39,1000,0,0,0,-0.412,0.412,33075.75,0.1024578450986,0,0.25
"40",40,1000,0,0,0,0.217,0.217,35085.1875,0.0505555555555556,0,0.25
"41",41,1000,0,0,1,-0.9845,0.9845,39982,0.003,0,0
"42",42,1000,0,0,0,-0.2795,0.2795,40000,0,0,0.25
"43",43,1000,0,0,0,-0.261,0.261,31558.1875,0.0935486316427867,0,0.3
"44",44,1000,0,0,0,0.393,0.393,32875.71875,0.0696172336599508,0,0.4
"45",45,1000,0,0,0,-0.3745,0.3745,32754.9375,0.0806469338413071,0,0.25
"46",46,1000,0,0,0,-0.2745,0.2745,33516.125,0.0715629522431259,0,0.35
"47",47,1000,0,0,0,-0.4195,0.4195,39640.5,0.00979899497487437,0,0.25
"48",48,1000,0,0,0,-0.098,0.098,31761.78125,0.0957630296212973,0,0.4
"49",49,1000,0,0,0,-0.556,0.556,39577.25,0.0233668341708543,0,0.35
"50",50,1000,0,0,0,0.531,0.531,34066.21875,0.0928641251221896,0,0.5
"51",51,1000,0,0,0,-0.0785,0.0785,39856.5,0.00425851703406814,0,0.25
"52",52,1000,0,0,0,0.429,0.429,34732.71875,0.0765603328710125,0,0.4
"53",53,1000,0,0,1,-0.9655,0.9655,39784.75,0.00951427140711067,0,0
"54",54,1000,0,0,0,-0.2465,0.2465,39964,0.0025,0,0.3
"55",55,1000,0,0,0,0.0920000000000001,0.0920000000000001,39994,5e-04,0,0.5
"56",56,1000,0,0,0,-0.2335,0.2335,39018.625,0.0256475368207212,0,0.3
"57",57,1000,0,0,0,0.587,0.587,33372.3125,0.0952142140707838,0,0.4
"58",58,1000,0,0,0,-0.407,0.407,32906.25,0.100495193708127,0,0.35
"59",59,1000,0,0,1,-0.955,0.955,39659.75,0.014550928248871,0,0.0769230769230769
"60",60,1000,0,0,0,-0.5525,0.5525,37603.875,0.043976060369503,0,0.3
"61",61,1000,0,0,0,-0.336,0.336,32521.390625,0.0722739114253815,0,0.25
"62",62,1000,0,0,1,-0.993,0.993,40000,0,0,0.2
"63",63,1000,0,0,0,-0.2375,0.2375,31148.921875,0.0934399753902945,0,0.3
"64",64,1000,0,0,0,-0.4325,0.4325,39736.25,0.0060271220492215,0,0.25
"65",65,1000,0,0,1,-0.97,0.97,39880,0.008,0,0.0625
"66",66,1000,0,0,0,0.5575,0.5575,35285.0625,0.0928600626788391,0,0.4
"67",67,1000,0,0,0,-0.0715,0.0715,34331.375,0.0809324982602644,0,0.2
"68",68,1000,0,0,0,-0.1395,0.1395,33585.9375,0.0840778097982709,0,0.35
"69",69,1000,0,0,0,-0.4665,0.4665,31965.6875,0.11505828537701,0,0.35
"70",70,1000,0,0,0,0.3525,0.3525,32508.1875,0.0775314116777531,0,0.35
"71",71,1000,0,0,0,0.0215000000000001,0.0215000000000001,35216.53125,0.0665842943437672,0,0.35
"72",72,1000,0,0,0,0.403,0.403,34356.90625,0.0741881298992161,0,0.4
"73",73,1000,0,0,0,0.538,0.538,34018.0625,0.0787285029602481,0,0.4
"74",74,1000,0,0,0,-0.37,0.37,39487,0.0120967741935484,0,0.35
"75",75,1000,0,0,0,0.0934999999999999,0.0934999999999999,39904,0.00450225112556278,0,0.35
"76",76,1000,0,0,0,-0.312,0.312,32195.15625,0.0898604651162791,0,0.35
"77",77,1000,0,0,0,-0.1385,0.1385,34622.578125,0.0772758860319666,0,0.35
"78",78,1000,0,0,0,-0.466,0.466,39126.25,0.0157320477036285,0,0.35
"79",79,1000,0,0,0,-0.2385,0.2385,33270.59375,0.082216457702839,0,0.35
"80",80,1000,0,0,0,-0.9445,0.9445,38399.125,0.0329302804219192,0,0.25
"81",81,1000,0,0,0,0.0734999999999999,0.0734999999999999,33564.4375,0.0838104780990553,0,0.4
"82",82,1000,0,0,0,-0.3165,0.3165,31958.640625,0.0986842105263158,0,0.25
"83",83,1000,0,0,0,0.11,0.11,34273.09375,0.0969860362228674,0,0.3
"84",84,1000,0,0,0,0.7635,0.7635,34591.0625,0.0810079133694294,0,0.3
"85",85,1000,0,0,0,-0.5505,0.5505,37266.375,0.0434269220676988,0,0.3
"86",86,1000,0,0,0,0.171,0.171,33465.6875,0.0922128208805392,0,0.4
"87",87,1000,0,0,0,-0.33,0.33,32068.21875,0.0905593370819769,0,0.4
"88",88,1000,0,0,0,-0.3655,0.3655,33462,0.0931777378815081,0,0.3
"89",89,1000,0,0,0,-0.0795,0.0795,33469.46875,0.0903028118240807,0,0.4
"90",90,1000,0,0,0,-0.334,0.334,32277.53125,0.0892174168873198,0,0.2
"91",91,1000,0,0,0,-0.2405,0.2405,33437.71875,0.0709486308792717,0,0.25
"92",92,1000,0,0,0,-0.9015,0.9015,38079.0625,0.045442842430484,0,0.2
"93",93,1000,0,0,1,-0.9675,0.9675,39778.75,0.0132566283141571,0,0.25
"94",94,1000,0,0,0,-0.3485,0.3485,34206.53125,0.0785714285714286,0,0.25
"95",95,1000,0,0,0,-0.33,0.33,32210.4375,0.0896525961897647,0,0.3
"96",96,1000,0,0,1,-0.9535,0.9535,39737.625,0.00976953907815631,0,0.230769230769231
"97",97,1000,0,0,0,-0.1415,0.1415,34470.8125,0.103548253486125,0,0.3
"98",98,1000,0,0,0,-0.2865,0.2865,31220.625,0.0811123986095017,0,0.35
"99",99,1000,0,0,0,-0.2805,0.2805,36375.75,0.057557826788596,0,0.25
"100",100,1000,0,0,0,-0.427,0.427,36718.25,0.0393963675213675,0,0.25
"101",1,1000,0.1,0,0,0.664,0.664,33218.5625,0.0633114514952589,0.25,0.5
"102",2,1000,0.1,0,1,-0.947,0.947,39547.5,0.0210631895687061,0,0.1
"103",3,1000,0.1,0,0,0.4975,0.4975,33941,0.0849677780891006,0.15,0.4
"104",4,1000,0.1,0,1,-0.934,0.934,39528.75,0.0205616850551655,0,0.0833333333333333
"105",5,1000,0.1,0,1,-0.954,0.954,39576.25,0.018309505894156,0,0.181818181818182
"106",6,1000,0.1,0,1,-0.9315,0.9315,39892,0.00600300150075038,0.142857142857143,0.142857142857143
"107",7,1000,0.1,0,0,-0.379,0.379,39976,0.002,0.15,0.2
"108",8,1000,0.1,0,0,-0.275,0.275,31237.78125,0.116649151779012,0.1,0.25
"109",9,1000,0.1,0,0,-0.382,0.382,36488.375,0.0648930551888038,0.05,0.2
"110",10,1000,0.1,0,0,0.5825,0.5825,34068.59375,0.0868668184405236,0.1,0.25
"111",11,1000,0.1,0,1,0.0209999999999999,0.0209999999999999,39457.25,0.0128528225806452,0.222222222222222,0.444444444444444
"112",12,1000,0.1,0,1,-0.931,0.931,39494,0.0153112449799197,0,0.125
"113",13,1000,0.1,0,0,-0.4125,0.4125,32932.90625,0.118892624651263,0.1,0.35
"114",14,1000,0.1,0,0,-0.2785,0.2785,36141.0625,0.0418645677839598,0.15,0.35
"115",15,1000,0.1,0,0,0.4445,0.4445,34188.96875,0.0887507066139062,0.15,0.4
"116",16,1000,0.1,0,0,-0.253,0.253,39958,0.0035,0.15,0.35
"117",17,1000,0.1,0,0,-0.1985,0.1985,34582.3125,0.0674188998589563,0.1,0.2
"118",18,1000,0.1,0,1,-0.02,0.02,39718.75,0.00903614457831325,0.1875,0.3125
"119",19,1000,0.1,0,0,-0.025,0.025,30749.015625,0.0932446026464443,0.1,0.3
"120",20,1000,0.1,0,1,-0.9745,0.9745,39874.75,0.00650325162581291,0,0.0909090909090909
"121",21,1000,0.1,0,0,0.0954999999999999,0.0954999999999999,34909,0.0602737812543651,0.1,0.3
