"","budget","UT","BB","Extinct","rep","target","popInit","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20"
"1",1000,0,0,0,10,2000,1000,58,13,110,110,110,110,18,110,110,64,12,110,110,110,110,107,10,110,110,30
"2",1000,0,0,0,20,2000,1000,59,13,110,110,110,110,110,19,110,110,110,110,42,10,110,110,110,110,10,110
"3",1000,0,0,0,30,2000,1000,52,16,110,110,110,110,110,36,10,110,110,14,110,110,110,10,110,110,19,110
"4",1000,0,0,0,40,2000,1000,73,110,15,110,110,110,110,10,110,110,110,10,110,110,110,10,110,110,110,19
"5",1000,0,0,0,50,2000,1000,66,49,49,110,10,110,110,41,10,110,110,11,110,110,110,10,110,110,110,10
"6",1000,0,0,0,60,2000,1000,77,25,110,10,110,110,110,10,110,110,10,110,110,11,110,110,110,20,110,110
"7",1000,0,0,0,70,2000,1000,89,10,110,110,110,10,110,110,110,10,110,110,110,10,110,110,10,110,110,12
"8",1000,0,0,0,80,2000,1000,54,110,110,15,110,110,15,110,110,110,16,110,110,38,17,110,110,110,110,110
"9",1000,0,0,0,90,2000,1000,61,110,19,110,110,110,110,110,110,13,110,110,110,110,11,110,110,110,11,110
"10",1000,0,0,0,100,2000,1000,61,110,25,110,14,110,110,110,13,110,110,110,13,110,110,20,110,110,110,110
"11",1000,0.1,0,0,10,2000,1000,48,110,21,110,110,110,110,110,110,18,110,110,110,110,110,10,110,110,110,10
"12",1000,0.1,0,1,20,2000,1000,57,110,14,110,110,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0
"13",1000,0.1,0,1,30,2000,1000,57,19,110,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0
"14",1000,0.1,0,0,40,2000,1000,68,110,13,110,110,110,39,39,110,110,10,110,110,110,23,110,110,110,110,12
"15",1000,0.1,0,0,50,2000,1000,44,110,110,18,110,110,110,110,10,110,34,110,110,10,110,110,22,110,110,110
"16",1000,0.1,0,1,60,2000,1000,60,11,110,110,110,110,10,10,110,0,0,0,0,0,0,0,0,0,0,0
"17",1000,0.1,0,0,70,2000,1000,56,110,14,110,110,110,110,20,110,110,110,110,13,110,110,24,110,110,110,10
"18",1000,0.1,0,0,80,2000,1000,64,48,48,48,110,110,10,110,110,40,40,110,110,10,110,110,10,110,110,10
"19",1000,0.1,0,1,90,2000,1000,59,13,110,110,110,110,10,10,110,0,0,0,0,0,0,0,0,0,0,0
"20",1000,0.1,0,0,100,2000,1000,57,110,12,110,110,10,110,110,10,110,110,10,110,110,10,110,110,23,110,110
"21",1000,0.1,0.1,0,10,2000,1000,60,11,110,110,110,31,110,110,10,110,110,12,110,110,110,27,110,110,110,10
"22",1000,0.1,0.1,0,20,2000,1000,58,110,110,10,110,110,17,110,110,110,22,110,110,10,110,110,110,10,110,110
"23",1000,0.1,0.1,0,30,2000,1000,70,12,110,110,110,110,110,110,110,10,110,110,10,110,110,21,110,110,110,110
"24",1000,0.1,0.1,0,40,2000,1000,54,12,110,110,110,10,110,110,15,110,110,110,110,10,110,21,110,110,110,110
"25",1000,0.1,0.1,0,50,2000,1000,62,29,110,110,110,10,110,110,10,110,110,13,110,110,110,15,110,110,110,110
"26",1000,0.1,0.1,0,60,2000,1000,47,110,110,110,10,110,110,30,110,110,12,110,110,10,110,110,10,110,110,11
"27",1000,0.1,0.1,1,70,2000,1000,52,110,10,110,110,10,110,110,10,110,110,10,110,110,110,10,10,120,0,0
"28",1000,0.1,0.1,0,80,2000,1000,58,20,110,110,110,110,13,110,110,110,37,26,110,110,110,110,110,110,110,10
"29",1000,0.1,0.1,0,90,2000,1000,66,38,110,110,10,110,110,18,110,110,110,10,110,33,110,40,40,120,110,38
"30",1000,0.1,0.1,1,100,2000,1000,59,110,110,10,110,110,110,20,110,110,110,110,10,10,120,0,0,0,0,0
"31",1000,0.1,0.2,0,10,2000,1000,60,110,16,110,110,110,110,110,110,110,110,110,39,20,110,110,110,110,110,110
"32",1000,0.1,0.2,1,20,2000,1000,63,110,18,110,110,110,110,110,110,110,110,110,10,110,110,10,10,130,0,0
"33",1000,0.1,0.2,0,30,2000,1000,63,76,14,110,110,110,110,110,110,110,110,110,10,110,110,13,110,110,110,110
"34",1000,0.1,0.2,0,40,2000,1000,58,110,10,110,110,110,17,110,110,110,110,10,110,110,18,110,110,110,110,18
"35",1000,0.1,0.2,0,50,2000,1000,57,18,110,110,110,110,110,110,110,110,110,110,10,110,110,12,110,110,110,10
"36",1000,0.1,0.2,0,60,2000,1000,68,10,110,110,110,26,110,110,110,13,110,110,110,26,110,110,110,17,110,110
"37",1000,0.1,0.2,0,70,2000,1000,72,39,110,36,110,110,10,110,110,16,110,110,17,110,110,110,110,15,110,110
"38",1000,0.1,0.2,0,80,2000,1000,50,110,17,110,110,110,110,110,22,110,10,110,110,110,10,110,110,19,110,110
"39",1000,0.1,0.2,1,90,2000,1000,40,110,29,110,110,14,110,110,110,41,19,110,110,110,110,110,110,0,0,0
"40",1000,0.1,0.2,1,100,2000,1000,55,110,110,10,10,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",1000,0.1,0.3,1,10,2000,1000,65,110,15,110,110,110,110,110,110,110,110,110,0,0,0,0,0,0,0,0
"42",1000,0.1,0.3,0,20,2000,1000,53,15,110,110,110,10,110,110,110,10,110,110,110,10,110,110,31,110,110,10
"43",1000,0.1,0.3,1,30,2000,1000,52,16,110,110,110,110,110,110,110,110,10,10,140,0,0,0,0,0,0,0
"44",1000,0.1,0.3,0,40,2000,1000,57,13,110,110,16,110,110,110,110,10,110,110,110,10,110,110,10,110,110,10
"45",1000,0.1,0.3,0,50,2000,1000,63,12,110,110,12,110,110,110,10,110,110,10,110,29,10,110,110,110,22,110
"46",1000,0.1,0.3,0,60,2000,1000,56,15,110,110,110,110,37,37,140,110,110,28,110,110,14,110,110,110,12,110
"47",1000,0.1,0.3,0,70,2000,1000,64,14,110,110,15,110,110,110,13,110,110,110,11,110,110,27,110,110,10,110
"48",1000,0.1,0.3,0,80,2000,1000,67,11,110,110,39,39,140,140,10,110,110,110,10,110,110,33,110,10,110,110
"49",1000,0.1,0.3,0,90,2000,1000,59,75,13,110,110,110,110,40,40,140,140,10,110,110,24,110,110,110,110,10
"50",1000,0.1,0.3,1,100,2000,1000,61,32,110,110,10,110,110,19,110,110,35,35,140,110,110,110,110,110,0,0
"51",1000,0.1,0.4,1,10,2000,1000,57,64,16,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0
"52",1000,0.1,0.4,0,20,2000,1000,67,13,110,110,110,110,110,110,13,110,110,110,10,110,110,110,10,110,110,10
