"rep","budget","at","bb","ext_prob","ext_prob_sd","ext_prob_95ci_inf","ext_prob_95ci_sup","act_dev","act_dev_sd","act_dev_95ci_inf","act_dev_95ci_sup","abs_act_dev","abs_act_dev_sd","abs_act_dev_95ci_inf","abs_act_dev_95ci_sup","fin_yield","fin_yield_sd","fin_yield_95ci_inf","fin_yield_95ci_sup","max_diff_yield","max_diff_yield_sd","max_diff_yield_95ci_inf","max_diff_yield_95ci_sup","inac_ts","inac_ts_sd","inac_ts_95ci_inf","inac_ts_95ci_sup","overK_tot","overK_sd","overK_95ci_inf","overK_95ci_sup"
88,1000,0,0,0.12,0.100702803066521,0.06,0.18,-0.135659090909091,0.125283355576139,-0.208153409090909,-0.0651534090909091,0.321681818181818,0.0687816198894403,0.283017045454545,0.361528409090909,35073.824662642,1005.08632594052,34471.0046164773,35647.5462535511,0.0646491256008785,0.0117861252075,0.0577706013232706,0.0709750444000654,0,0,0,0,0.314772727272727,0.0239980817871168,0.300568181818182,0.327840909090909
72,1000,0.1,0,0.28,0.147597651291159,0.2,0.37,-0.0736388888888889,0.175997433340344,-0.162180555555556,0.0149652777777778,0.341777777777778,0.0914976539670195,0.292569444444444,0.388034722222222,34900.2422960069,1276.39616693852,34233.228515625,35574.1603732639,0.0644682212671986,0.0151732135088238,0.0563833143314314,0.072207262675485,0.113888888888889,0.0295485061184551,0.0979166666666667,0.129861111111111,0.322916666666667,0.0349673614763922,0.304861111111111,0.340972222222222
70,1000,0.1,0.1,0.3,0.139094005709241,0.22,0.39,-0.0376214285714286,0.178102370005891,-0.133335714285714,0.0487857142857143,0.327321428571429,0.10512145970211,0.273407142857143,0.380285714285714,35376.4542410714,1246.04687320758,34725.2044642857,36012.1595982143,0.0606830615371384,0.0161407622004788,0.0517318739071402,0.068032135953638,0.115,0.0261856221739431,0.101428571428571,0.128571428571429,0.318571428571429,0.0258440731985358,0.304285714285714,0.331428571428571
73,1000,0.1,0.2,0.27,0.141186888108412,0.18,0.36,-0.113986301369863,0.162819929081476,-0.199965753424658,-0.0284452054794521,0.317342465753425,0.0877290776670615,0.271376712328767,0.365287671232877,35212.1693065068,1140.25015632565,34618.6102311644,35797.1327054795,0.0629748530575382,0.0131848792059747,0.0559590533405688,0.0698507250965552,0.106849315068493,0.0272234837941458,0.0931506849315068,0.121232876712329,0.314383561643836,0.0271334348283848,0.3,0.328767123287671
79,1000,0.1,0.3,0.21,0.132623489243007,0.13,0.29,-0.0462974683544304,0.151214576741726,-0.128708860759494,0.0354113924050633,0.313094936708861,0.0834762777526043,0.270272151898734,0.361867088607595,35311.4653876582,1148.22424834264,34664.5146360759,35937.6473496835,0.0591890620662843,0.0134424659313201,0.0515122672432887,0.0663926733194997,0.127215189873418,0.0236650056611801,0.115189873417722,0.140506329113924,0.330379746835443,0.0254772134514802,0.316455696202532,0.344303797468354
67,1000,0.1,0.4,0.33,0.149933018715059,0.24,0.43,-0.0641641791044776,0.174398173974124,-0.152746268656716,0.0235373134328358,0.313731343283582,0.0966112975007645,0.267126865671642,0.363716417910448,35058.4850746269,1166.14142156917,34475.7089552239,35669.5016324627,0.0651630468575188,0.0148262454971671,0.0572261317540105,0.0722569191015695,0.112686567164179,0.0252543786197338,0.1,0.125373134328358,0.319402985074627,0.0291029988085267,0.305223880597015,0.333582089552239
63,1000,0.1,0.5,0.37,0.153812738698258,0.28,0.47,-0.0621587301587302,0.164584443734097,-0.138984126984127,0.017984126984127,0.290142857142857,0.0860736179038255,0.251293650793651,0.332087301587302,35088.5939980159,1385.2048184769,34467.9144345238,35801.1505456349,0.0658570146130644,0.0166921365065456,0.0578080555859352,0.0734957666300577,0.106349206349206,0.0258859232220596,0.0936507936507937,0.119047619047619,0.314285714285714,0.0284793059923431,0.300793650793651,0.327777777777778
81,1000,0.1,0.6,0.19,0.128008644752271,0.11,0.27,-0.0913148148148148,0.150465036888333,-0.1735,-0.00537654320987655,0.32112962962963,0.0930598493527496,0.273851851851852,0.376956790123457,34971.2257908951,1102.39171298751,34385.8109567901,35597.8707561728,0.0641144707151168,0.0128379164118398,0.0572204428847802,0.0710719104764625,0.106172839506173,0.0204281120229335,0.0950617283950617,0.117283950617284,0.311111111111111,0.0260381064324465,0.296913580246914,0.326543209876543
72,1000,0.1,0.7,0.28,0.146320583416391,0.19,0.37,-0.0929166666666667,0.155084836952966,-0.173465277777778,-0.0129791666666667,0.317902777777778,0.0745407186655988,0.2773125,0.355583333333333,35269.2303602431,1250.27196087063,34615.3953993056,35939.5192057292,0.0617946150726223,0.0152490266784391,0.0539172739255005,0.069472881189656,0.0993055555555556,0.0208681527948021,0.0881944444444445,0.110416666666667,0.302083333333333,0.0251338552703554,0.288888888888889,0.315277777777778
71,1000,0.1,0.8,0.29,0.152409602285049,0.2,0.38,-0.122161971830986,0.172436674649243,-0.209492957746479,-0.0336619718309859,0.349077464788732,0.0888429580441621,0.305908450704225,0.398028169014085,34790.8873239437,1075.69446422287,34189.5554577465,35322.4113116197,0.0643274447115147,0.0125030188601919,0.0577070815066517,0.0706273226256157,0.0950704225352113,0.0256903370599923,0.0823943661971831,0.108450704225352,0.316901408450704,0.032759372637358,0.300704225352113,0.334507042253521
