"","bdgt_ratio","at","bb","extinct","","","","","","","","","","","","","","","","","","","",""
"1",0.4,0,0,1,730,356,172,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.4,0,0,1,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.4,0,0,1,748,360,179,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0.4,0,0,1,780,466,314,128,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0.4,0,0,1,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0.4,0,0,1,770,548,394,219,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0.4,0,0,1,758,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0.4,0,0,1,746,554,393,232,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0.4,0,0,1,770,630,489,333,162,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0.4,0,0,1,777,566,423,255,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0.8,0,0,1,805,617,578,553,529,549,533,508,476,449,414,377,329,256,171,89,31,0,0,0
"12",0.8,0,0,0,770,617,589,575,555,585,570,558,542,535,526,514,494,459,407,354,301,229,144,63
"13",0.8,0,0,1,788,693,681,671,678,745,493,469,434,391,346,270,179,91,21,0,0,0,0,0
"14",0.8,0,0,1,761,624,573,506,465,445,384,324,253,165,86,7,0,0,0,0,0,0,0,0
"15",0.8,0,0,0,792,706,678,660,653,708,725,731,766,816,870,602,598,579,549,523,495,482,457,447
"16",0.8,0,0,0,797,701,704,721,775,878,903,949,755,788,812,851,882,931,986,1019,1072,1144,979,1030
"17",0.8,0,0,0,776,627,575,557,544,574,564,556,546,535,520,495,457,411,370,314,245,167,77,15
"18",0.8,0,0,0,781,627,601,573,531,556,522,502,487,484,470,451,425,397,361,302,244,158,64,3
"19",0.8,0,0,1,771,643,603,553,513,506,437,350,297,225,141,62,5,0,0,0,0,0,0,0
"20",0.8,0,0,0,750,614,563,544,514,538,522,505,502,485,469,439,403,357,289,223,155,78,14,0
"21",1.2,0,0,0,749,695,689,698,722,833,898,974,372,354,343,327,318,307,296,280,272,261,242,215
"22",1.2,0,0,0,786,730,754,807,882,1063,774,847,941,937,1053,1198,1365,1277,1312,1402,811,878,972,1081
"23",1.2,0,0,0,757,692,674,660,652,728,750,789,830,759,798,846,887,856,938,1046,1188,1176,1316,1268
"24",1.2,0,0,0,770,697,709,733,763,886,971,957,1075,1194,1104,766,817,904,932,891,995,1115,1278,538
"25",1.2,0,0,0,764,699,726,758,791,949,1053,1178,1321,1174,747,820,897,974,506,532,565,597,634,664
"26",1.2,0,0,0,752,689,667,682,698,797,852,917,999,1106,1223,1288,919,1008,1111,1259,1403,1143,1274,766
"27",1.2,0,0,0,760,712,720,752,801,954,1054,1154,1215,1072,1207,770,825,922,1030,777,844,952,498,514
"28",1.2,0,0,0,769,682,710,748,782,662,689,737,795,868,849,949,662,708,758,828,931,1014,721,792
"29",1.2,0,0,0,807,777,831,941,709,851,959,1070,814,926,1040,384,387,378,378,362,340,331,325,316
"30",1.2,0,0,0,761,670,662,676,708,828,918,1004,991,883,983,1118,690,724,787,873,974,1096,1238,1406
"31",1.6,0,0,0,740,677,689,708,737,892,979,1025,1163,1332,602,644,695,753,827,937,1033,1168,1342,878
"32",1.6,0,0,0,746,707,747,798,711,849,910,969,1073,1056,1065,1224,966,1078,1240,1120,1249,1242,1173,1330
"33",1.6,0,0,0,766,707,726,790,873,1090,806,917,1048,1218,555,596,650,715,782,880,997,1144,1008,1044
"34",1.6,0,0,0,772,746,816,628,681,810,916,1019,1157,1098,1281,1089,1253,1462,1317,863,1002,1151,785,864
"35",1.6,0,0,0,766,754,821,808,895,948,1064,1211,1098,1012,1153,978,1096,1261,334,337,337,325,320,311
"36",1.6,0,0,0,761,729,778,854,952,916,1036,1178,1269,990,1155,599,667,740,845,481,513,555,606,674
"37",1.6,0,0,0,752,694,711,681,706,824,678,686,734,765,827,930,968,736,778,852,972,564,626,688
"38",1.6,0,0,0,767,717,746,793,855,1019,452,468,498,513,546,606,670,733,816,902,940,969,988,1073
"39",1.6,0,0,0,770,755,809,881,989,1229,1363,894,991,1004,1068,1012,1163,1322,1375,1146,1299,1496,1388,897
"40",1.6,0,0,0,780,779,816,880,965,492,506,541,594,662,730,809,910,1035,1195,1051,1204,1394,1481,1105
"41",2,0,0,0,749,721,738,778,856,1087,925,968,1091,949,1084,1243,1369,1274,1136,1126,1279,1339,1334,964
"42",2,0,0,0,757,733,776,846,939,1136,1306,1269,1216,1002,1126,980,1125,1250,776,889,1012,1176,1122,1311
"43",2,0,0,0,759,757,799,860,940,982,1076,1206,872,822,929,1046,1198,1066,1136,1314,771,875,975,1093
"44",2,0,0,0,751,719,764,805,842,999,1074,225,219,211,200,192,185,177,173,168,173,176,169,172
"45",2,0,0,0,751,746,813,897,865,1066,834,934,943,1066,1140,992,688,789,905,1020,1164,748,856,977
"46",2,0,0,0,776,761,835,613,677,830,925,1025,1181,1396,495,554,616,689,784,582,638,714,813,846
"47",2,0,0,0,767,771,855,898,1024,1256,570,618,663,723,793,925,1014,1144,1300,1094,1220,1173,1237,1083
"48",2,0,0,0,786,806,863,922,1011,1125,1252,1425,518,599,697,809,896,1001,953,1077,1223,1364,435,478
"49",2,0,0,0,773,745,799,843,935,1170,862,972,1126,1248,764,846,903,1037,996,1154,1327,1011,1171,1343
"50",2,0,0,0,772,771,848,947,816,1014,1115,1023,1135,1329,1559,1664,1121,499,556,610,683,777,869,987
"51",0.4,0.1,0,1,770,403,233,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",0.4,0.1,0,1,767,407,238,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",0.4,0.1,0,1,773,372,206,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",0.4,0.1,0,1,784,511,351,176,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",0.4,0.1,0,1,747,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",0.4,0.1,0,1,782,208,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",0.4,0.1,0,1,756,439,280,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",0.4,0.1,0,1,760,527,379,210,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",0.4,0.1,0,1,795,621,504,348,180,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",0.4,0.1,0,1,812,480,303,115,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",0.4,0.1,0.1,1,781,457,314,154,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",0.4,0.1,0.1,1,769,405,242,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",0.4,0.1,0.1,1,791,568,425,262,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",0.4,0.1,0.1,1,761,395,221,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",0.4,0.1,0.1,1,796,552,420,263,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",0.4,0.1,0.1,1,782,324,145,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",0.4,0.1,0.1,1,770,513,364,183,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",0.4,0.1,0.1,1,746,445,275,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",0.4,0.1,0.1,1,753,478,297,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",0.4,0.1,0.1,1,768,360,170,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",0.4,0.1,0.2,1,739,311,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",0.4,0.1,0.2,1,729,452,288,114,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",0.4,0.1,0.2,1,791,545,387,222,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",0.4,0.1,0.2,1,762,309,129,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",0.4,0.1,0.2,1,763,495,350,174,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",0.4,0.1,0.2,1,817,651,534,387,221,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",0.4,0.1,0.2,1,777,171,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",0.4,0.1,0.2,1,738,455,294,113,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",0.4,0.1,0.2,1,760,452,283,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",0.4,0.1,0.2,1,759,485,322,145,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",0.4,0.1,0.3,1,762,549,398,213,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",0.4,0.1,0.3,1,768,409,233,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",0.4,0.1,0.3,1,772,600,458,302,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",0.4,0.1,0.3,1,752,324,140,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",0.4,0.1,0.3,1,777,538,396,236,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",0.4,0.1,0.3,1,776,522,351,168,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",0.4,0.1,0.3,1,742,531,364,181,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",0.4,0.1,0.3,1,785,529,393,229,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",0.4,0.1,0.3,1,762,395,219,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",0.4,0.1,0.3,1,782,615,483,343,167,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",0.4,0.1,0.4,1,762,588,422,267,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",0.4,0.1,0.4,1,778,529,384,236,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",0.4,0.1,0.4,1,731,432,256,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",0.4,0.1,0.4,1,732,462,297,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95",0.4,0.1,0.4,1,741,430,272,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",0.4,0.1,0.4,1,757,413,227,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",0.4,0.1,0.4,1,768,605,442,283,118,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",0.4,0.1,0.4,1,785,639,511,390,238,65,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",0.4,0.1,0.4,1,793,473,298,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",0.4,0.1,0.4,1,765,568,424,275,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101",0.4,0.1,0.5,1,772,505,348,173,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",0.4,0.1,0.5,1,795,457,295,106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",0.4,0.1,0.5,1,793,535,385,215,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",0.4,0.1,0.5,1,756,198,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",0.4,0.1,0.5,1,749,355,175,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",0.4,0.1,0.5,1,765,569,438,278,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",0.4,0.1,0.5,1,744,347,164,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",0.4,0.1,0.5,1,777,602,456,293,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",0.4,0.1,0.5,1,769,525,364,180,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110",0.4,0.1,0.5,1,774,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111",0.4,0.1,0.6,1,746,550,409,241,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112",0.4,0.1,0.6,1,767,432,249,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",0.4,0.1,0.6,1,773,503,329,155,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114",0.4,0.1,0.6,1,800,324,146,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115",0.4,0.1,0.6,1,740,581,442,291,116,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116",0.4,0.1,0.6,1,764,437,281,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117",0.4,0.1,0.6,1,781,540,388,228,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118",0.4,0.1,0.6,1,758,491,327,153,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119",0.4,0.1,0.6,1,760,491,316,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120",0.4,0.1,0.6,1,782,550,404,229,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121",0.4,0.1,0.7,1,738,353,183,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122",0.4,0.1,0.7,1,779,493,331,163,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123",0.4,0.1,0.7,1,801,516,345,185,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",0.4,0.1,0.7,1,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",0.4,0.1,0.7,1,740,487,321,142,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",0.4,0.1,0.7,1,805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",0.4,0.1,0.7,1,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128",0.4,0.1,0.7,1,780,534,371,193,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129",0.4,0.1,0.7,1,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130",0.4,0.1,0.7,1,774,500,339,143,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",0.4,0.1,0.8,1,721,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
