"","budget","at","bb","extinct","","","","","","","","","","","","","","","","","","","","","","",""
"1",1000,0,0,0,1500,1000,700,18,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"2",1000,0,0,0,1500,1000,700,15,9,9,9,9,9,9,10,23,20,21,28,22,20,22,13,16,30,25,23
"3",1000,0,0,0,1500,1000,700,16,9,9,9,9,9,9,9,9,13,9,29,16,21,20,15,19,18,21,23
"4",1000,0,0,0,1500,1000,700,17,9,9,9,9,9,9,15,23,9,22,22,17,15,23,9,30,9,22,19
"5",1000,0,0,0,1500,1000,700,17,9,9,9,9,9,9,9,9,9,9,32,17,10,28,17,24,20,16,18
"6",1000,0,0,0,1500,1000,700,18,9,9,9,9,9,9,9,9,11,16,30,9,12,28,20,20,16,21,17
"7",1000,0,0,0,1500,1000,700,15,9,9,9,9,9,9,9,12,9,29,9,17,9,34,9,9,20,15,21
"8",1000,0,0,0,1500,1000,700,14,9,9,9,9,9,9,10,20,22,17,26,17,20,23,15,18,27,17,9
"9",1000,0,0,0,1500,1000,700,16,9,9,9,9,9,9,9,9,9,9,9,9,21,9,27,27,20,20,20
"10",1000,0,0,0,1500,1000,700,14,9,9,9,9,9,9,9,9,9,9,16,32,11,25,18,20,25,20,25
"11",1000,0.1,0,0,1500,1000,700,16,9,9,9,9,9,9,9,9,21,19,31,12,29,26,26,26,9,9,9
"12",1000,0.1,0,0,1500,1000,700,21,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"13",1000,0.1,0,0,1500,1000,700,14,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,14,18,29,25
"14",1000,0.1,0,0,1500,1000,700,17,9,9,9,9,9,9,9,9,9,9,9,30,19,25,29,14,25,19,21
"15",1000,0.1,0,0,1500,1000,700,20,9,9,9,9,9,9,9,9,9,9,19,23,19,26,12,19,22,27,14
"16",1000,0.1,0,0,1500,1000,700,16,9,9,9,9,9,9,9,9,9,9,9,9,9,9,15,26,13,24,27
"17",1000,0.1,0,0,1500,1000,700,16,9,9,9,9,9,9,11,22,26,26,26,26,9,9,9,9,9,13,13
"18",1000,0.1,0,0,1500,1000,700,18,9,9,9,9,9,9,9,9,9,9,9,9,9,9,25,16,21,17,12
"19",1000,0.1,0,0,1500,1000,700,13,9,9,9,9,9,9,9,12,24,24,24,24,9,9,9,9,9,9,9
"20",1000,0.1,0,0,1500,1000,700,19,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"21",1000,0.1,0.1,0,1500,1000,700,12,9,9,9,9,9,9,9,14,16,26,26,26,7,7,7,21,13,20,20
"22",1000,0.1,0.1,0,1500,1000,700,15,9,9,9,9,9,9,9,9,9,13,25,25,17,17,17,17,17,17,17
"23",1000,0.1,0.1,0,1500,1000,700,17,9,9,9,9,9,9,9,9,9,9,20,18,24,17,21,16,21,20,23
"24",1000,0.1,0.1,0,1500,1000,700,17,9,9,9,9,9,9,9,9,9,9,31,16,31,23,17,24,28,20,18
"25",1000,0.1,0.1,0,1500,1000,700,19,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"26",1000,0.1,0.1,0,1500,1000,700,15,9,9,9,9,9,9,9,9,9,9,9,9,37,17,25,16,25,25,27
"27",1000,0.1,0.1,0,1500,1000,700,16,9,9,9,9,9,9,9,9,9,13,27,16,26,26,26,26,7,7,7
"28",1000,0.1,0.1,0,1500,1000,700,16,9,9,9,9,9,12,13,22,18,15,23,27,27,27,7,7,7,14,20
"29",1000,0.1,0.1,0,1500,1000,700,17,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,15,21,21,21
"30",1000,0.1,0.1,0,1500,1000,700,15,9,9,9,9,9,9,13,29,14,12,27,14,31,16,27,12,22,27,21
"31",1000,0.1,0.2,0,1500,1000,700,14,9,9,9,9,9,9,18,16,18,17,18,32,32,7,7,7,41,41,7
"32",1000,0.1,0.2,0,1500,1000,700,17,9,9,9,9,9,9,9,14,22,15,12,23,29,29,7,7,12,27,25
"33",1000,0.1,0.2,0,1500,1000,700,16,9,9,9,9,9,9,9,9,28,24,13,35,13,27,18,26,12,29,29
"34",1000,0.1,0.2,0,1500,1000,700,16,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"35",1000,0.1,0.2,0,1500,1000,700,18,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,18,23,23,18
"36",1000,0.1,0.2,0,1500,1000,700,16,9,9,9,9,9,9,9,9,9,9,9,16,20,16,22,26,26,26,6
"37",1000,0.1,0.2,0,1500,1000,700,14,9,9,9,9,9,9,9,9,12,12,25,22,14,27,18,20,18,20,28
"38",1000,0.1,0.2,0,1500,1000,700,21,9,9,9,9,9,9,9,12,14,12,21,17,16,20,13,15,14,14,17
"39",1000,0.1,0.2,0,1500,1000,700,13,9,9,9,9,9,9,16,40,40,7,9,9,9,18,16,31,32,32,32
"40",1000,0.1,0.2,0,1500,1000,700,18,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"41",1000,0.1,0.3,0,1500,1000,700,14,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,23,30
"42",1000,0.1,0.3,0,1500,1000,700,12,9,9,9,9,9,7,7,13,15,21,16,24,24,24,24,5,9,9,9
