"","budget","at","bb","extinct","","","","","","","","","","","","","","","","","","","","","","",""
"1",1000,0,0,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"2",1000,0,0,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"3",1000,0,0,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"4",1000,0,0,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"5",1000,0,0,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"6",1000,0,0,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"7",1000,0,0,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"8",1000,0,0,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"9",1000,0,0,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"10",1000,0,0,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"11",1000,0.1,0,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"12",1000,0.1,0,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"13",1000,0.1,0,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"14",1000,0.1,0,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"15",1000,0.1,0,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"16",1000,0.1,0,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"17",1000,0.1,0,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"18",1000,0.1,0,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"19",1000,0.1,0,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"20",1000,0.1,0,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"21",1000,0.1,0.1,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1100,1200,1000,1000,1000,1100,1200,1000,1100,1200,1000,1000,1000
"22",1000,0.1,0.1,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1100,1200,1000,1000,1000,1000,1100,1200,1300,1400,1500
"23",1000,0.1,0.1,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1100,1200,1000,1000,1000,1000,1000,1000,1000,1000
"24",1000,0.1,0.1,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1100,1200,1300,1000,1000,1000,1000,1000,1000,1000,1000
"25",1000,0.1,0.1,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"26",1000,0.1,0.1,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1100,1200,1300,1400,1000,1000,1000,1000,1000,1000
"27",1000,0.1,0.1,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1100,1200,1300,1000,1000,1000,1000,1100,1200,1300,1000,1100
"28",1000,0.1,0.1,0,1500,1000,700,1000,1000,1000,1000,1000,1100,1200,1000,1000,1000,1000,1000,1000,1000,1100,1200,1000,1100,1200,1000
"29",1000,0.1,0.1,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1100,1200,1300,1000,1000,1100
"30",1000,0.1,0.1,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1100,1200,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"31",1000,0.1,0.2,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1200,1400,1000,1000,1000,1000,1000,1000,1200,1000,1200,1400,1000,1200
"32",1000,0.1,0.2,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1200,1400,1600,1000,1000,1000,1000,1000,1000,1200,1000,1200,1000,1000
"33",1000,0.1,0.2,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1200,1400,1600,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"34",1000,0.1,0.2,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"35",1000,0.1,0.2,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1200,1400,1600,1000,1000,1000,1200
"36",1000,0.1,0.2,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1200,1400,1000,1000,1000,1000,1000,1200,1400
"37",1000,0.1,0.2,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1200,1400,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"38",1000,0.1,0.2,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1200,1400,1600,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1200
"39",1000,0.1,0.2,0,1500,1000,700,1000,1000,1000,1000,1000,1200,1400,1600,1000,1000,1200,1000,1000,1200,1400,1000,1000,1000,1000,1200
"40",1000,0.1,0.2,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"41",1000,0.1,0.3,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1300,1600,1000,1000
"42",1000,0.1,0.3,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1300,1000,1300,1000,1000,1000,1000,1000,1300,1600,1900,1000,1000,1000
"43",1000,0.1,0.3,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1300,1000,1300,1000,1000,1000,1000,1000,1300
"44",1000,0.1,0.3,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1300,1600,1000,1000,1000,1000,1000
"45",1000,0.1,0.3,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"46",1000,0.1,0.3,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1300,1600,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"47",1000,0.1,0.3,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1300,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"48",1000,0.1,0.3,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1300,1600,1900,2200,2500,1000,1000,1000,1300,1600,1000,1000,1000,1300
"49",1000,0.1,0.3,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1300,1000,1300,1600
"50",1000,0.1,0.3,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1300,1600,1900,1000,1000,1000,1000,1000,1000,1000,1000
"51",1000,0.1,0.4,1,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0
"52",1000,0.1,0.4,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1400,1800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"53",1000,0.1,0.4,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"54",1000,0.1,0.4,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1400,1800,2200,1000,1400,1000,1400,1000,1000
"55",1000,0.1,0.4,0,1500,1000,700,1000,1000,1000,1000,1000,1000,1000,1000,1400,1800,2200,1000,1000,1400,1000,1000,1000,1000,1000,1000
