"","budget","at","bb","extinct","","","","","","","","","","","","","","","","","","","","","","",""
"1",1000,0,0,0,1500,1000,700,53,110,110,109,110,110,110,109,110,110,110,110,110,110,110,110,109,110,109,110
"2",1000,0,0,0,1500,1000,700,66,110,110,110,110,110,110,98,43,50,47,35,44,49,45,76,59,33,39,43
"3",1000,0,0,0,1500,1000,700,62,110,110,109,110,110,110,110,110,74,110,34,61,47,49,63,52,55,47,43
"4",1000,0,0,0,1500,1000,700,56,109,110,110,109,110,109,65,42,110,45,45,58,63,43,110,33,110,45,51
"5",1000,0,0,0,1500,1000,700,57,110,110,110,110,109,110,109,110,110,109,31,57,94,35,57,41,49,61,53
"6",1000,0,0,0,1500,1000,700,54,110,110,109,110,110,110,109,110,85,61,33,110,78,35,49,48,59,47,57
"7",1000,0,0,0,1500,1000,700,66,110,110,110,110,110,110,110,81,110,34,110,56,109,29,110,110,50,64,47
"8",1000,0,0,0,1500,1000,700,70,110,110,110,110,110,110,92,48,45,57,38,56,50,42,63,55,37,57,110
"9",1000,0,0,0,1500,1000,700,60,110,110,110,110,110,109,110,110,110,110,110,110,47,110,36,36,48,49,48
"10",1000,0,0,0,1500,1000,700,67,110,110,110,109,110,110,109,110,110,109,59,31,90,40,54,50,39,48,40
"11",1000,0.1,0,0,1500,1000,700,62,110,109,110,110,110,110,110,110,47,52,32,82,34,38,38,38,110,110,110
"12",1000,0.1,0,0,1500,1000,700,46,110,110,110,110,110,110,110,109,110,109,110,110,109,110,110,110,109,110,110
"13",1000,0.1,0,0,1500,1000,700,67,110,110,110,110,110,110,110,110,110,109,110,110,110,110,110,70,53,34,40
"14",1000,0.1,0,0,1500,1000,700,57,110,110,110,110,110,110,110,110,110,110,110,33,51,40,34,68,40,51,46
"15",1000,0.1,0,0,1500,1000,700,49,110,110,110,109,110,110,110,110,110,110,52,43,52,38,79,51,45,36,67
"16",1000,0.1,0,0,1500,1000,700,60,110,110,110,109,110,110,109,110,110,110,110,110,110,110,65,38,75,41,36
"17",1000,0.1,0,0,1500,1000,700,61,110,109,110,110,110,110,89,45,38,38,38,38,109,110,110,110,110,75,75
"18",1000,0.1,0,0,1500,1000,700,54,110,110,110,110,109,110,109,110,109,110,110,110,110,110,39,60,46,56,80
"19",1000,0.1,0,0,1500,1000,700,73,110,110,110,110,110,110,110,82,41,41,41,41,110,110,110,110,110,110,110
