"","budget","at","bb","extinct","","","","","","","","","","","","","","","","","","","","","","",""
"1",1000,0,0,0,1500,1000,700,775,680,653,621,597,639,616,587,563,541,529,509,492,474,449,416,384,347,318,275
"2",1000,0,0,0,1500,1000,700,765,712,714,731,758,888,982,1096,1227,1217,1243,1255,1181,1161,1161,1133,1210,1290,1183,1123
"3",1000,0,0,0,1500,1000,700,755,696,688,706,740,858,895,953,1005,1096,1146,1241,1142,1169,1156,1139,1157,1160,1156,1127
"4",1000,0,0,0,1500,1000,700,790,712,731,762,810,932,1011,1109,1141,1089,1197,1161,1123,1143,1173,1137,1250,1140,1257,1233
"5",1000,0,0,0,1500,1000,700,781,674,675,693,706,807,828,888,940,1008,1110,1258,1123,1149,1271,1171,1194,1133,1124,1163
"6",1000,0,0,0,1500,1000,700,773,672,679,692,723,827,870,924,993,1076,1159,1196,1081,1190,1270,1178,1169,1155,1185,1154
"7",1000,0,0,0,1500,1000,700,784,716,707,727,763,884,943,1006,1080,1126,1213,1068,1140,1125,1208,1012,1086,1166,1131,1154
"8",1000,0,0,0,1500,1000,700,786,728,733,763,795,913,994,1086,1194,1203,1184,1243,1160,1188,1175,1137,1188,1214,1130,1145
"9",1000,0,0,0,1500,1000,700,748,661,635,620,620,689,688,697,718,758,822,927,1015,1118,1108,1262,1210,1151,1176,1215
"10",1000,0,0,0,1500,1000,700,785,715,735,768,801,910,926,962,1005,1034,1103,1195,1252,1136,1232,1190,1217,1225,1184,1192
"11",1000,0.1,0,0,1500,1000,700,787,705,710,733,760,881,947,1017,1113,1225,1238,1270,1155,1261,1180,1101,990,869,935,1010
"12",1000,0.1,0,0,1500,1000,700,781,647,602,568,548,583,562,547,526,505,474,463,454,443,436,437,434,433,431,428
"13",1000,0.1,0,0,1500,1000,700,731,649,625,618,617,683,682,694,711,730,752,779,809,847,919,1014,1122,1203,1251,1182
"14",1000,0.1,0,0,1500,1000,700,787,673,655,668,687,778,808,848,894,965,1056,1168,1300,1211,1248,1221,1134,1221,1176,1201
"15",1000,0.1,0,0,1500,1000,700,757,635,609,645,660,740,767,812,883,958,1050,1177,1192,1159,1176,1101,1194,1218,1186,1104
"16",1000,0.1,0,0,1500,1000,700,783,684,654,642,655,730,746,757,772,787,805,852,900,972,1046,1137,1184,1121,1200,1158
"17",1000,0.1,0,0,1500,1000,700,796,743,768,824,878,1008,1053,1148,1222,1201,1153,1066,964,828,873,930,968,1008,1051,1098
"18",1000,0.1,0,0,1500,1000,700,764,659,650,646,642,712,727,749,764,793,823,854,916,986,1086,1198,1138,1184,1160,1169
"19",1000,0.1,0,0,1500,1000,700,786,725,732,749,781,883,920,988,1059,1122,1047,960,859,713,765,802,848,882,926,1009
"20",1000,0.1,0,0,1500,1000,700,734,578,558,538,528,578,591,607,620,639,661,691,687,704,693,699,695,688,694,700
"21",1000,0.1,0.1,0,1500,1000,700,781,734,735,752,769,884,936,1004,1104,1150,1158,1063,967,837,916,1011,1140,1107,1153,1120
"22",1000,0.1,0.1,0,1500,1000,700,783,683,678,690,720,825,848,909,973,1062,1143,1209,1154,1077,1069,1043,1031,1011,978,964
"23",1000,0.1,0.1,0,1500,1000,700,771,689,689,678,684,765,789,833,887,956,1054,1174,1161,1187,1139,1173,1153,1187,1182,1180
"24",1000,0.1,0.1,0,1500,1000,700,797,688,680,687,692,786,800,855,930,1038,1147,1289,1186,1293,1175,1178,1264,1236,1186,1218
