"","budget","at","bb","extinct","","","","","","","","","","","","","","","","","","","",""
"1",1000,0,0,0,21,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"2",1000,0,0,0,15,9,9,9,9,9,25,27,9,9,9,17,9,9,12,9,9,9,14,9
"3",1000,0,0,0,15,9,9,9,9,9,9,9,9,9,20,38,9,43,9,9,32,9,9,27
"4",1000,0,0,0,15,9,9,9,9,9,9,9,25,37,9,9,9,17,25,9,9,16,62,9
"5",1000,0,0,0,23,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"6",1000,0,0,0,15,9,9,9,9,12,9,9,9,9,9,9,9,9,9,9,9,47,9,9
"7",1000,0,0,0,16,9,9,9,9,9,9,9,9,40,9,14,9,14,20,9,22,9,9,20
"8",1000,0,0,0,16,9,9,9,12,9,9,34,22,15,9,9,9,9,32,27,9,9,9,58
"9",1000,0,0,0,16,9,9,9,9,17,9,9,9,9,9,9,41,30,9,9,9,22,9,38
"10",1000,0,0,0,17,9,9,9,9,9,9,9,9,9,14,15,55,58,9,9,9,9,9,9
"11",1000,0.1,0,0,16,9,9,9,9,9,9,9,9,9,9,9,9,9,9,43,33,20,9,9
"12",1000,0.1,0,0,16,9,9,9,9,9,9,9,9,9,9,9,30,71,9,9,9,9,9,9
"13",1000,0.1,0,0,16,9,9,9,9,9,9,9,9,9,9,9,71,9,9,9,9,9,9,9
"14",1000,0.1,0,1,15,9,9,9,9,9,9,9,50,50,9,9,9,9,9,9,9,9,0,0
"15",1000,0.1,0,0,18,9,9,9,9,9,9,9,9,9,9,9,9,9,9,55,9,9,9,9
"16",1000,0.1,0,0,17,17,9,9,9,9,9,9,9,9,9,9,9,9,12,27,23,20,12,12
"17",1000,0.1,0,0,14,9,9,9,9,9,22,22,14,14,26,26,9,9,35,76,9,9,9,9
"18",1000,0.1,0,0,15,9,9,9,9,9,9,9,9,9,9,9,9,9,55,55,9,9,9,9
"19",1000,0.1,0,0,15,15,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,9,9,9
"20",1000,0.1,0,0,21,9,9,9,9,9,9,9,9,27,9,47,9,9,9,9,12,30,9,9
"21",1000,0.1,0.1,0,15,9,9,9,9,9,27,17,9,9,9,9,20,9,50,9,9,9,9,9
"22",1000,0.1,0.1,0,15,9,9,9,9,9,9,9,14,9,9,9,17,31,31,8,9,9,9,9
"23",1000,0.1,0.1,0,15,9,9,9,9,9,17,33,9,9,9,9,9,9,8,9,32,32,8,9
"24",1000,0.1,0.1,0,16,9,9,9,9,9,9,9,8,8,8,8,8,8,12,100,9,9,9,8
"25",1000,0.1,0.1,0,16,9,9,9,9,8,8,8,9,9,50,9,9,8,33,9,33,9,52,52
"26",1000,0.1,0.1,0,16,16,8,9,9,9,9,9,9,9,17,17,17,17,7,16,16,16,7,32
