"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","overK"
"1",1,1000,0,0,0,0.0920000000000001,0.0920000000000001,9400.953125,0.090096463022508,0,0
"2",2,1000,0,0,0,-0.716,0.716,9857.1875,0.0690793495537352,0,0
"3",3,1000,0,0,0,-0.151,0.151,9645,0.125834711756417,0,0
"4",4,1000,0,0,0,-0.889,0.889,9922.1875,0.0901287553648069,0,0
"5",5,1000,0,0,0,-0.512,0.512,9794.375,0.0771281429869736,0,0
"6",6,1000,0,0,1,-0.957,0.957,9981.375,0.0725200097016735,0,0
"7",7,1000,0,0,0,-0.463,0.463,9759.96875,0.0769899416366571,0,0
"8",8,1000,0,0,0,-0.322,0.322,9701.75,0.133546090585492,0,0
"9",9,1000,0,0,0,-0.945,0.945,9939.8125,0.0973194880463656,0,0
"10",10,1000,0,0,0,-0.418,0.418,9748.1875,0.0962441314553991,0,0
"11",11,1000,0,0,0,0.5,0.5,9445.421875,0.120534599050712,0,0
"12",12,1000,0,0,0,0.071,0.071,9555.46875,0.13618557963031,0,0
"13",13,1000,0,0,0,-0.574,0.574,9813.75,0.0703037817730936,0,0
"14",14,1000,0,0,0,-0.337,0.337,9709.59375,0.113177824901545,0,0
"15",15,1000,0,0,0,-0.21,0.21,9678.4375,0.170398673064392,0,0
"16",16,1000,0,0,0,0.128,0.128,9560.8125,0.0883296323710831,0,0
"17",17,1000,0,0,0,-0.584,0.584,9665.375,0.080108789714427,0,0
"18",18,1000,0,0,0,-0.342,0.342,9722.15625,0.0647613065326633,0,0
"19",19,1000,0,0,0,0.128,0.128,9504.15625,0.0839478162223483,0,0
"20",20,1000,0,0,0,0.0089999999999999,0.0089999999999999,9574,0.0758290856459631,0,0
"21",21,1000,0,0,0,-1,1,9994.75,0.0802409638554217,0,0
"22",22,1000,0,0,0,0.187,0.187,9535,0.135029234395567,0,0
"23",23,1000,0,0,0,-0.182,0.182,9659.8125,0.0753968253968254,0,0
"24",24,1000,0,0,0,0.099,0.099,9402.5390625,0.079662964381463,0,0
"25",25,1000,0,0,0,-0.252,0.252,9672.71875,0.142235123367199,0,0
"26",26,1000,0,0,0,0.15,0.15,9562.21875,0.10503187472922,0,0
"27",27,1000,0,0,0,0.0609999999999999,0.0609999999999999,9588.9375,0.0723086496577474,0,0
"28",28,1000,0,0,0,-0.352,0.352,9732,0.145917811535435,0,0
"29",29,1000,0,0,0,0.477,0.477,9447.1640625,0.0545618324539956,0,0
"30",30,1000,0,0,0,0.136,0.136,9558.84375,0.119543560949103,0,0
"31",31,1000,0,0,1,-0.951,0.951,9978.125,0.109327036599764,0,0
"32",32,1000,0,0,0,-0.047,0.047,9604.734375,0.112148950744131,0,0
"33",33,1000,0,0,0,0.118,0.118,9555.09375,0.0977184674989238,0,0
"34",34,1000,0,0,0,0.095,0.095,9576.5,0.0940997736644653,0,0
"35",35,1000,0,0,0,-0.16,0.16,9660.46875,0.12857847976308,0,0
"36",36,1000,0,0,0,-0.086,0.086,9628.5625,0.0571571822511908,0,1
"37",37,1000,0,0,0,-0.098,0.098,9628.125,0.0880666049953747,0,0
"38",38,1000,0,0,0,-0.141,0.141,9480.03125,0.111947899626532,0,0
"39",39,1000,0,0,0,-0.034,0.034,9608.625,0.0704826460804619,0,0
"40",40,1000,0,0,0,-0.282,0.282,9462.9375,0.0838024564994882,0,0
"41",41,1000,0,0,0,-0.343,0.343,9727.8125,0.0757500619885941,0,0
"42",42,1000,0,0,0,-0.351,0.351,9530.78125,0.0667881949900996,0,0
"43",43,1000,0,0,0,-0.212,0.212,9675.71875,0.1102985984156,0,0
"44",44,1000,0,0,0,0.161,0.161,9560.9375,0.10887171561051,0,0
"45",45,1000,0,0,0,-0.0590000000000001,0.0590000000000001,9620.421875,0.0766018449264523,0,0
"46",46,1000,0,0,0,-0.141,0.141,9648.6875,0.12141652613828,0,0
"47",47,1000,0,0,0,0.507,0.507,9417.34375,0.0741949939184431,0,1
"48",48,1000,0,0,0,-0.193,0.193,9657.125,0.0740442406592726,0,0
"49",49,1000,0,0,0,0.431,0.431,9469.625,0.096012376472074,0,0
"50",50,1000,0,0,0,-0.521,0.521,9789,0.0900036438722216,0,0
"51",51,1000,0,0,0,0.172,0.172,9535.5,0.0843714609286523,0,0
"52",52,1000,0,0,0,-0.43,0.43,9748.25,0.102960725075529,0,0
"53",53,1000,0,0,0,-0.29,0.29,9706.53125,0.0972188038395274,0,0
"54",54,1000,0,0,0,-0.366,0.366,9728.6875,0.0865880619012528,0,0
"55",55,1000,0,0,0,-0.325,0.325,9708.21875,0.116299019607843,0,0
"56",56,1000,0,0,0,0.234,0.234,9510.53125,0.0694771699675221,0,0
"57",57,1000,0,0,0,0.164,0.164,9547.828125,0.0836051179126944,0,0
"58",58,1000,0,0,0,-0.471,0.471,9770.5,0.0842572062084257,0,0
"59",59,1000,0,0,0,0.069,0.069,9533.21875,0.0983337541024994,0,0
"60",60,1000,0,0,0,-0.525,0.525,9792.375,0.082512315270936,0,0
"61",61,1000,0,0,0,0.0249999999999999,0.0249999999999999,9586.0625,0.0912826348062457,0,0
"62",62,1000,0,0,0,-0.447,0.447,9766.515625,0.098375615988319,0,0
"63",63,1000,0,0,0,-0.075,0.075,9628.0625,0.0624605678233438,0,0
"64",64,1000,0,0,0,-0.387,0.387,9726.125,0.0875615763546798,0,0
"65",65,1000,0,0,0,-0.354,0.354,9728.125,0.0629935949256887,0,0
"66",66,1000,0,0,0,0.207,0.207,9432.71875,0.0959794910273244,0,0
"67",67,1000,0,0,0,0.237,0.237,9475.5625,0.112688278683444,0,0
"68",68,1000,0,0,0,0.19,0.19,9560.15625,0.10413730464468,0,0
"69",69,1000,0,0,0,0.198,0.198,9537.5625,0.128744540813188,0,0
"70",70,1000,0,0,0,0.0089999999999999,0.0089999999999999,9592.6875,0.136705482775352,0,0
"71",71,1000,0,0,0,-0.148,0.148,9648.9375,0.0545224541429475,0,0
"72",72,1000,0,0,0,-0.307,0.307,9702.25,0.0795468691646956,0,0
"73",73,1000,0,0,0,-0.086,0.086,9603.78125,0.0916764216622512,0,0
"74",74,1000,0,0,0,-0.326,0.326,9709.25,0.109419942473634,0,0
"75",75,1000,0,0,1,-0.989,0.989,9995,0.0981724461105904,0,0
"76",76,1000,0,0,0,-0.485,0.485,9766.8125,0.121965909775342,0,0
"77",77,1000,0,0,0,-0.133,0.133,9620.125,0.0421334012219959,0,0
"78",78,1000,0,0,0,-0.097,0.097,9643.28125,0.102267186738177,0,0
"79",79,1000,0,0,0,-0.206,0.206,9676,0.10365966932937,0,0
"80",80,1000,0,0,0,-0.086,0.086,9637.9375,0.101654702518555,0,0
"81",81,1000,0,0,0,0.052,0.052,9591.5625,0.0993199768243223,0,0
"82",82,1000,0,0,0,-0.506,0.506,9775,0.0797390358825661,0,0
"83",83,1000,0,0,0,-0.482,0.482,9772.0625,0.0563546920729809,0,0
"84",84,1000,0,0,0,-0.125,0.125,9626.375,0.0635145337863345,0,0
"85",85,1000,0,0,0,-0.353,0.353,9725,0.0886472539624032,0,0
"86",86,1000,0,0,0,-0.523,0.523,9796.25,0.0820964463878795,0,0
"87",87,1000,0,0,0,0.018,0.018,9612.84375,0.111213207142638,0,0
"88",88,1000,0,0,0,-0.29,0.29,9707.4375,0.131528964862298,0,0
"89",89,1000,0,0,0,-0.421,0.421,9751.125,0.111462258417406,0,0
"90",90,1000,0,0,0,0.0740000000000001,0.0740000000000001,9575,0.1003663003663,0,0
"91",91,1000,0,0,0,0.028,0.028,9518.375,0.11157495256167,0,0
"92",92,1000,0,0,0,-0.09,0.09,9620.03125,0.0753700377779154,0,0
"93",93,1000,0,0,0,0.12,0.12,9555.375,0.095496168940385,0,0
"94",94,1000,0,0,0,-0.472,0.472,9772.125,0.147517390261454,0,0
"95",95,1000,0,0,0,0.0649999999999999,0.0649999999999999,9573.15625,0.123552584457443,0,0
"96",96,1000,0,0,0,-0.03,0.03,9616.25,0.107444077741107,0,1
"97",97,1000,0,0,0,-0.289,0.289,9687.75,0.101806746007276,0,0
"98",98,1000,0,0,0,0.306,0.306,9469.84375,0.0919648462021343,0,0
"99",99,1000,0,0,0,-0.347,0.347,9426.78125,0.149987177843313,0,0
"100",100,1000,0,0,0,-0.005,0.005,9593.71875,0.0884222333000997,0,1
"101",1,1000,0.1,0,0,-0.276,0.276,9705.4375,0.0945664172697167,0.1,0
"102",2,1000,0.1,0,1,-0.976,0.976,9989.25,0.0928200283419934,0,0
"103",3,1000,0.1,0,0,-0.258,0.258,9701.1875,0.07431592039801,0.3,0
"104",4,1000,0.1,0,0,-0.495,0.495,9780.625,0.0855730987103772,0.15,0
"105",5,1000,0.1,0,0,0.592,0.592,9388.6875,0.080902197660969,0.4,0.05
"106",6,1000,0.1,0,0,0.0980000000000001,0.0980000000000001,9551.09375,0.108688743405581,0.3,0
"107",7,1000,0.1,0,0,-0.428,0.428,9750.96875,0.0964522606949431,0.1,0
"108",8,1000,0.1,0,0,-0.328,0.328,9714.75,0.127323874755382,0.2,0
"109",9,1000,0.1,0,0,-0.313,0.313,9707.875,0.0805298177974007,0.05,0
"110",10,1000,0.1,0,0,-0.119,0.119,9651.40625,0.0838170130437496,0.2,0
"111",11,1000,0.1,0,0,0.25,0.25,9528.9375,0.0819258885807915,0.1,0
"112",12,1000,0.1,0,0,-0.339,0.339,9587.578125,0.0952670281049417,0.05,0
"113",13,1000,0.1,0,0,0.198,0.198,9531.09375,0.117625548512921,0.15,0
"114",14,1000,0.1,0,0,-0.124,0.124,9628.421875,0.0666813657553232,0.35,0
"115",15,1000,0.1,0,0,-0.615,0.615,9819.71875,0.113708302897492,0.05,0
"116",16,1000,0.1,0,0,0.0249999999999999,0.0249999999999999,9602.0625,0.0651969687480428,0.15,0
"117",17,1000,0.1,0,0,-0.773,0.773,9878.8125,0.0669588507426345,0.25,0
"118",18,1000,0.1,0,0,-0.203,0.203,9549.125,0.113689959041827,0.2,0
"119",19,1000,0.1,0,0,-0.412,0.412,9738.125,0.130952380952381,0,0
"120",20,1000,0.1,0,0,-0.219,0.219,9678.84375,0.126913875598086,0.05,0
"121",21,1000,0.1,0,1,-0.989,0.989,9996.6875,0.106876553438277,0.0625,0
"122",22,1000,0.1,0,0,-0.699,0.699,9849.4375,0.0842791596232794,0.3,0
"123",23,1000,0.1,0,1,-0.976,0.976,9989,0.0846228239845261,0,0
"124",24,1000,0.1,0,0,-0.438,0.438,9751.625,0.0549689440993789,0.15,0
"125",25,1000,0.1,0,0,-0.261,0.261,9669.96875,0.0935745477230193,0.1,0
"126",26,1000,0.1,0,0,-0.00600000000000001,0.00600000000000001,9607,0.0747065764143327,0.2,0
"127",27,1000,0.1,0,0,0.136,0.136,9510.9375,0.0977462333457851,0.4,0
"128",28,1000,0.1,0,0,-0.602,0.602,9816.3125,0.0945649524737997,0,0
"129",29,1000,0.1,0,0,-0.29,0.29,9704.25,0.132987804878049,0.2,0
"130",30,1000,0.1,0,0,-0.74,0.74,9859.8125,0.100233939175814,0.15,0
"131",31,1000,0.1,0,0,0.0389999999999999,0.0389999999999999,9534.6875,0.122624793792387,0.2,0
"132",32,1000,0.1,0,0,-0.764,0.764,9875,0.101344860710855,0.1,0
"133",33,1000,0.1,0,0,-0.496,0.496,9782.78125,0.0699408429874291,0,0
"134",34,1000,0.1,0,0,-0.104,0.104,9506.375,0.0718670886075949,0.25,0
"135",35,1000,0.1,0,0,-0.488,0.488,9778.9375,0.0850532724505327,0.05,0
"136",36,1000,0.1,0,0,0.077,0.077,9557.59375,0.0561797752808989,0.2,0
"137",37,1000,0.1,0,0,0.0629999999999999,0.0629999999999999,9555.3125,0.0663109756097561,0.2,0
"138",38,1000,0.1,0,0,0.193,0.193,9550.46875,0.110083256244218,0.3,0
"139",39,1000,0.1,0,0,-0.141,0.141,9610.6015625,0.14240736255752,0.2,0
"140",40,1000,0.1,0,1,-0.976,0.976,9988.75,0.0951589938300902,0.222222222222222,0
"141",41,1000,0.1,0,0,-0.34,0.34,9708.6875,0.0568310124200226,0.05,0
"142",42,1000,0.1,0,0,-0.419,0.419,9761.3125,0.081787109375,0.15,0
"143",43,1000,0.1,0,0,0.093,0.093,9542.125,0.0865694260276568,0.3,0
"144",44,1000,0.1,0,0,0.167,0.167,9548.75,0.11512303697292,0.15,0
"145",45,1000,0.1,0,0,-0.303,0.303,9687.1875,0.065209244222361,0.1,0
"146",46,1000,0.1,0,0,-0.085,0.085,9640.46875,0.0573520151133501,0.2,0
"147",47,1000,0.1,0,0,-0.325,0.325,9721.375,0.0783498759305211,0.2,0
"148",48,1000,0.1,0,0,0.392,0.392,9460.125,0.0681774656878391,0.25,0
"149",49,1000,0.1,0,0,-0.505,0.505,9788.3125,0.0905880920491903,0.35,0
"150",50,1000,0.1,0,0,-0.402,0.402,9743.15625,0.121496466000487,0.1,0
"151",51,1000,0.1,0,0,-0.029,0.029,9536.453125,0.0905853689011058,0.3,0
"152",52,1000,0.1,0,0,-0.645,0.645,9844.4375,0.0904841802492809,0,0
"153",53,1000,0.1,0,0,0.198,0.198,9522.59375,0.105927414291096,0.2,0
"154",54,1000,0.1,0,0,0.181,0.181,9415.6875,0.0734281341665604,0.25,0.05
"155",55,1000,0.1,0,0,0.044,0.044,9601.09375,0.0826753510092476,0.25,0
"156",56,1000,0.1,0,0,-0.127,0.127,9616.125,0.0899936668777707,0.4,0
"157",57,1000,0.1,0,0,0.032,0.032,9586.921875,0.0641919867507485,0.25,0
"158",58,1000,0.1,0,1,-0.967,0.967,9985.125,0.0858806404657933,0,0
"159",59,1000,0.1,0,0,-0.57,0.57,9808.8125,0.103853211009174,0,0
"160",60,1000,0.1,0,0,0.268,0.268,9480.7578125,0.0658595334685598,0.15,0
"161",61,1000,0.1,0,0,-0.22,0.22,9641.25,0.107361035504748,0.15,0
"162",62,1000,0.1,0,0,-0.152,0.152,9646.21875,0.106541490006057,0.15,0
"163",63,1000,0.1,0,0,-0.084,0.084,9621.875,0.0782227784730914,0.25,0
"164",64,1000,0.1,0,0,-0.45,0.45,9761.6875,0.120461445051609,0,0
"165",65,1000,0.1,0,1,-0.985,0.985,9993,0.0816425120772947,0.230769230769231,0
"166",66,1000,0.1,0,0,-0.139,0.139,9599.9375,0.10906498015873,0.1,0
"167",67,1000,0.1,0,0,-1,1,9994.25,0.128378378378378,0.1,0
"168",68,1000,0.1,0,0,0.173,0.173,9549.71875,0.0943573080047491,0.25,0
"169",69,1000,0.1,0,0,0.253,0.253,9515.5078125,0.0990733254555632,0.35,0
"170",70,1000,0.1,0,0,-0.465,0.465,9765.4375,0.141690824114063,0.3,0
"171",71,1000,0.1,0,0,0.179,0.179,9531.03125,0.069110803672494,0.05,0
"172",72,1000,0.1,0,0,-0.028,0.028,9573.25,0.0985838448915091,0.2,0
"173",73,1000,0.1,0,0,-0.757,0.757,9868.4375,0.0758325695080966,0,0
"174",74,1000,0.1,0,0,-0.07,0.07,9619.703125,0.123561107029145,0.15,0
"175",75,1000,0.1,0,0,-0.0610000000000001,0.0610000000000001,9580.71875,0.0770251065845571,0.25,0
"176",76,1000,0.1,0,0,-0.33,0.33,9730.765625,0.120110969619793,0.3,0
"177",77,1000,0.1,0,0,0.222,0.222,9508.3125,0.0773680404916847,0.05,0
"178",78,1000,0.1,0,0,-0.453,0.453,9754,0.0826186737528687,0.05,0
"179",79,1000,0.1,0,0,-0.182,0.182,9673.0625,0.118002294824567,0.35,0
"180",80,1000,0.1,0,0,-0.608,0.608,9811.8125,0.100200522573981,0.4,0
"181",81,1000,0.1,0,0,-0.999,0.999,9987.125,0.089919545669664,0.15,0
"182",82,1000,0.1,0,0,0.115,0.115,9549.21875,0.101350514186594,0,0
"183",83,1000,0.1,0,0,-0.17,0.17,9679.375,0.133840212406469,0.2,0
"184",84,1000,0.1,0,0,-0.874,0.874,9915.125,0.122788139646102,0,0
"185",85,1000,0.1,0,0,-0.351,0.351,9706.6875,0.0733956233095648,0.05,0
"186",86,1000,0.1,0,0,-0.49,0.49,9782.375,0.0784890851116017,0,0
"187",87,1000,0.1,0,0,-0.078,0.078,9545.15625,0.111822840409956,0.3,0
"188",88,1000,0.1,0,0,0.259,0.259,9483.34375,0.0900591490173631,0.2,0
"189",89,1000,0.1,0,0,-0.908,0.908,9929.8125,0.0537621210261446,0.15,0
"190",90,1000,0.1,0,0,-0.21,0.21,9676.75,0.0879491017964072,0.15,0
