"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts"
"1",1,100,0,0,1,-0.723,0.723,9880.8125,0.100718562874252,0
"2",2,100,0,0,1,-0.7,0.7,9871.5625,0.0518463719869305,0
"3",3,100,0,0,0,-0.78,0.78,9919.625,0.0906439854191981,0
"4",4,100,0,0,1,-0.572,0.572,9812.875,0.0601587695360953,0
"5",5,100,0,0,0,-0.946,0.946,9978,0.0875706214689266,0
"6",6,100,0,0,1,-0.799,0.799,9914.6875,0.0904950257701067,0
"7",7,100,0,0,0,-0.615,0.615,9859,0.11076995748701,0
"8",8,100,0,0,0,-0.517,0.517,9823,0.0837507635919365,0
"9",9,100,0,0,1,-0.902,0.902,9956.8125,0.126821112968713,0
"10",10,100,0,0,0,-0.867,0.867,9626.375,0.116642958748222,0
"11",11,100,0,0,1,-0.696,0.696,9866.6875,0.0682068206820682,0
"12",12,100,0,0,1,-0.902,0.902,9956.1875,0.0893454371715241,0
"13",13,100,0,0,1,-0.143,0.143,9626.15625,0.0881230769230769,0
"14",14,100,0,0,0,-0.938,0.938,9977.3125,0.0717088833392793,0
"15",15,100,0,0,0,-0.97,0.97,9990.5,0.0931067496409765,0
"16",16,100,0,0,0,-0.656,0.656,9448.78125,0.108654303376129,0
"17",17,100,0,0,1,-0.349,0.349,9715.6875,0.126622989874926,0
"18",18,100,0,0,0,-0.399,0.399,9779.46875,0.0778608184268562,0
"19",19,100,0,0,1,-0.534,0.534,9795.125,0.112544802867384,0
"20",20,100,0,0,1,-0.154,0.154,9639.28125,0.107051203715019,0
"21",21,100,0,0,0,-0.415,0.415,9785.5625,0.101389923057831,0
"22",22,100,0,0,1,-0.893,0.893,9952.75,0.148058252427184,0
"23",23,100,0,0,1,-0.77,0.77,9900.96875,0.0805704534373476,0
"24",24,100,0,0,0,0.0229999999999999,0.0229999999999999,9633.90625,0.10606528043438,0
"25",25,100,0,0,1,-0.237,0.237,9668.375,0.109494731800766,0
"26",26,100,0,0,0,-0.981,0.981,9995.0625,0.117196565328382,0
"27",27,100,0,0,1,-0.734,0.734,9883.625,0.0876018980411242,0
"28",28,100,0,0,1,-0.806,0.806,9914.90625,0.0765368601518491,0
"29",29,100,0,0,0,-0.903,0.903,9842.40625,0.0584931005006716,0
"30",30,100,0,0,0,-0.909,0.909,9962.625,0.063047711781889,0
"31",31,100,0,0,1,-0.932,0.932,9970.25,0.113049713193117,0
"32",32,100,0,0,1,-0.796,0.796,9909.75,0.0937947494033413,0
