"","case_nb","popinit","K","MT","nb_stkh","at","bb","extinct","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1",1,5442,7137,6274,42,0,0.5,0,15,9,9,9,66,9,13,26,41,9,37,10,47,9,55,9,15,50,41,9
"2",1,5442,7137,6274,42,0.1,0.5,0,16,16,16,16,27,21,30,62,62,6,9,9,9,9,9,9,20,43,43,43
"3",1,5442,7137,6274,42,0.137551801083838,0.5,0,14,14,14,14,29,47,47,6,6,6,37,37,37,37,3,3,3,66,66,6
"4",1,5442,7137,6274,42,0.7,0.5,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
"5",1,5442,7137,6274,42,1,0.5,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
"6",2,3217,1871,1343,45,0,0.5,1,16,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0
"7",2,3217,1871,1343,45,0.1,0.5,1,17,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0
"8",2,3217,1871,1343,45,0.393149664929263,0.5,1,19,19,6,6,6,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2,3217,1871,1343,45,0.7,0.5,1,14,14,14,14,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2,3217,1871,1343,45,1,0.5,1,15,15,15,15,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",3,2803,4485,3477,8,0,0.5,0,20,9,100,9,45,21,100,100,100,100,100,100,27,100,90,100,100,83,100,100
"12",3,2803,4485,3477,8,0.1,0.5,0,15,15,83,83,83,4,4,100,100,100,100,100,100,4,4,100,100,90,90,6
"13",3,2803,4485,3477,8,0.289905090595341,0.5,0,18,18,18,18,18,100,100,100,100,100,100,100,100,100,100,100,100,2,2,2
"14",3,2803,4485,3477,8,0.7,0.5,0,15,15,15,15,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"15",3,2803,4485,3477,8,1,0.5,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,4
"16",4,8573,13236,9817,47,0,0.5,0,17,9,9,26,43,71,21,62,52,9,66,21,47,52,9,19,83,35,58,40
"17",4,8573,13236,9817,47,0.1,0.5,0,16,40,40,6,9,38,38,38,38,76,76,6,9,9,43,25,41,32,28,55
"18",4,8573,13236,9817,47,0.348273403280025,0.5,0,21,21,21,21,21,21,100,100,100,4,9,9,9,9,9,9,9,9,9,9
"19",4,8573,13236,9817,47,0.7,0.5,1,14,14,14,14,14,100,100,100,100,3,0,0,0,0,0,0,0,0,0,0
"20",4,8573,13236,9817,47,1,0.5,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
"21",5,2726,2311,2226,31,0,0.5,0,16,9,9,21,9,9,9,12,9,9,12,9,14,9,15,9,15,9,13,9
"22",5,2726,2311,2226,31,0.0381850853548966,0.5,0,14,9,30,9,9,9,9,9,9,9,9,6,10,10,21,21,21,4,9,9
"23",5,2726,2311,2226,31,0.1,0.5,0,16,23,9,9,9,9,9,9,9,9,9,6,9,9,9,9,9,9,9,4
"24",5,2726,2311,2226,31,0.7,0.5,1,20,20,20,20,20,3,9,9,9,9,0,0,0,0,0,0,0,0,0,0
"25",5,2726,2311,2226,31,1,0.5,1,19,19,19,19,19,19,19,2,0,0,0,0,0,0,0,0,0,0,0,0
"26",6,9434,7281,5514,47,0,0.5,0,15,62,9,21,29,9,37,22,22,9,33,17,9,28,16,47,35,9,13,9
"27",6,9434,7281,5514,47,0.1,0.5,0,14,62,62,6,9,9,9,9,9,9,9,9,9,43,43,6,9,9,9,9
"28",6,9434,7281,5514,47,0.320457018498368,0.5,1,16,58,58,58,4,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0
"29",6,9434,7281,5514,47,0.7,0.5,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,5
"30",6,9434,7281,5514,47,1,0.5,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
"31",7,2017,2559,1861,15,0,0.5,0,17,58,9,13,9,9,20,71,9,13,9,15,9,9,71,9,9,9,21,76
"32",7,2017,2559,1861,15,0.1,0.5,0,15,15,27,32,32,6,9,9,15,9,76,9,9,6,50,9,26,9,9,9
"33",7,2017,2559,1861,15,0.375067168189146,0.5,1,16,16,16,16,16,100,100,6,9,9,0,0,0,0,0,0,0,0,0,0
"34",7,2017,2559,1861,15,0.7,0.5,1,16,16,16,16,100,100,6,9,9,0,0,0,0,0,0,0,0,0,0,0
"35",7,2017,2559,1861,15,1,0.5,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"36",8,3808,1528,994,34,0,0.5,1,15,9,13,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0
"37",8,3808,1528,994,34,0.1,0.5,1,15,16,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0
"38",8,3808,1528,994,34,0.537223340040242,0.5,1,17,17,17,17,3,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0
"39",8,3808,1528,994,34,0.7,0.5,1,20,20,20,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",8,3808,1528,994,34,1,0.5,1,13,13,13,13,13,13,13,2,9,0,0,0,0,0,0,0,0,0,0,0
"41",9,5954,10249,7106,42,0,0.5,0,17,9,9,13,34,28,55,50,9,50,27,66,9,9,33,40,43,71,9,23
"42",9,5954,10249,7106,42,0.1,0.5,0,15,15,15,15,41,25,55,20,27,27,41,52,28,28,28,30,30,30,30,30
"43",9,5954,10249,7106,42,0.44230227976358,0.5,0,15,15,15,15,15,15,15,90,90,90,4,9,9,9,9,9,9,9,9,9
"44",9,5954,10249,7106,42,0.7,0.5,0,15,15,15,15,15,15,15,15,15,15,15,9,100,100,100,4,4,4,4,4
"45",9,5954,10249,7106,42,1,0.5,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
"46",10,9767,13847,10016,14,0,0.5,0,16,83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"47",10,9767,13847,10016,14,0.1,0.5,0,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"48",10,9767,13847,10016,14,0.382488019169329,0.5,0,14,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"49",10,9767,13847,10016,14,0.7,0.5,0,15,15,15,15,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"50",10,9767,13847,10016,14,1,0.5,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
