"","case_nb","popinit","K","MT","nb_stkh","at","bb","extinct","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1",1,5442,7137,6274,42,0,0.5,0,6063,6148,6668,7430,8133,6254,7071,7866,7517,6767,7833,7051,8074,6691,7731,6200,7082,7868,6463,5806
"2",1,5442,7137,6274,42,0.1,0.5,0,6010,5952,6020,6238,6549,7065,7324,7125,5397,3352,3805,4183,4549,5021,5596,6280,7092,7512,6632,5841
"3",1,5442,7137,6274,42,0.137551801083838,0.5,0,5958,5961,6062,6341,6801,7282,6190,5028,5637,6427,7418,6872,6360,5767,5026,5836,6869,8047,5801,3617
"4",1,5442,7137,6274,42,0.7,0.5,0,5948,5922,5894,6044,6252,7273,7710,8041,8236,8259,8354,8467,8447,8444,8441,8440,8437,8418,8440,8422
"5",1,5442,7137,6274,42,1,0.5,0,5919,5751,5706,5687,5802,6532,6772,7160,7648,7824,7937,8027,8089,8131,8159,8168,8178,8183,8187,8169
"6",2,3217,1871,1343,45,0,0.5,1,2483,1656,1502,1315,1104,881,554,200,6,0,0,0,0,0,0,0,0,0,0,0
"7",2,3217,1871,1343,45,0.1,0.5,1,2436,1561,1349,1109,856,582,222,11,0,0,0,0,0,0,0,0,0,0,0,0
"8",2,3217,1871,1343,45,0.393149664929263,0.5,1,2482,1543,809,644,442,238,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2,3217,1871,1343,45,0.7,0.5,1,2446,1749,1308,817,251,178,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2,3217,1871,1343,45,1,0.5,1,2445,1682,1162,592,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",3,2803,4485,3477,8,0,0.5,0,3088,3248,3584,3228,3702,4319,4891,4518,4439,4388,4311,4230,4119,4680,4518,4562,4434,4390,4481,4429
"12",3,2803,4485,3477,8,0.1,0.5,0,3014,3221,3492,3310,3077,3132,3642,4259,4114,3937,3755,3528,3284,2929,3447,4103,3923,3770,3631,3483
"13",3,2803,4485,3477,8,0.289905090595341,0.5,0,3056,3240,3510,3913,4460,5595,4743,4510,4404,4315,4211,4136,3917,3707,3496,3216,2889,2515,3018,3567
"14",3,2803,4485,3477,8,0.7,0.5,0,3072,3286,3541,3964,4496,5664,4917,4642,4544,4469,4476,4461,4340,4266,4203,4145,4034,3921,3743,3549
"15",3,2803,4485,3477,8,1,0.5,0,3092,3313,3635,4094,4711,5805,5544,5632,5712,5733,5760,5768,5694,5716,5734,5716,5724,5743,5735,5735
"16",4,8573,13236,9817,47,0,0.5,0,9394,9521,10238,11230,11772,12731,11117,12063,10953,10270,11850,10568,11471,11151,10493,12068,13482,11413,11814,10941
"17",4,8573,13236,9817,47,0.1,0.5,0,9376,9669,8859,8109,9144,11325,11246,11254,11339,11497,9564,7249,8271,9386,10694,10402,11081,11033,11464,12208
"18",4,8573,13236,9817,47,0.348273403280025,0.5,0,9514,9578,9797,10366,11125,13222,14508,10907,7474,3333,3779,4010,4286,4581,4986,5433,5921,6488,7209,8140
"19",4,8573,13236,9817,47,0.7,0.5,1,9439,9872,10432,11196,12364,15204,11320,7849,3782,8,0,0,0,0,0,0,0,0,0,0
"20",4,8573,13236,9817,47,1,0.5,0,9370,9713,10312,11197,12478,15407,15644,15951,16174,16418,16674,16852,16845,16822,16854,16896,16885,16887,16888,16857
"21",5,2726,2311,2226,31,0,0.5,0,2743,2308,2320,2403,2025,2262,2302,2327,2318,2420,2409,2330,2402,2285,2385,2271,2346,2207,2286,2216
"22",5,2726,2311,2226,31,0.0381850853548966,0.5,0,2694,2281,2332,1639,1641,1797,1819,1870,1948,2037,2146,2238,2437,2484,2496,2119,1767,1378,1511,1495
"23",5,2726,2311,2226,31,0.1,0.5,0,2650,2227,1726,1676,1655,1775,1743,1722,1712,1704,1702,1692,1777,1778,1783,1800,1833,1852,1887,1917
"24",5,2726,2311,2226,31,0.7,0.5,1,2714,2180,1811,1407,928,414,390,158,12,0,0,0,0,0,0,0,0,0,0,0
"25",5,2726,2311,2226,31,1,0.5,1,2690,2176,1832,1471,1065,627,144,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",6,9434,7281,5514,47,0,0.5,0,8710,8046,5590,6097,6118,6184,6801,5971,5865,5792,6473,5947,6146,6854,6611,6980,5720,4875,5328,5633
"27",6,9434,7281,5514,47,0.1,0.5,0,8608,7968,5480,3009,3278,3681,3798,3913,4198,4569,4985,5425,5846,6422,5253,3802,4191,4508,4901,5355
"28",6,9434,7281,5514,47,0.320457018498368,0.5,1,8794,8018,5731,3539,1006,1068,754,409,64,0,0,0,0,0,0,0,0,0,0,0
"29",6,9434,7281,5514,47,0.7,0.5,0,8517,7823,7800,7933,8179,8888,8239,8211,8301,8323,8332,8362,8265,8314,8321,8319,8310,8319,8307,8294
"30",6,9434,7281,5514,47,1,0.5,0,8644,7908,7772,7875,8037,8755,8252,8129,8247,8275,8301,8310,8254,8253,8261,8269,8273,8302,8292,8277
"31",7,2017,2559,1861,15,0,0.5,0,2256,2243,1557,1637,1702,2043,2263,2331,1509,1630,1726,1919,2069,2357,2647,1816,2049,2323,2611,2642
"32",7,2017,2559,1861,15,0.1,0.5,0,2185,2159,2156,1985,1751,1620,1758,1885,2075,2174,2416,1517,1645,1794,2022,1531,1695,1530,1683,1816
"33",7,2017,2559,1861,15,0.375067168189146,0.5,1,2218,2230,2278,2358,2494,2888,1470,76,22,0,0,0,0,0,0,0,0,0,0,0
"34",7,2017,2559,1861,15,0.7,0.5,1,2228,2279,2388,2532,2726,1510,109,38,0,0,0,0,0,0,0,0,0,0,0,0
"35",7,2017,2559,1861,15,1,0.5,0,2236,2195,2183,2202,2276,2607,2717,2780,2788,2819,2811,2819,2814,2809,2797,2843,2837,2825,2812,2806
"36",8,3808,1528,994,34,0,0.5,1,2339,1575,1479,1265,1196,1169,992,843,640,407,156,16,0,0,0,0,0,0,0,0
"37",8,3808,1528,994,34,0.1,0.5,1,2373,1638,1254,1159,1054,985,809,590,352,114,1,0,0,0,0,0,0,0,0,0
"38",8,3808,1528,994,34,0.537223340040242,0.5,1,2368,1561,1171,719,213,152,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",8,3808,1528,994,34,0.7,0.5,1,2351,1452,936,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",8,3808,1528,994,34,1,0.5,1,2451,1707,1445,1242,986,708,316,20,5,0,0,0,0,0,0,0,0,0,0,0
"41",9,5954,10249,7106,42,0,0.5,0,6573,6505,6989,7684,8490,9217,9457,8507,7719,8832,8087,8414,6850,7793,8935,9079,8862,8468,6594,7470
"42",9,5954,10249,7106,42,0.1,0.5,0,6604,6706,6982,7433,8120,8348,8643,7481,7996,8274,8589,8186,7198,7283,7384,7495,7551,7635,7709,7777
"43",9,5954,10249,7106,42,0.44230227976358,0.5,0,6578,6646,6879,7263,7848,9363,10175,11239,8258,5383,1918,2121,2099,2060,2004,1952,1901,1817,1741,1657
"44",9,5954,10249,7106,42,0.7,0.5,0,6603,6651,6904,7271,7828,9384,10265,11523,11956,12221,12395,12461,12800,9002,5843,2035,2235,2455,2698,2982
"45",9,5954,10249,7106,42,1,0.5,0,6468,6402,6470,6612,6876,7982,8516,9216,10150,11396,11997,12316,12402,12493,12541,12632,12636,12599,12610,12601
"46",10,9767,13847,10016,14,0,0.5,0,10725,11713,11948,12193,12768,14895,15082,15215,15393,15570,15691,15742,15659,15702,15743,15707,15725,15748,15699,15730
"47",10,9767,13847,10016,14,0.1,0.5,0,10852,11951,12055,12338,12940,15025,15133,15330,15444,15542,15714,15791,15665,15719,15763,15755,15792,15725,15712,15734
"48",10,9767,13847,10016,14,0.382488019169329,0.5,0,10852,11961,13367,13989,14766,16567,15615,15489,15549,15650,15765,15802,15596,15641,15671,15684,15675,15687,15710,15658
"49",10,9767,13847,10016,14,0.7,0.5,0,10725,11843,13248,15041,16307,18452,16588,15912,15799,15839,15868,15799,15541,15539,15602,15574,15524,15561,15543,15578
"50",10,9767,13847,10016,14,1,0.5,0,10813,11789,13048,14844,16393,18489,17566,17503,17658,17837,17984,17972,17831,17851,17902,17921,17920,17890,17859,17902
"51",11,4230,4630,3998,17,0,0.5,0,4640,4867,4002,4160,4787,4879,3625,4168,4842,5208,3886,4547,5304,4578,4731,3624,4189,4403,3901,4502
"52",11,4230,4630,3998,17,0.1,0.5,0,4688,4943,3854,2871,3290,4026,3922,4531,5253,3949,3961,4632,4591,4316,4567,4627,4502,4121,4176,4243
"53",11,4230,4630,3998,17,0.15807903951976,0.5,0,4650,4771,4371,4049,3715,3712,3389,2984,2514,2951,3363,3844,4377,4137,3847,4441,3427,3908,4439,5122
"54",11,4230,4630,3998,17,0.7,0.5,0,4677,4878,4999,5085,5172,5747,5478,5514,5578,5615,5690,5712,5653,5661,5650,5644,5651,5675,5657,5657
"55",11,4230,4630,3998,17,1,0.5,0,4654,4883,5027,5160,5371,5854,5538,5494,5522,5522,5555,5595,5548,5540,5537,5566,5577,5544,5550,5557
"56",12,8646,8221,5229,5,0,0.5,0,9184,9500,9289,9406,9639,10509,9960,9915,9971,10032,10064,10100,10012,10055,10051,10061,10050,10035,10025,10050
"57",12,8646,8221,5229,5,0.1,0.5,0,9160,9450,9321,9474,9662,10571,10146,9993,9997,10059,10098,10105,10040,10048,10074,10064,10057,10048,10060,10048
"58",12,8646,8221,5229,5,0.572193536048958,0.5,0,9208,9618,9458,9625,9860,10685,10177,10094,10139,10189,10243,10203,10155,10171,10212,10196,10158,10183,10184,10206
"59",12,8646,8221,5229,5,0.7,0.5,0,8991,9295,9086,9180,9313,10276,9986,9908,9939,9977,10061,10152,10104,10098,10094,10106,10124,10114,10090,10092
"60",12,8646,8221,5229,5,1,0.5,0,9209,9387,9661,10019,9812,10606,10115,10011,10041,10050,10072,10118,10054,10044,10062,10093,10090,10096,10053,10057
"61",13,2552,2633,2175,12,0,0.5,0,2808,2879,2180,2162,2441,3023,2270,2240,2494,2892,2069,2366,2459,2640,3075,2585,2201,2500,2538,2613
"62",13,2552,2633,2175,12,0.1,0.5,0,2847,2884,2482,2548,2644,2980,2019,2293,2396,2546,2187,2555,2473,2382,2292,2404,2518,2657,2376,2426
"63",13,2552,2633,2175,12,0.210574712643678,0.5,0,2853,2793,1745,1904,2113,2594,2917,3103,2031,994,1126,1256,1412,1559,1730,2032,2343,2738,3085,2345
"64",13,2552,2633,2175,12,0.7,0.5,0,2831,2861,2904,2950,3032,3304,3170,3103,3139,3155,3140,3160,3129,3145,3144,3143,3146,3140,3142,3140
"65",13,2552,2633,2175,12,1,0.5,0,2839,2849,2903,3002,3113,3411,3238,3227,3281,3309,3309,3320,3309,3310,3305,3305,3315,3308,3320,3332
"66",14,4728,3416,2748,48,0,0.5,0,4100,3399,3498,3433,3622,3972,2305,2207,2145,2082,2027,1919,1787,1663,1487,1247,977,647,285,22
"67",14,4728,3416,2748,48,0.1,0.5,1,4124,3274,2639,1934,1928,1896,1646,1434,1183,913,586,220,5,0,0,0,0,0,0,0
"68",14,4728,3416,2748,48,0.243085880640466,0.5,1,4238,3255,2070,688,490,151,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",14,4728,3416,2748,48,0.7,0.5,1,4190,3495,3290,3167,3082,3202,3017,2867,2682,2476,2253,1987,1671,1266,763,873,533,167,0,0
"70",14,4728,3416,2748,48,1,0.5,1,4058,3235,2797,2427,1937,1448,741,64,0,0,0,0,0,0,0,0,0,0,0,0
"71",15,9267,10063,6535,37,0,0.5,0,10178,10616,7590,6840,7304,7555,7127,7896,7951,7180,8212,6938,7915,9094,7811,8936,7615,7615,8704,8942
"72",15,9267,10063,6535,37,0.1,0.5,0,10132,10613,8363,6373,7141,7679,7639,7840,8110,6603,4780,5510,6249,7124,8166,7064,7605,7810,8094,8145
"73",15,9267,10063,6535,37,0.539862280030605,0.5,1,10131,10709,7527,4476,914,1006,818,574,293,34,0,0,0,0,0,0,0,0,0,0
"74",15,9267,10063,6535,37,0.7,0.5,1,10214,10715,7659,4640,1083,1195,1003,800,566,292,72,0,0,0,0,0,0,0,0,0
"75",15,9267,10063,6535,37,1,0.5,0,10131,10490,10862,11208,11472,12732,12143,12132,12185,12237,12283,12323,12229,12248,12268,12260,12267,12277,12268,12657
"76",16,4369,1373,1295,36,0,0.5,1,2380,1487,1308,1075,940,787,520,240,12,0,0,0,0,0,0,0,0,0,0,0
"77",16,4369,1373,1295,36,0.0602316602316602,0.5,1,2413,1500,1105,1094,941,823,565,310,69,0,0,0,0,0,0,0,0,0,0,0
"78",16,4369,1373,1295,36,0.1,0.5,1,2430,1461,1030,1034,903,745,473,200,30,0,0,0,0,0,0,0,0,0,0,0
"79",16,4369,1373,1295,36,0.7,0.5,1,2405,1523,1112,760,333,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",16,4369,1373,1295,36,1,0.5,1,2398,1330,725,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",17,7959,9487,7339,41,0,0.5,0,8691,8805,7498,8225,8596,8323,8780,9104,8713,8629,8162,8339,8828,7626,8632,9196,7887,7761,7625,8649
"82",17,7959,9487,7339,41,0.1,0.5,0,8697,8967,8674,7021,5241,6533,7164,8039,8142,8264,8504,8600,8971,8622,7768,7408,7002,6463,7512,8747
"83",17,7959,9487,7339,41,0.292682926829268,0.5,0,8702,9069,6997,4751,5267,6494,7410,8569,9900,8047,6195,3967,4526,4919,5449,6041,6824,7814,8955,10289
"84",17,7959,9487,7339,41,0.7,0.5,0,8762,9082,9607,10252,10657,11845,11340,11290,11362,11480,11568,11590,11519,11544,11557,11966,12134,12170,12144,12122
"85",17,7959,9487,7339,41,1,0.5,0,8906,9335,9925,10406,10704,11929,11358,11310,11386,11479,11512,11579,11456,11496,11498,11525,11509,11503,11483,11515
"86",18,5886,4450,3049,18,0,0.5,0,5351,5040,3424,3766,3600,4063,3697,4080,4152,3177,3414,3473,3918,3700,3632,3691,3964,3457,3925,3700
"87",18,5886,4450,3049,18,0.1,0.5,0,5337,5045,3499,3482,3492,3557,3701,3916,4205,3583,3477,3345,3680,3914,3098,2116,2399,2720,3131,3676
"88",18,5886,4450,3049,18,0.459494916366022,0.5,1,5334,5027,3436,1880,172,133,25,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",18,5886,4450,3049,18,0.7,0.5,1,5214,4994,3441,1956,265,263,148,39,1,0,0,0,0,0,0,0,0,0,0,0
"90",18,5886,4450,3049,18,1,0.5,1,5425,5102,5062,5159,5278,5692,5397,3817,2465,818,0,0,0,0,0,0,0,0,0,0
"91",19,1047,3223,2065,19,0,0.5,1,1149,931,860,803,754,761,691,611,550,489,403,272,151,30,0,0,0,0,0,0
"92",19,1047,3223,2065,19,0.1,0.5,1,1152,902,852,809,771,788,760,709,648,594,528,434,311,182,48,0,0,0,0,0
"93",19,1047,3223,2065,19,0.560774818401937,0.5,1,1143,954,764,753,697,672,573,466,365,236,102,8,0,0,0,0,0,0,0,0
"94",19,1047,3223,2065,19,0.7,0.5,0,1194,1021,839,814,804,873,847,830,822,817,820,827,825,824,830,826,818,819,828,919
"95",19,1047,3223,2065,19,1,0.5,1,1167,889,518,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",20,2117,4127,3212,41,0,0.5,1,2304,1812,1615,1461,1307,1246,1068,835,573,256,36,0,0,0,0,0,0,0,0,0
"97",20,2117,4127,3212,41,0.1,0.5,1,2355,1798,1606,1416,1199,1078,817,532,210,22,0,0,0,0,0,0,0,0,0,0
"98",20,2117,4127,3212,41,0.284869240348692,0.5,1,2379,1958,1795,1608,1475,1457,1300,1125,918,638,331,79,0,0,0,0,0,0,0,0
"99",20,2117,4127,3212,41,0.7,0.5,1,2296,1842,1389,900,346,305,44,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",20,2117,4127,3212,41,1,0.5,1,2255,1788,1324,839,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101",21,8780,12491,7463,48,0,0.5,0,9721,9988,7534,8243,7191,8800,8129,9181,8088,9112,8395,8376,8730,9167,10099,9220,8498,9466,9360,9332
"102",21,8780,12491,7463,48,0.1,0.5,0,9723,10046,9786,8218,6549,8181,9339,9591,9470,8965,8920,9454,9372,9267,7293,4969,5605,6150,6838,7729
"103",21,8780,12491,7463,48,0.673723703604449,0.5,0,9604,9930,10532,11370,12563,15260,10648,7065,2697,3004,3350,3811,4294,4890,5703,6596,7708,8977,10473,12388
"104",21,8780,12491,7463,48,0.7,0.5,1,9735,10129,10721,11517,12651,10136,6292,1842,1957,1814,1652,1462,1264,978,649,265,11,0,0,0
"105",21,8780,12491,7463,48,1,0.5,1,9646,10028,10729,11716,12988,15411,10800,7314,3019,0,0,0,0,0,0,0,0,0,0,0
"106",22,9428,4155,2920,11,0,0.5,0,6202,5359,4245,3798,3629,3405,2977,3398,2685,3139,3658,3064,3523,2855,2896,3021,3525,3449,3889,3349
"107",22,9428,4155,2920,11,0.1,0.5,0,6143,5284,4199,3822,3690,3645,3134,3627,3379,3071,2694,2222,2614,3064,2336,2642,3025,3539,4157,3707
"108",22,9428,4155,2920,11,0.422945205479452,0.5,0,6071,5294,4279,3768,3277,2829,1995,1087,1210,1316,1447,1605,1774,2001,2300,2659,3025,3499,4078,4762
"109",22,9428,4155,2920,11,0.7,0.5,1,6176,5331,4225,3785,3319,2883,2146,1298,249,274,214,139,64,3,0,0,0,0,0,0
"110",22,9428,4155,2920,11,1,0.5,1,6136,5248,5087,5110,5205,5481,4262,3729,3211,2595,1793,826,35,27,16,1,0,0,0,0
"111",23,8092,8110,7259,49,0,0.5,0,8795,8437,8046,8141,8054,9612,8000,8793,7473,8474,7110,7454,8314,9198,8245,7293,8187,9195,7816,8860
"112",23,8092,8110,7259,49,0.1,0.5,0,8885,8416,8431,8585,7154,6344,7239,8269,7717,7221,8333,7918,8395,7633,7007,6311,7383,8664,8460,8870
"113",23,8092,8110,7259,49,0.117233778757405,0.5,0,8987,8610,7118,5751,6526,7912,8936,8587,7526,6569,5411,6341,7406,8682,9665,6614,3768,4203,4544,4990
"114",23,8092,8110,7259,49,0.7,0.5,0,8941,8541,8600,8784,8991,9958,9464,9360,9463,9479,9553,9574,9497,9506,9527,9558,9593,9524,9536,9538
"115",23,8092,8110,7259,49,1,0.5,0,8861,8616,8612,8852,9075,10024,9576,9531,9585,9633,9708,9733,9700,9648,9683,9698,9694,9694,9672,9671
"116",24,5494,4147,3514,35,0,0.5,0,4947,4292,3811,3592,3964,4360,4120,3925,4328,3916,4369,4663,3849,3839,3848,4277,3903,3754,3651,4063
"117",24,5494,4147,3514,35,0.1,0.5,0,5017,4382,4222,3342,2406,2845,2966,3138,3397,3735,4101,3618,3063,3440,3884,4373,4312,3731,3132,2417
"118",24,5494,4147,3514,35,0.180136596471258,0.5,0,4952,4121,3844,3627,3465,3499,3199,2831,3326,3893,4612,3040,1484,1553,1492,1443,1380,1306,1188,1044
"119",24,5494,4147,3514,35,0.7,0.5,0,4933,4309,4089,4002,3942,4203,4087,3987,3932,3890,3812,3703,3564,3421,3285,3133,2911,2626,2270,1849
"120",24,5494,4147,3514,35,1,0.5,0,5013,4487,4362,4396,4473,4872,4600,4514,4580,4597,4581,4608,4548,4589,4587,4589,4599,4538,4587,4573
"121",25,6140,11329,8007,44,0,0.5,0,6767,6707,7102,7715,8612,10718,9337,8453,8654,9167,10120,7842,8925,10075,10243,8616,8171,9269,8836,10159
"122",25,6140,11329,8007,44,0.1,0.5,0,6732,6734,7232,7907,9010,8653,7505,6107,7039,8015,9294,9852,9769,8880,7894,6672,7860,9351,9049,8675
"123",25,6140,11329,8007,44,0.414886973897839,0.5,0,6699,6709,6853,7120,7617,9083,9896,10886,11529,12267,8956,5476,1306,1362,1162,922,632,275,22,0
"124",25,6140,11329,8007,44,0.7,0.5,1,6804,6754,6811,7038,7381,8562,9131,9895,10827,12056,12960,13297,13766,13944,9945,6808,2947,0,0,0
"125",25,6140,11329,8007,44,1,0.5,0,6715,6576,6579,6736,6944,8025,8550,9251,10114,11285,12760,13480,13536,13650,13771,13805,13910,13845,13806,13820
"126",26,9199,10648,7312,36,0,0.5,0,10114,10801,8216,8154,8968,8106,8223,8524,9301,9780,7919,8532,7553,8609,9114,8903,8429,9269,8077,9259
"127",26,9199,10648,7312,36,0.1,0.5,0,10054,10601,8326,8161,8097,8913,8947,7310,5459,6308,7305,8528,9802,10104,8774,8200,7552,7699,7814,8389
"128",26,9199,10648,7312,36,0.456236323851203,0.5,0,10136,10709,8170,5295,2027,2422,2466,2506,2588,2668,2782,2917,3065,3317,3623,3955,4293,4792,5478,6276
"129",26,9199,10648,7312,36,0.7,0.5,0,10116,10729,11541,11926,12342,13697,10013,7742,5012,1704,1904,1887,1814,1781,1728,1663,1576,1463,1380,1300
"130",26,9199,10648,7312,36,1,0.5,0,10009,10503,11279,11876,12382,13812,12986,12932,13069,13089,13131,13141,13057,13054,13057,13084,13056,13088,13077,13069
"131",27,6064,785,627,12,0,0.5,1,2346,1298,243,182,103,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132",27,6064,785,627,12,0.1,0.5,1,2513,1381,424,414,396,436,403,360,307,233,162,98,37,6,0,0,0,0,0,0
"133",27,6064,785,627,12,0.251993620414673,0.5,1,2493,1365,372,338,288,238,143,47,2,0,0,0,0,0,0,0,0,0,0,0
"134",27,6064,785,627,12,0.7,0.5,1,2435,1340,216,147,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135",27,6064,785,627,12,1,0.5,1,2471,1425,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136",28,6708,12775,10761,10,0,0.5,0,7280,7898,8811,10093,11737,14667,14491,14590,14740,14829,14919,15067,14912,14923,14943,14966,15002,14988,14984,15027
"137",28,6708,12775,10761,10,0.1,0.5,0,7391,8204,9308,10723,12489,14920,14727,14709,14852,15025,15267,15379,15224,15198,15267,15285,15298,15274,15276,15263
"138",28,6708,12775,10761,10,0.187157327385931,0.5,0,7425,8113,9031,10320,12056,15484,14872,14838,15005,15158,15232,15395,15245,15253,15312,15357,15329,15352,15320,15318
"139",28,6708,12775,10761,10,0.7,0.5,0,7378,8247,9221,10551,12267,15702,15871,16078,16265,16474,16606,16781,16668,16714,16730,16728,16744,16739,16730,16733
"140",28,6708,12775,10761,10,1,0.5,0,7404,8062,8984,10109,11586,14915,15652,15991,16236,16468,16689,16823,16823,16827,16863,16874,16875,16876,16871,16873
"141",29,6585,7693,5569,20,0,0.5,0,7308,7856,6569,6558,6476,7735,6734,5661,6593,7299,6380,5345,6250,5613,6571,6117,6623,5997,6565,6091
"142",29,6585,7693,5569,20,0.1,0.5,0,7169,7633,6406,6565,6922,6986,6911,5807,5770,5754,5754,5784,5762,5750,5748,5854,5996,6055,6332,6727
"143",29,6585,7693,5569,20,0.381397019213503,0.5,0,7224,7786,8391,6888,5724,4833,3328,3898,4575,5357,6359,7545,8902,8747,7326,6414,5309,4012,2419,2796
"144",29,6585,7693,5569,20,0.7,0.5,1,7299,7809,8484,8851,9125,10063,7883,7088,6230,5109,3795,2127,220,226,122,28,0,0,0,0
"145",29,6585,7693,5569,20,1,0.5,0,7215,7654,8327,8799,9005,9919,9317,9405,9490,9502,9496,9554,9515,9475,9511,9476,9505,9488,9513,9476
"146",30,9239,9875,7645,6,0,0.5,0,10208,10963,10952,11183,11517,12693,12131,12113,12179,12231,12307,12362,12276,12289,12310,12274,12303,12302,12289,12301
