"","time_step","resources","estimate","cost_culling","cost_unused","act_culling","act_unused","crop_yield","harvested"
"1",2,5,1000,0,-10,1000,0,999.775382262601,5
"2",2,0,1000,0,-10,1000,0,1000,0
"3",2,0,1000,0,-10,1000,0,1000,0
"4",2,0,1000,0,-10,1000,0,1000,0
"5",2,0,1000,0,-10,1000,0,1000,0
"6",2,0,1000,0,-10,1000,0,1000,0
"7",2,0,1000,0,-10,1000,0,1000,0
"8",2,0,1000,0,-10,1000,0,1000,0
"9",2,0,1000,0,-10,1000,0,1000,0
"10",2,0,1000,0,-10,1000,0,1000,0
"11",2,0,1000,0,-10,1000,0,1000,0
"12",2,0,1000,0,-10,1000,0,1000,0
"13",2,0,1000,0,-10,1000,0,1000,0
"14",2,0,1000,0,-10,1000,0,1000,0
"15",2,0,1000,0,-10,1000,0,1000,0
"16",2,0,1000,0,-10,1000,0,1000,0
"17",2,0,1000,0,-10,1000,0,1000,0
"18",2,0,1000,0,-10,1000,0,1000,0
"19",2,0,1000,0,-10,1000,0,1000,0
"20",2,3,1000,0,-10,1000,0,999.874898444317,3
"21",2,0,1000,0,-10,1000,0,1000,0
"22",2,0,1000,0,-10,1000,0,1000,0
"23",2,0,1000,0,-10,1000,0,1000,0
"24",2,0,1000,0,-10,1000,0,1000,0
"25",2,0,1000,0,-10,1000,0,1000,0
"26",2,1,1000,0,-10,1000,0,999.951361867704,1
"27",2,0,1000,0,-10,1000,0,1000,0
"28",2,0,1000,0,-10,1000,0,1000,0
"29",2,0,1000,0,-10,1000,0,1000,0
"30",2,0,1000,0,-10,1000,0,1000,0
"31",2,0,1000,0,-10,1000,0,1000,0
"32",2,0,1000,0,-10,1000,0,1000,0
"33",2,0,1000,0,-10,1000,0,1000,0
"34",2,0,1000,0,-10,1000,0,1000,0
"35",2,0,1000,0,-10,1000,0,1000,0
"36",2,0,1000,0,-10,1000,0,1000,0
"37",2,0,1000,0,-10,1000,0,1000,0
"38",2,0,1000,0,-10,1000,0,1000,0
"39",2,0,1000,0,-10,1000,0,1000,0
"40",2,0,1000,0,-10,1000,0,1000,0
"41",2,0,1000,0,-10,1000,0,1000,0
"42",2,0,1000,0,-10,1000,0,1000,0
"43",2,0,1000,0,-10,1000,0,1000,0
"44",2,0,1000,0,-10,1000,0,1000,0
"45",2,0,1000,0,-10,1000,0,1000,0
"46",3,0,1000,0,-10,1000,0,1000,0
"47",2,2,1000,0,-10,1000,0,999.899648745433,2
"48",2,2,1000,0,-10,1000,0,999.897994640167,2
"49",2,0,1000,0,-10,1000,0,1000,0
"50",2,0,1000,0,-10,1000,0,1000,0
"51",2,0,1000,0,-10,1000,0,1000,0
"52",2,0,1000,0,-10,1000,0,1000,0
"53",2,0,1000,0,-10,1000,0,1000,0
"54",2,0,1000,0,-10,1000,0,1000,0
"55",2,0,1000,0,-10,1000,0,1000,0
"56",2,0,1000,0,-10,1000,0,1000,0
"57",2,0,1000,0,-10,1000,0,1000,0
"58",2,0,1000,0,-10,1000,0,1000,0
"59",2,0,1000,0,-10,1000,0,1000,0
"60",2,4,1000,0,-10,1000,0,999.79915710512,4
"61",2,0,1000,0,-10,1000,0,1000,0
"62",2,1,1000,0,-10,1000,0,999.946294307197,1
"63",2,9,1000,0,-10,1000,0,999.634915917279,9
"64",2,0,1000,0,-10,1000,0,1000,0
"65",2,0,1000,0,-10,1000,0,1000,0
"66",2,4,1000,0,-10,1000,0,999.822327655492,4
"67",2,0,1000,0,-10,1000,0,1000,0
"68",2,0,1000,0,-10,1000,0,1000,0
"69",2,1,1000,0,-10,1000,0,999.953007518797,1
"70",2,0,1000,0,-10,1000,0,1000,0
"71",2,0,1000,0,-10,1000,0,1000,0
"72",2,0,1000,0,-10,1000,0,1000,0
"73",2,0,1000,0,-10,1000,0,1000,0
"74",2,0,1000,0,-10,1000,0,1000,0
"75",2,0,1000,0,-10,1000,0,1000,0
"76",2,0,1000,0,-10,1000,0,1000,0
"77",2,0,1000,0,-10,1000,0,1000,0
"78",2,0,1000,0,-10,1000,0,1000,0
"79",2,0,1000,0,-10,1000,0,1000,0
"80",2,0,1000,0,-10,1000,0,1000,0
"81",2,0,1000,0,-10,1000,0,1000,0
"82",3,0,1000,0,-10,1000,0,1000,0
"83",2,0,1000,0,-10,1000,0,1000,0
"84",2,0,1000,0,-10,1000,0,1000,0
"85",2,4,1000,0,-10,1000,0,999.824691844905,4
"86",2,0,1000,0,-10,1000,0,1000,0
"87",2,0,1000,0,-10,1000,0,1000,0
"88",2,0,1000,0,-10,1000,0,1000,0
"89",2,2,1000,0,-10,1000,0,999.899268913453,2
"90",2,2,1000,0,-10,1000,0,999.897645854657,2
"91",2,0,1000,0,-10,1000,0,1000,0
"92",2,0,1000,0,-10,1000,0,1000,0
"93",2,0,1000,0,-10,1000,0,1000,0
"94",2,0,1000,0,-10,1000,0,1000,0
"95",2,0,1000,0,-10,1000,0,1000,0
"96",2,3,1000,0,-10,1000,0,999.871266735324,3
"97",2,0,1000,0,-10,1000,0,1000,0
"98",2,0,1000,0,-10,1000,0,1000,0
"99",2,0,1000,0,-10,1000,0,1000,0
"100",2,0,1000,0,-10,1000,0,1000,0
