"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","overK"
"1",1,1000,0,0,0,-0.133,0.133,9659.59375,0.0769327151985967,0,0
"2",2,1000,0,0,0,0.383,0.383,9332.4375,0.0949692155549175,0,1
"3",3,1000,0,0,0,-0.523,0.523,9793.25,0.0539070227497527,0,0
"4",4,1000,0,0,0,-0.126,0.126,9649.75,0.0707377204627347,0,0
"5",5,1000,0,0,0,-0.097,0.097,9641.125,0.0911397104318772,0,0
"6",6,1000,0,0,1,-0.973,0.973,9987.5,0.0793878527020564,0,0
"7",7,1000,0,0,0,-0.233,0.233,9683.921875,0.128015177522811,0,0
"8",8,1000,0,0,0,-0.427,0.427,9743.1875,0.0743049495075427,0,0
"9",9,1000,0,0,0,0.00099999999999989,0.00099999999999989,9591.3125,0.0959990090424873,0,0
"10",10,1000,0,0,0,-0.072,0.072,9612.375,0.0499180637841926,0,0
"11",11,1000,0,0,0,-0.412,0.412,9742.25,0.109319653108587,0,0
"12",12,1000,0,0,0,0.319,0.319,9487.34375,0.100037188545928,0,0
"13",13,1000,0,0,0,0.188,0.188,9547.828125,0.0980516194331984,0,0
"14",14,1000,0,0,0,-0.455,0.455,9761.875,0.0862090138769495,0,0
"15",15,1000,0,0,0,-0.119,0.119,9574.59375,0.152378011117974,0,0
"16",16,1000,0,0,0,0.056,0.056,9575.5625,0.0961306112333096,0,0
"17",17,1000,0,0,0,0.0900000000000001,0.0900000000000001,9585.109375,0.0682018927444795,0,0
"18",18,1000,0,0,0,-0.084,0.084,9511.9375,0.0996437974291467,0,0
"19",19,1000,0,0,0,-0.219,0.219,9671.75,0.0780913808378686,0,0
"20",20,1000,0,0,0,-0.438,0.438,9751.25,0.125994694960212,0,0
"21",21,1000,0,0,0,-0.174,0.174,9648.8125,0.0761037835160072,0,0
"22",22,1000,0,0,0,-0.219,0.219,9658.6875,0.125935764308138,0,0
"23",23,1000,0,0,0,-0.497,0.497,9779.9375,0.072090112640801,0,0
"24",24,1000,0,0,0,-0.425,0.425,9746,0.102673666219021,0,0
"25",25,1000,0,0,0,0.11,0.11,9566.125,0.0813258695515441,0,1
"26",26,1000,0,0,0,-0.477,0.477,9766.5,0.103138476281744,0,0
"27",27,1000,0,0,0,-0.385,0.385,9725.8125,0.0826578236305576,0,0
"28",28,1000,0,0,0,-0.72,0.72,9860.0625,0.112708383667553,0,0
"29",29,1000,0,0,0,0.042,0.042,9590.046875,0.137683846248919,0,0
"30",30,1000,0,0,1,-0.975,0.975,9989.125,0.0882282996432818,0,0
"31",31,1000,0,0,0,-0.367,0.367,9737.875,0.107314403842646,0,0
"32",32,1000,0,0,0,-0.071,0.071,9612.6875,0.111879975505205,0,0
"33",33,1000,0,0,0,-0.019,0.019,9602.640625,0.134684657182978,0,0
"34",34,1000,0,0,0,-0.341,0.341,9725.625,0.0924776564051639,0,0
"35",35,1000,0,0,0,-0.346,0.346,9712.9375,0.0899913824941524,0,0
"36",36,1000,0,0,0,0.024,0.024,9594.0625,0.0939260726889976,0,0
"37",37,1000,0,0,0,0.0589999999999999,0.0589999999999999,9584.3125,0.071531565419096,0,0
"38",38,1000,0,0,0,-0.239,0.239,9665.3125,0.0932584269662921,0,0
"39",39,1000,0,0,0,-0.41,0.41,9745.125,0.108315360651809,0,0
"40",40,1000,0,0,0,-0.526,0.526,9795.0625,0.112190706095353,0,0
"41",41,1000,0,0,0,-0.205,0.205,9582,0.101420383752803,0,0
"42",42,1000,0,0,0,-0.176,0.176,9665.15625,0.0986830015313936,0,0
"43",43,1000,0,0,0,0.0609999999999999,0.0609999999999999,9544.84375,0.089710910786447,0,0
"44",44,1000,0,0,0,-0.519,0.519,9787.3125,0.116694650995443,0,0
"45",45,1000,0,0,0,0.05,0.05,9574.234375,0.0458418107833164,0,0
"46",46,1000,0,0,0,-0.014,0.014,9555.875,0.0709110867178924,0,0
"47",47,1000,0,0,0,-0.094,0.094,9508,0.0686381422798127,0,0
"48",48,1000,0,0,0,0.034,0.034,9597.59375,0.0705794018270554,0,0
"49",49,1000,0,0,0,-0.262,0.262,9694.75,0.12111104372612,0,0
"50",50,1000,0,0,0,-0.792,0.792,9887.8125,0.0849334858243544,0,0
"51",51,1000,0,0,0,-0.126,0.126,9655.125,0.105909816930827,0,0
"52",52,1000,0,0,0,-0.041,0.041,9620,0.108547424814319,0,0
"53",53,1000,0,0,0,-0.437,0.437,9754.75,0.0976476353834844,0,0
"54",54,1000,0,0,0,-0.314,0.314,9724.125,0.0731579272435304,0,0
"55",55,1000,0,0,0,0.0840000000000001,0.0840000000000001,9587.75,0.0700425638457687,0,1
"56",56,1000,0,0,0,0.107,0.107,9566.875,0.0830625,0,0
"57",57,1000,0,0,1,-0.989,0.989,9995.75,0.0855513307984791,0,0
"58",58,1000,0,0,0,-0.051,0.051,9616.25,0.0773393744887043,0,0
"59",59,1000,0,0,0,-0.0679999999999999,0.0679999999999999,9538.4375,0.0957209992579768,0,0
"60",60,1000,0,0,0,-0.183,0.183,9670.53125,0.0732721181288001,0,0
"61",61,1000,0,0,0,-0.556,0.556,9812.53125,0.0779838906516964,0,0
"62",62,1000,0,0,0,-0.149,0.149,9652.65625,0.100417126732916,0,0
"63",63,1000,0,0,0,-0.116,0.116,9628.9375,0.0955561103482711,0,0
"64",64,1000,0,0,0,-0.548,0.548,9800.25,0.109294833552082,0,0
"65",65,1000,0,0,0,-0.003,0.003,9599.1875,0.117530000603027,0,0
"66",66,1000,0,0,0,0.0349999999999999,0.0349999999999999,9576.96875,0.0698948154602602,0,0
"67",67,1000,0,0,0,0.0920000000000001,0.0920000000000001,9563.03125,0.100373482726424,0,0
"68",68,1000,0,0,0,0.0629999999999999,0.0629999999999999,9574.25,0.119863831820354,0,0
"69",69,1000,0,0,0,-0.086,0.086,9616.375,0.103877776414284,0,0
"70",70,1000,0,0,0,-0.333,0.333,9624.96875,0.0694487698536281,0,0
"71",71,1000,0,0,0,0.12,0.12,9477.6875,0.110297736220472,0,0
"72",72,1000,0,0,0,-0.073,0.073,9625.484375,0.0910443136039665,0,0
"73",73,1000,0,0,0,-0.179,0.179,9657.84375,0.0413202238310518,0,0
"74",74,1000,0,0,0,-0.361,0.361,9716.3125,0.0826683291770574,0,0
"75",75,1000,0,0,0,-0.549,0.549,9809.75,0.116736152471709,0,0
"76",76,1000,0,0,0,-0.175,0.175,9656.4375,0.105276103800271,0,0
"77",77,1000,0,0,0,0.147,0.147,9538.25,0.0748612512613522,0,0
"78",78,1000,0,0,0,0.0660000000000001,0.0660000000000001,9515.78125,0.062902711323764,0,0
"79",79,1000,0,0,1,-0.959,0.959,9982.6875,0.094484412470024,0,0
"80",80,1000,0,0,0,-0.183,0.183,9654.390625,0.0944823310601364,0,0
"81",81,1000,0,0,0,-0.119,0.119,9444.53125,0.0815985607812902,0,0
"82",82,1000,0,0,0,-0.639,0.639,9838.4375,0.122165499228303,0,0
"83",83,1000,0,0,0,0.462,0.462,9463.5625,0.0600153393838681,0,0
"84",84,1000,0,0,0,-0.155,0.155,9666.484375,0.071421857375611,0,0
"85",85,1000,0,0,0,-0.321,0.321,9718.203125,0.0876412821938114,0,0
"86",86,1000,0,0,0,-0.409,0.409,9746.375,0.0785405071119357,0,0
"87",87,1000,0,0,0,-0.191,0.191,9665.8125,0.0668275478002599,0,0
"88",88,1000,0,0,0,-0.137,0.137,9643.515625,0.0693624418586441,0,0
"89",89,1000,0,0,0,-0.937,0.937,9945.375,0.115194346289753,0,0
"90",90,1000,0,0,0,-0.86,0.86,9909.6875,0.132551115241636,0,0
"91",91,1000,0,0,0,-0.401,0.401,9741.84375,0.0658813263525305,0,0
"92",92,1000,0,0,0,0.246,0.246,9461.71875,0.0620204603580563,0,0
"93",93,1000,0,0,0,-0.761,0.761,9868.1875,0.0630829651448208,0,0
"94",94,1000,0,0,0,-0.348,0.348,9728.75,0.10318417561211,0,0
"95",95,1000,0,0,0,-0.078,0.078,9510.1875,0.0762056850846375,0,0
"96",96,1000,0,0,0,-0.045,0.045,9615.4375,0.0921754407981427,0,0
"97",97,1000,0,0,0,0.077,0.077,9582.46875,0.0774383372981094,0,0
"98",98,1000,0,0,0,-0.003,0.003,9611.0078125,0.0859638178415471,0,0
"99",99,1000,0,0,0,0.171,0.171,9489.125,0.135447548887491,0,0
"100",100,1000,0,0,0,-0.128,0.128,9642.5625,0.06439358261907,0,0
"101",1,1000,0.1,0,0,-0.302,0.302,9702,0.0948860882210373,2,0
"102",2,1000,0.1,0,0,-0.131,0.131,9567.875,0.0452850632588674,3,0
"103",3,1000,0.1,0,0,-0.26,0.26,9680.71875,0.0801173972773823,4,0
"104",4,1000,0.1,0,0,-0.391,0.391,9736.3125,0.11303615472538,0,0
"105",5,1000,0.1,0,0,-0.074,0.074,9640.8125,0.103238373508644,5,0
"106",6,1000,0.1,0,0,-0.356,0.356,9718.390625,0.0881952186300012,6,0
"107",7,1000,0.1,0,0,-0.517,0.517,9639.71875,0.0817123033081402,7,0
"108",8,1000,0.1,0,0,-0.282,0.282,9708.5,0.0706403142340545,2,0
"109",9,1000,0.1,0,0,-0.11,0.11,9641.1875,0.159331245938442,6,0
"110",10,1000,0.1,0,0,-0.934,0.934,9951.25,0.099009900990099,7,0
"111",11,1000,0.1,0,0,0.174,0.174,9524.828125,0.0798554680720135,4,0
"112",12,1000,0.1,0,0,-0.751,0.751,9871.75,0.0556033952515685,0,0
"113",13,1000,0.1,0,0,-0.131,0.131,9653.6875,0.146554823247454,3,0
"114",14,1000,0.1,0,0,0.204,0.204,9469.71875,0.0919409041912371,6,0
"115",15,1000,0.1,0,0,-0.44,0.44,9754.125,0.109614206981017,1,0
"116",16,1000,0.1,0,0,-0.908,0.908,9926.625,0.151767151767152,3,0
"117",17,1000,0.1,0,0,-0.0590000000000001,0.0590000000000001,9626.46875,0.116961217476681,5,0
"118",18,1000,0.1,0,0,-0.537,0.537,9796.0625,0.0711767566253343,3,0
"119",19,1000,0.1,0,0,-0.148,0.148,9647.40625,0.113684210526316,1,0
"120",20,1000,0.1,0,0,-0.644,0.644,9828.6875,0.139239022102363,2,0
"121",21,1000,0.1,0,1,-0.979,0.979,9990,0.109485606418122,2,0
"122",22,1000,0.1,0,0,0.169,0.169,9501.78125,0.123460629431521,5,0
"123",23,1000,0.1,0,0,-0.199,0.199,9674.53125,0.0534971644612476,5,0
"124",24,1000,0.1,0,0,0.166,0.166,9563.125,0.126341613002147,4,0
"125",25,1000,0.1,0,0,0.089,0.089,9519.25,0.0798773084542143,4,0
"126",26,1000,0.1,0,0,-0.708,0.708,9855.6875,0.084679152594412,6,0
"127",27,1000,0.1,0,0,-0.92,0.92,9934,0.0383004926108374,5,0
"128",28,1000,0.1,0,0,-0.175,0.175,9620.46875,0.152152701548969,5,0
"129",29,1000,0.1,0,0,-0.231,0.231,9686,0.121933793760419,5,0
"130",30,1000,0.1,0,0,0.19,0.19,9527.53125,0.138473451663352,5,0
"131",31,1000,0.1,0,0,-0.614,0.614,9815.5,0.0902228174844758,4,0
"132",32,1000,0.1,0,0,-0.348,0.348,9720.625,0.0812538414259373,0,0
"133",33,1000,0.1,0,0,-0.01,0.01,9463.765625,0.079066265060241,1,0
"134",34,1000,0.1,0,1,-0.971,0.971,9987.78125,0.0980531813865147,0,0
"135",35,1000,0.1,0,1,-0.945,0.945,9977.125,0.0911942098914355,2,0
"136",36,1000,0.1,0,0,-0.413,0.413,9764.1875,0.0927879308230099,1,0
"137",37,1000,0.1,0,0,-0.192,0.192,9650.0625,0.0917261758187639,5,0
"138",38,1000,0.1,0,0,0.032,0.032,9585,0.0661255819806216,2,0
"139",39,1000,0.1,0,0,-0.069,0.069,9618.59375,0.0842000990589401,3,0
"140",40,1000,0.1,0,0,-0.931,0.931,9933.8125,0.0823529411764706,1,0
"141",41,1000,0.1,0,0,-0.213,0.213,9675.0625,0.0852436427408243,3,0
"142",42,1000,0.1,0,0,-0.302,0.302,9564.078125,0.0961858670110954,6,0
"143",43,1000,0.1,0,0,-0.072,0.072,9644.59375,0.0682784440637096,5,0
"144",44,1000,0.1,0,0,-0.054,0.054,9604.375,0.0849097562488371,3,0
"145",45,1000,0.1,0,0,0.183,0.183,9519.96875,0.139450367923112,4,0
