"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","overK"
"1",1,1000,0,0,1,-0.942,0.942,9976,0.120961157121194,0,0
"2",2,1000,0,0,1,-0.957,0.957,9981.875,0.0636231180184556,0,0
"3",3,1000,0,0,1,-0.961,0.961,9982.75,0.08125,0,0
"4",4,1000,0,0,1,-0.975,0.975,9990.25,0.1189111747851,0,0
"5",5,1000,0,0,1,-0.945,0.945,9976.375,0.145987111892209,0,0
"6",6,1000,0,0,1,-0.989,0.989,9995.25,0.0830945558739255,0,0
"7",7,1000,0,0,1,-0.988,0.988,9994.25,0.061609084319884,0,0
"8",8,1000,0,0,1,-0.96,0.96,9982.625,0.097330498464446,0,0
"9",9,1000,0,0,1,-0.918,0.918,9962,0.0594277329420396,0,0
"10",10,1000,0,0,1,-0.959,0.959,9980.75,0.100023872045834,0,0
"11",11,1000,0,0,1,-0.943,0.943,9973.25,0.0554205153135634,0,0
"12",12,1000,0,0,0,-0.87,0.87,9913.25,0.0512946373788195,0,0
"13",13,1000,0,0,1,-0.964,0.964,9984.25,0.126828692779613,0,0
"14",14,1000,0,0,1,-0.961,0.961,9983,0.0815347721822542,0,0
"15",15,1000,0,0,1,-0.938,0.938,9973.4375,0.0859073359073359,0,0
"16",16,1000,0,0,0,-0.571,0.571,9817.25,0.0599478714161599,0,0
"17",17,1000,0,0,1,-0.944,0.944,9975,0.120626151012891,0,0
"18",18,1000,0,0,1,-0.964,0.964,9983.875,0.0705066921606119,0,0
"19",19,1000,0,0,1,-0.987,0.987,9994.375,0.0568431324713345,0,0
"20",20,1000,0,0,1,-0.976,0.976,9990.375,0.100569701197535,0,0
"21",21,1000,0,0,0,-0.506,0.506,9782.5625,0.0967238689547582,0,0
"22",22,1000,0,0,1,-0.989,0.989,9994.75,0.0613437195715677,0,0
"23",23,1000,0,0,1,-0.947,0.947,9975.25,0.089405560882071,0,0
"24",24,1000,0,0,1,-0.966,0.966,9985.75,0.0982936794039894,0,0
"25",25,1000,0,0,0,-0.55,0.55,9807.125,0.0848848603625674,0,0
"26",26,1000,0,0,1,-0.981,0.981,9992.1875,0.0651524208009564,0,0
"27",27,1000,0,0,1,-0.935,0.935,9970.875,0.0705004812319538,0,0
"28",28,1000,0,0,1,-0.956,0.956,9980.25,0.113023255813953,0,0
"29",29,1000,0,0,1,-0.953,0.953,9979.125,0.0828715972054927,0,0
"30",30,1000,0,0,1,-0.978,0.978,9989.75,0.0836672165920339,0,0
"31",31,1000,0,0,1,-0.946,0.946,9976,0.0784077201447527,0,0
"32",32,1000,0,0,1,-0.988,0.988,9994.25,0.106884930187771,0,0
"33",33,1000,0,0,1,-0.979,0.979,9990.875,0.0482488366397257,0,0
"34",34,1000,0,0,1,-0.987,0.987,9994.25,0.0673076923076923,0,0
"35",35,1000,0,0,1,-0.973,0.973,9988.875,0.0896351775791254,0,0
"36",36,1000,0,0,1,-0.964,0.964,9984,0.0900428775607432,0,0
"37",37,1000,0,0,1,-0.958,0.958,9981.5,0.101060070671378,0,0
"38",38,1000,0,0,1,-0.985,0.985,9992.5,0.115729806329712,0,0
"39",39,1000,0,0,1,-0.955,0.955,9980.8125,0.0571498054474708,0,0
"40",40,1000,0,0,1,-0.99,0.99,9995.875,0.127465127465127,0,0
"41",41,1000,0,0,1,-0.968,0.968,9987.5,0.0962971868237557,0,0
"42",42,1000,0,0,1,-0.958,0.958,9981.625,0.0778471888515137,0,0
"43",43,1000,0,0,1,-0.978,0.978,9990.375,0.0896501457725948,0,0
"44",44,1000,0,0,1,-0.973,0.973,9988.5,0.0473517207712961,0,0
"45",45,1000,0,0,1,-0.955,0.955,9980,0.104191055958792,0,0
"46",46,1000,0,0,1,-0.94,0.94,9972.25,0.0694174757281553,0,0
"47",47,1000,0,0,1,-0.941,0.941,9973.125,0.0793187347931874,0,0
