"","rep","scar","at","bb","extinct","act_dev","final yield","max_diff_yield","inac_ts"
"1",1,0,0,0,0,0.0620000000000001,9548.3125,0.1,0
"2",2,0,0,0,0,0.097,9530.015625,0.2,0
"3",3,0,0,0,0,0.0409999999999999,9552.6875,0.1,0
"4",4,0,0,0,0,-0.326,9709.78125,0.1,0
"5",5,0,0,0,0,0.00299999999999989,9571.40625,0.1,0
"6",6,0,0,0,0,0.135,9512.9375,0.1,0
"7",7,0,0,0,0,-0.387,9732.96875,0.1,0
"8",8,0,0,0,0,0.346,9429.859375,0.1,0
"9",9,0,0,0,0,-0.314,9701.578125,0.1,0
"10",10,0,0,0,0,-0.29,9688.96875,0.1,0
"11",11,0,0,0,0,-0.124,9620.5625,0.1,0
"12",12,0,0,0,0,0.394,9409.9375,0.1,0
"13",13,0,0,0,0,-0.191,9651.53125,0.1,0
"14",14,0,0,0,0,0.239,9469.796875,0.1,0
"15",15,0,0,0,0,-0.273,9687.25,0,0
"16",16,0,0,0,1,-0.955,9980.375,0.1,0
"17",17,0,0,0,0,-0.478,9774,0.1,0
"18",18,0,0,0,0,-0.033,9588.46875,0.1,0
"19",19,0,0,0,0,-0.214,9657.25,0.1,0
"20",20,0,0,0,0,-0.838,9930.625,0.1,0
"21",21,0,0,0,0,0.216,9479.59375,0.1,0
"22",22,0,0,0,0,-0.17,9635.8125,0.1,0
"23",23,0,0,0,0,0.1,9526.0625,0.1,0
"24",24,0,0,0,0,-0.047,9590.359375,0.1,0
"25",25,0,0,0,0,-0.656,9848.5,0.1,0
"26",26,0,0,0,0,-0.565,9813.5625,0.1,0
"27",27,0,0,0,0,-0.081,9602.75,0.1,0
"28",28,0,0,0,0,-0.00700000000000001,9568.265625,0.1,0
"29",29,0,0,0,0,-0.403,9737.4375,0.1,0
"30",30,0,0,0,0,0.258,9461.25,0.1,0
"31",31,0,0,0,1,-0.951,9977.25,0.1,0
"32",32,0,0,0,0,-0.018,9583.91015625,0.1,0
"33",33,0,0,0,0,-0.454,9761.875,0.1,0
"34",34,0,0,0,0,-0.053,9601.125,0.1,0
