"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts"
"1",1,100,0,0,1,-0.878,0.878,9945.875,0.0925594171742506,0
"2",2,100,0,0,1,-0.848,0.848,9932.5,0.12829834642899,0
"3",3,100,0,0,1,-0.875,0.875,9945.75,0.0782442748091603,0
"4",4,100,0,0,1,-0.862,0.862,9939.125,0.111271502466017,0
"5",5,100,0,0,1,-0.983,0.983,9992.5,0.0788461538461538,0
"6",6,100,0,0,1,-0.91,0.91,9959,0.0752895752895753,0
"7",7,100,0,0,1,-0.72,0.72,9876.375,0.135516555093179,0
"8",8,100,0,0,1,-0.862,0.862,9941.0625,0.11791221826809,0
"9",9,100,0,0,1,-0.876,0.876,9945.125,0.0859412614347617,0
"10",10,100,0,0,1,-0.898,0.898,9955.875,0.0627122755943717,0
"11",11,100,0,0,1,-0.835,0.835,9930.125,0.110780934268394,0
"12",12,100,0,0,1,-0.905,0.905,9956.9375,0.0909528392685274,0
"13",13,100,0,0,1,-0.814,0.814,9920.125,0.08318329132157,0
"14",14,100,0,0,1,-0.972,0.972,9988.25,0.079731027857829,0
"15",15,100,0,0,1,-0.986,0.986,9993.5,0.0487329434697856,0
"16",16,100,0,0,1,-0.829,0.829,9924.40625,0.0995880785073904,0
"17",17,100,0,0,1,-0.842,0.842,9932.0625,0.0923926085913127,0
"18",18,100,0,0,1,-0.889,0.889,9950.375,0.0806137359961033,0
"19",19,100,0,0,1,-0.886,0.886,9950.25,0.104102074886716,0
"20",20,100,0,0,1,-0.878,0.878,9947.75,0.0596758349705305,0
"21",21,100,0,0,1,-0.917,0.917,9962.875,0.0965761511216057,0
"22",22,100,0,0,1,-0.978,0.978,9990.625,0.101763584366063,0
"23",23,100,0,0,1,-0.864,0.864,9940.25,0.104117368670137,0
"24",24,100,0,0,1,-0.88,0.88,9948,0.104406130268199,0
"25",25,100,0,0,1,-0.923,0.923,9965.5,0.0605839416058394,0
"26",26,100,0,0,1,-0.843,0.843,9929.25,0.10354609929078,0
"27",27,100,0,0,1,-0.863,0.863,9939.875,0.100619933237959,0
"28",28,100,0,0,1,-0.85,0.85,9935.6875,0.0972022955523673,0
"29",29,100,0,0,1,-0.89,0.89,9952.375,0.154798761609907,0
"30",30,100,0,0,1,-0.879,0.879,9946.3125,0.105380490450081,0
"31",31,100,0,0,1,-0.902,0.902,9958,0.13322329639236,0
"32",32,100,0,0,1,-0.972,0.972,9988.0625,0.0927687916270219,0
"33",33,100,0,0,1,-0.879,0.879,9948.75,0.124214933705513,0
"34",34,100,0,0,1,-0.949,0.949,9976.75,0.0973621103117506,0
"35",35,100,0,0,1,-0.865,0.865,9941.1875,0.138369920597851,0
"36",36,100,0,0,1,-0.864,0.864,9941.3125,0.0828999879066393,0
"37",37,100,0,0,1,-0.843,0.843,9933.4375,0.139580451821116,0
"38",38,100,0,0,1,-0.896,0.896,9954.9375,0.126117419666586,0
"39",39,100,0,0,1,-0.835,0.835,9930.0625,0.0884522370012092,0
"40",40,100,0,0,1,-0.894,0.894,9953.5,0.0784172661870504,0
"41",41,100,0,0,1,-0.856,0.856,9937.125,0.0949096098953378,0
"42",42,100,0,0,1,-0.984,0.984,9992.5,0.0916824196597354,0
"43",43,100,0,0,1,-0.908,0.908,9959.25,0.0934601664684899,0
"44",44,100,0,0,1,-0.837,0.837,9928.3125,0.130856601987695,0
"45",45,100,0,0,1,-0.858,0.858,9938,0.0905058738911532,0
"46",46,100,0,0,1,-0.863,0.863,9940.375,0.07269287109375,0
"47",47,100,0,0,1,-0.853,0.853,9937.15625,0.103870608573354,0
"48",48,100,0,0,1,-0.851,0.851,9934.4375,0.103757976837627,0
"49",49,100,0,0,1,-0.879,0.879,9946,0.0946915351506456,0
"50",50,100,0,0,1,-0.861,0.861,9938.4375,0.0987884997890423,0
"51",51,100,0,0,1,-0.89,0.89,9952.3125,0.0897420515896821,0
"52",52,100,0,0,1,-0.862,0.862,9940.1875,0.0712732544092776,0
"53",53,100,0,0,1,-0.852,0.852,9936.5,0.103196456362983,0
"54",54,100,0,0,1,-0.871,0.871,9944.375,0.106803044719315,0
"55",55,100,0,0,1,-0.81,0.81,9914.125,0.0757538910505837,0
"56",56,100,0,0,1,-0.961,0.961,9981.75,0.0829756795422032,0
"57",57,100,0,0,1,-0.909,0.909,9958.5,0.107625482625483,0
"58",58,100,0,0,1,-0.56,0.56,9809.4375,0.0914551083591331,0
"59",59,100,0,0,1,-0.84,0.84,9930.4375,0.115251981366084,0
"60",60,100,0,0,1,-0.86,0.86,9938.25,0.0441571114906075,0
"61",61,100,0,0,1,-0.869,0.869,9941.75,0.140018810251587,0
"62",62,100,0,0,1,-0.93,0.93,9968.125,0.118826979472141,0
"63",63,100,0,0,1,-0.91,0.91,9960.625,0.087205146533238,0
"64",64,100,0,0,1,-0.911,0.911,9960.5,0.110271546635183,0
"65",65,100,0,0,1,-0.954,0.954,9980.5625,0.111296076099881,0
"66",66,100,0,0,1,-0.888,0.888,9952.8125,0.10936943355896,0
"67",67,100,0,0,1,-0.754,0.754,9893.125,0.0885178957482585,0
"68",68,100,0,0,1,-0.878,0.878,9948,0.131474103585657,0
"69",69,100,0,0,1,-0.869,0.869,9941.125,0.0901688420548437,0
"70",70,100,0,0,1,-0.887,0.887,9948.375,0.112404942965779,0
"71",71,100,0,0,1,-0.845,0.845,9931,0.10884030418251,0
"72",72,100,0,0,1,-0.883,0.883,9946.75,0.102585790236829,0
"73",73,100,0,0,1,-0.981,0.981,9991.5,0.0626966836117163,0
"74",74,100,0,0,1,-0.762,0.762,9895.34375,0.0863077110488488,0
"75",75,100,0,0,1,-0.872,0.872,9943.5,0.0821078431372549,0
"76",76,100,0,0,1,-0.975,0.975,9988.875,0.0841750841750842,0
"77",77,100,0,0,1,-0.836,0.836,9927.25,0.101404056162246,0
"78",78,100,0,0,1,-0.864,0.864,9937,0.152891594474362,0
