"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","overK"
"1",1,1000,0,0,0,0.321,0.321,9439.21875,0.0309578753862401,0,0
"2",2,1000,0,0,0,0.249,0.249,9463.125,0.00282277212050863,0,0
"3",3,1000,0,0,0,0.227,0.227,9486.3125,0.00597756115504874,0,0
"4",4,1000,0,0,0,0.614,0.614,9349.875,0.0382519752155526,0,2
"5",5,1000,0,0,0,0.465,0.465,9479.0625,0.0276094363669467,0,0
"6",6,1000,0,0,0,0.503,0.503,9383.375,0.0119441722503244,0,1
"7",7,1000,0,0,0,0.286,0.286,9522.6875,0.0123021929996217,0,0
"8",8,1000,0,0,0,0.594,0.594,9411.90625,0.0276939196489964,0,1
"9",9,1000,0,0,0,0.251,0.251,9469.09375,0.00511540943026058,0,0
"10",10,1000,0,0,0,0.163,0.163,9511.09375,0.00331299612937086,0,0
"11",1,1000,0.25,0,0,0.262,0.262,9467.078125,0.0120251067166701,3,0
"12",2,1000,0.25,0,0,0.00600000000000001,0.00600000000000001,9555.078125,0.00337274184648637,2,0
"13",3,1000,0.25,0,0,0.546,0.546,9371.5078125,0.0171399478644078,2,1
"14",4,1000,0.25,0,0,0.402,0.402,9424.265625,0.0229612657705053,2,0
"15",5,1000,0.25,0,0,0.42,0.42,9400.65625,0.00525837660055568,6,0
"16",6,1000,0.25,0,0,0.554,0.554,9376.921875,0.0206698659278682,5,1
"17",7,1000,0.25,0,0,0.354,0.354,9429.90625,0.0297409177570582,2,0
"18",8,1000,0.25,0,0,0.505,0.505,9348.09375,0.0332870921295718,4,3
"19",9,1000,0.25,0,0,0.487,0.487,9396.96875,0.000525297391466245,2,0
"20",10,1000,0.25,0,0,0.463,0.463,9390.0625,0.00803463111629664,5,0
"21",1,1000,0.25,0.25,0,0.264,0.264,9480.71875,0.0217205605221803,5,0
"22",2,1000,0.25,0.25,0,0.0900000000000001,0.0900000000000001,9602.59375,0.0263151133663048,4,0
"23",3,1000,0.25,0.25,0,0.0960000000000001,0.0960000000000001,9527.59375,0.0303825108370534,2,0
"24",4,1000,0.25,0.25,0,0.121,0.121,9527.53125,0.00507106027691261,5,0
"25",5,1000,0.25,0.25,0,0.533,0.533,9435.28125,0.000854140595514769,4,1
"26",6,1000,0.25,0.25,0,0.235,0.235,9530.4375,0.0333139872315728,5,0
"27",7,1000,0.25,0.25,0,0.169,0.169,9485.953125,0.0123527928836389,3,0
"28",8,1000,0.25,0.25,0,0.527,0.527,9370.703125,0.0156143497164336,4,1
"29",9,1000,0.25,0.25,0,0.307,0.307,9449.03125,0.0136575047298718,3,0
"30",10,1000,0.25,0.25,0,0.451,0.451,9389.3125,0.0230685212722559,2,0
"31",1,1000,0.25,0.5,0,0.742,0.742,9392.703125,0.00815448795050978,4,1
"32",2,1000,0.25,0.5,0,0.401,0.401,9420.71875,0.0279006175423906,5,0
"33",3,1000,0.25,0.5,0,0.05,0.05,9544.9375,0.00909938272812009,3,0
"34",4,1000,0.25,0.5,0,0.549,0.549,9362.375,0.0183877027277297,5,1
"35",5,1000,0.25,0.5,0,0.686,0.686,9257.0625,0.00860486847324088,4,2
"36",6,1000,0.25,0.5,0,0.299,0.299,9458.453125,0.0115527758524976,3,0
"37",7,1000,0.25,0.5,0,0.588,0.588,9356.46875,0.0358124553082338,3,1
"38",8,1000,0.25,0.5,0,0.137,0.137,9489.375,0.00698336855646421,4,0
"39",9,1000,0.25,0.5,0,0.44,0.44,9391.125,0.00313633766130211,3,0
"40",10,1000,0.25,0.5,0,0.116,0.116,9516.90625,0.0337351420104208,4,0
