"","budget","at","bb","extinct","","","","","","","","","","","","","","","","","","","",""
"1",1000,0,0,0,47,110,109,110,110,109,110,110,109,110,110,110,110,110,110,110,109,110,110,110
"2",1000,0,0,0,65,110,110,110,110,109,40,36,110,110,109,57,110,110,81,110,110,110,67,110
"3",1000,0,0,0,64,110,110,110,110,110,110,110,102,110,50,26,109,23,110,110,31,110,109,36
"4",1000,0,0,0,65,110,110,110,109,110,109,110,40,27,110,109,110,57,40,110,102,62,16,110
"5",1000,0,0,0,42,110,110,110,110,110,109,110,109,110,109,110,110,109,110,109,110,110,109,110
"6",1000,0,0,0,64,110,110,110,110,81,110,110,110,110,110,110,110,110,110,110,109,21,110,110
"7",1000,0,0,0,59,110,109,110,110,110,110,110,110,25,109,67,110,67,48,110,45,110,110,50
"8",1000,0,0,0,60,110,110,110,81,110,110,29,44,65,110,110,110,110,31,36,110,110,110,17
"9",1000,0,0,0,60,110,110,109,110,57,110,110,109,110,109,110,24,33,110,109,110,45,101,26
"10",1000,0,0,0,56,109,110,110,110,110,110,110,110,110,67,63,18,17,110,110,110,109,110,110
"11",1000,0.1,0,0,62,110,110,109,110,110,110,110,110,110,110,110,109,109,109,23,30,50,110,110
"12",1000,0.1,0,0,59,110,110,110,110,110,109,110,110,109,110,109,33,14,110,110,110,110,110,109
"13",1000,0.1,0,0,61,110,110,110,110,110,110,109,110,110,110,110,14,110,110,110,110,109,110,110
"14",1000,0.1,0,1,63,110,110,110,110,110,110,109,20,20,110,110,110,110,110,110,110,110,0,0
"15",1000,0.1,0,0,53,110,110,109,110,110,109,110,109,110,110,110,110,110,110,18,110,109,110,109
"16",1000,0.1,0,0,57,57,110,109,110,110,110,110,110,110,110,110,110,110,81,36,43,49,80,78
"17",1000,0.1,0,0,70,110,110,110,110,110,45,45,67,67,38,38,109,109,28,13,110,110,110,110
"18",1000,0.1,0,0,63,110,110,110,110,110,110,110,110,109,109,109,110,110,18,18,110,109,110,110
"19",1000,0.1,0,0,63,63,110,110,110,110,109,110,110,109,110,109,110,109,110,110,81,109,109,109
"20",1000,0.1,0,0,46,110,110,110,110,110,109,110,110,36,110,21,110,110,110,110,81,33,110,110
"21",1000,0.1,0.1,0,64,110,110,110,110,110,36,56,110,110,110,110,50,110,20,110,110,109,110,110
"22",1000,0.1,0.1,0,64,110,110,110,110,110,110,110,67,110,110,110,57,32,32,120,110,110,110,110
"23",1000,0.1,0.1,0,66,110,110,110,110,110,57,30,110,109,110,109,110,110,120,110,31,31,120,110
"24",1000,0.1,0.1,0,61,110,110,110,110,110,110,110,120,120,120,120,120,120,79,10,110,110,110,120
"25",1000,0.1,0.1,0,62,110,110,110,110,120,120,119,110,110,20,110,110,120,30,110,30,110,19,19
"26",1000,0.1,0.1,0,62,62,120,110,110,110,110,110,109,109,57,56,56,56,130,62,62,62,130,31
"27",1000,0.1,0.1,0,59,110,110,120,110,110,110,110,120,65,79,38,38,38,38,140,110,110,110,81
"28",1000,0.1,0.1,0,59,110,110,45,45,120,110,110,110,110,110,110,110,110,109,110,110,110,110,110
"29",1000,0.1,0.1,0,63,110,109,110,110,110,110,110,110,110,110,110,120,110,110,120,79,79,79,79
"30",1000,0.1,0.1,0,54,110,109,110,109,109,109,80,80,120,110,109,109,109,67,38,38,120,120,11
"31",1000,0.1,0.2,0,56,110,110,110,110,110,110,110,110,109,110,110,110,110,110,109,110,109,110,110
"32",1000,0.1,0.2,0,54,110,110,110,110,109,109,57,16,16,130,110,110,110,130,130,15,109,110,110
"33",1000,0.1,0.2,0,60,110,110,110,109,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
"34",1000,0.1,0.2,0,63,110,110,110,110,110,109,109,109,109,57,110,109,36,26,25,110,110,110,110
"35",1000,0.1,0.2,0,67,110,110,110,109,109,130,110,110,16,110,110,110,109,110,110,110,109,110,109
"36",1000,0.1,0.2,0,74,74,130,110,110,110,130,26,110,110,110,110,150,110,110,130,13,110,110,110
"37",1000,0.1,0.2,0,55,110,109,110,109,57,110,109,57,79,110,81,110,40,40,40,150,110,110,110
"38",1000,0.1,0.2,0,63,110,110,109,110,109,110,110,67,67,42,39,110,40,31,33,11,110,110,130
"39",1000,0.1,0.2,0,51,110,110,110,110,130,41,110,110,27,27,27,150,110,110,109,110,109,110,110
"40",1000,0.1,0.2,0,69,69,130,110,110,110,109,110,110,110,110,110,110,110,58,110,109,67,67,130
"41",1000,0.1,0.3,1,64,110,110,110,110,110,110,110,16,110,110,110,110,110,110,110,109,0,0,0
"42",1000,0.1,0.3,0,63,110,109,110,110,110,110,110,36,110,110,110,140,31,110,33,67,31,110,31
"43",1000,0.1,0.3,1,52,110,109,110,110,110,109,110,109,110,110,110,110,109,110,109,110,0,0,0
"44",1000,0.1,0.3,0,75,110,110,140,110,31,110,110,57,65,65,140,80,11,110,110,110,110,110,140
"45",1000,0.1,0.3,0,59,110,110,110,110,140,110,110,81,17,110,109,109,30,30,140,110,110,140,140
"46",1000,0.1,0.3,0,60,110,110,110,110,81,110,27,27,140,110,110,110,110,110,110,110,109,110,109
"47",1000,0.1,0.3,0,56,110,110,140,110,110,110,110,110,110,19,110,57,110,25,25,25,170,110,110
"48",1000,0.1,0.3,0,62,110,109,109,140,110,110,36,110,110,110,110,110,27,110,110,40,40,140,140
"49",1000,0.1,0.3,0,61,110,110,109,110,110,110,140,110,110,110,110,140,40,40,140,110,110,110,110
"50",1000,0.1,0.3,0,67,110,110,110,110,110,109,110,110,110,110,109,110,110,110,110,110,110,109,110
"51",1000,0.1,0.4,0,62,62,150,109,110,110,110,110,110,110,110,110,110,110,67,67,67,67,228,54
"52",1000,0.1,0.4,0,76,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,50,67,67
"53",1000,0.1,0.4,0,60,60,149,110,110,110,110,110,150,110,110,109,110,110,110,189,110,110,150,52
"54",1000,0.1,0.4,0,61,110,81,110,110,110,110,150,110,110,110,110,150,16,110,110,110,109,110,110
"55",1000,0.1,0.4,0,68,110,110,110,109,110,110,110,110,40,110,110,110,110,110,110,150,110,110,31
"56",1000,0.1,0.4,0,52,110,110,110,110,109,110,110,110,110,110,110,110,110,110,109,110,110,110,110
"57",1000,0.1,0.4,0,51,110,109,110,110,110,110,110,31,110,110,150,16,110,110,110,150,150,18,18
"58",1000,0.1,0.4,0,49,110,110,150,110,110,40,40,150,41,41,150,110,110,110,110,27,27,150,110
"59",1000,0.1,0.4,0,66,110,110,110,110,150,23,109,110,110,150,150,19,110,110,110,110,150,150,46
"60",1000,0.1,0.4,0,59,110,110,109,110,109,110,110,110,110,110,109,110,109,109,19,110,110,110,109
"61",1000,0.1,0.5,1,61,110,110,110,110,110,160,43,18,18,160,110,110,0,0,0,0,0,0,0
"62",1000,0.1,0.5,0,59,59,159,110,110,29,110,110,110,110,110,33,80,56,56,48,32,32,32,210
"63",1000,0.1,0.5,1,60,110,109,109,160,160,160,33,110,20,20,160,110,110,110,110,110,110,110,0
"64",1000,0.1,0.5,0,58,110,110,110,109,110,110,110,110,110,110,110,110,160,110,110,110,45,110,110
"65",1000,0.1,0.5,0,67,110,110,160,160,160,160,19,19,160,110,110,110,110,110,110,110,110,110,110
"66",1000,0.1,0.5,0,67,110,110,109,110,110,110,110,110,110,110,110,110,110,81,81,66,110,110,110
"67",1000,0.1,0.5,0,39,110,109,110,110,109,110,110,109,110,110,110,110,110,110,110,109,110,110,110
"68",1000,0.1,0.5,0,73,73,160,110,110,110,110,29,110,81,81,81,33,110,110,110,110,110,109,36
"69",1000,0.1,0.5,0,54,110,110,110,110,67,76,110,109,110,109,110,50,110,110,110,159,159,159,20
"70",1000,0.1,0.5,0,59,110,110,110,110,21,110,109,110,110,110,110,110,110,110,110,110,110,109,110
"71",1000,0.1,0.6,0,51,110,110,110,110,110,110,110,170,110,67,63,110,57,66,66,50,50,28,110
"72",1000,0.1,0.6,0,58,110,109,110,110,110,81,110,25,25,24,110,109,110,110,109,110,110,110,110
"73",1000,0.1,0.6,0,50,110,109,110,110,110,170,170,170,32,110,14,110,109,110,110,109,110,110,110
"74",1000,0.1,0.6,0,61,110,110,110,109,110,110,33,110,29,36,110,110,110,110,19,33,67,67,16
"75",1000,0.1,0.6,0,53,110,110,109,110,110,110,110,110,110,110,110,110,110,110,109,110,110,110,110
"76",1000,0.1,0.6,0,59,110,110,109,109,50,50,170,29,110,110,110,110,110,170,170,58,40,81,49
"77",1000,0.1,0.6,1,44,44,170,110,110,110,109,110,110,110,110,110,110,110,0,0,0,0,0,0
"78",1000,0.1,0.6,0,64,110,110,110,110,110,109,110,109,110,110,110,110,110,110,110,110,110,110,110
"79",1000,0.1,0.6,0,42,110,110,109,110,109,110,110,110,170,110,110,110,110,110,110,110,110,110,110
"80",1000,0.1,0.6,0,71,110,109,109,170,170,16,110,110,110,24,110,110,110,110,110,110,110,109,110
"81",1000,0.1,0.7,0,70,70,180,110,110,110,110,110,110,27,110,109,110,50,50,180,62,62,180,37
"82",1000,0.1,0.7,0,60,110,109,110,110,110,110,110,110,27,110,110,24,24,180,110,110,179,110,110
