"","budget","at","bb","extinct","","","","","","","","","","","","","","","","","","","",""
"1",1000,0,0,0,775,648,610,578,573,617,603,587,586,578,582,578,575,584,585,587,584,579,576,582
"2",1000,0,0,0,778,704,719,730,750,868,930,819,651,693,736,776,720,757,803,815,857,917,987,1009
"3",1000,0,0,0,746,656,650,659,683,783,824,895,976,1065,1182,1213,1037,1158,889,989,1088,944,1028,1136
"4",1000,0,0,0,793,736,744,774,833,960,1038,1123,1216,1126,882,962,1060,1136,1140,1051,1140,1227,1240,718
"5",1000,0,0,0,768,620,593,554,541,583,562,540,531,526,524,517,500,505,500,494,494,495,488,479
"6",1000,0,0,0,753,685,655,641,643,710,665,662,664,677,694,702,711,722,740,773,808,872,473,475
"7",1000,0,0,0,776,685,702,716,737,849,920,979,1031,1096,831,897,896,957,963,898,954,872,944,1009
"8",1000,0,0,0,778,696,720,764,814,911,974,1050,847,763,751,804,874,962,1041,873,739,796,849,914
"9",1000,0,0,0,781,720,734,749,789,903,839,886,923,981,1054,1165,1278,1028,865,904,972,1048,991,1074
"10",1000,0,0,0,786,705,705,731,786,920,971,1022,1082,1183,1323,1410,1516,1162,719,765,821,890,938,995
"11",1000,0.1,0,0,757,670,648,633,638,713,722,731,766,821,888,968,1048,1119,1196,1321,1076,875,811,881
"12",1000,0.1,0,0,761,664,659,645,667,744,768,813,886,989,1086,1208,1344,1253,643,660,679,709,740,781
"13",1000,0.1,0,0,774,687,684,691,698,784,815,842,883,938,982,1046,1106,463,447,427,395,359,320,260
"14",1000,0.1,0,1,785,704,723,767,776,893,973,1093,1205,829,394,361,312,243,181,103,24,0,0,0
"15",1000,0.1,0,0,762,648,625,611,611,673,681,699,724,747,794,838,896,953,1012,1067,586,592,598,598
"16",1000,0.1,0,0,794,696,613,608,598,655,671,715,765,810,864,937,1010,1109,1237,1318,1260,1226,1218,1268
"17",1000,0.1,0,0,807,745,782,817,853,992,1091,1056,1031,1111,1176,1126,1040,1186,1350,1225,555,548,540,535
"18",1000,0.1,0,0,768,681,668,670,689,780,792,821,847,884,947,1015,1118,1233,1367,960,487,458,427,392
"19",1000,0.1,0,0,758,692,608,585,588,654,651,642,645,651,652,652,664,679,696,706,727,722,749,790
"20",1000,0.1,0,0,794,660,656,660,676,772,817,885,978,1080,978,1083,737,779,827,901,995,1058,910,998
"21",1000,0.1,0.1,0,780,725,724,745,777,897,965,822,785,846,920,1014,1083,986,1054,645,666,676,702,755
"22",1000,0.1,0.1,0,781,671,685,664,671,748,757,786,818,801,845,896,973,963,784,547,586,611,635,662
"23",1000,0.1,0.1,0,789,705,706,721,749,870,913,871,641,650,669,696,730,771,822,896,950,757,526,536
"24",1000,0.1,0.1,0,780,678,677,680,702,801,803,820,839,883,934,1023,1136,1294,1464,1641,721,743,765,788
"25",1000,0.1,0.1,0,754,663,675,687,707,807,836,903,1002,1107,1241,895,988,1112,1264,1129,1268,1120,1261,900
"26",1000,0.1,0.1,0,780,711,625,649,651,725,764,801,853,905,969,947,924,876,826,912,879,856,828,913
"27",1000,0.1,0.1,0,766,687,690,697,725,832,880,939,1035,1131,1148,1215,1133,1006,886,750,823,897,972,1073
"28",1000,0.1,0.1,0,794,737,746,766,656,562,570,556,542,522,504,499,472,455,421,380,349,314,270,208
"29",1000,0.1,0.1,0,773,680,677,666,657,737,746,741,738,740,749,751,765,793,825,877,969,1001,1046,1096
"30",1000,0.1,0.1,0,775,684,676,670,689,793,833,881,885,896,959,1019,1070,1145,1253,1290,1198,1084,1158,1250
"31",1000,0.1,0.2,0,778,672,654,628,595,633,605,575,541,529,515,505,502,498,484,460,434,410,373,343
"32",1000,0.1,0.2,0,783,730,767,862,978,1188,1330,1506,1613,1139,636,682,723,796,908,1041,1184,630,657,680
"33",1000,0.1,0.2,0,745,643,614,601,592,654,635,634,644,635,638,638,628,641,630,631,629,626,633,632
"34",1000,0.1,0.2,0,774,704,680,675,672,748,774,806,871,956,1053,1070,1180,1288,1232,1005,713,742,770,815
"35",1000,0.1,0.2,0,769,708,706,708,717,815,876,958,1031,1097,570,589,596,603,620,623,623,625,625,628
"36",1000,0.1,0.2,0,799,745,721,777,811,918,951,1030,766,787,824,856,893,976,1046,1124,1283,648,704,765
"37",1000,0.1,0.2,0,783,688,704,721,759,895,841,909,957,917,936,975,993,1057,973,842,707,785,865,924
"38",1000,0.1,0.2,0,764,684,692,691,716,818,864,950,1038,1125,1266,1295,1281,1482,1530,1475,1461,703,744,792
"39",1000,0.1,0.2,0,795,700,712,752,799,936,1031,949,1028,1122,899,646,353,359,326,282,230,160,86,26
"40",1000,0.1,0.2,0,757,667,590,590,597,661,660,679,698,715,734,752,786,814,860,820,876,941,944,947
"41",1000,0.1,0.3,1,752,692,667,671,679,755,782,818,871,302,267,231,171,111,56,23,0,0,0,0
"42",1000,0.1,0.3,0,784,707,705,699,741,841,884,933,996,861,916,973,1044,1169,1041,1156,1039,1086,950,1025
"43",1000,0.1,0.3,1,740,587,544,499,476,501,469,452,428,409,366,317,271,228,161,80,4,0,0,0
"44",1000,0.1,0.3,0,760,735,745,781,859,1035,865,962,1088,1105,1141,1169,1309,1423,615,628,627,640,668,684
"45",1000,0.1,0.3,0,806,731,741,766,813,938,1036,1114,1208,1303,884,960,1041,1135,930,727,792,847,895,996
"46",1000,0.1,0.3,0,771,703,717,753,820,973,989,1056,818,552,591,593,605,610,604,607,603,590,590,596
"47",1000,0.1,0.3,0,780,702,686,687,716,807,840,910,985,1095,1241,901,997,1003,1119,889,601,231,220,152
"48",1000,0.1,0.3,0,774,692,674,682,718,842,890,964,816,862,930,1007,1080,1149,920,997,1058,944,820,896
"49",1000,0.1,0.3,0,748,612,602,607,609,693,718,731,759,762,764,772,785,839,704,518,543,537,533,520
"50",1000,0.1,0.3,0,730,612,568,531,504,537,514,516,513,510,527,527,521,505,504,508,509,524,512,512
"51",1000,0.1,0.4,0,763,667,574,609,595,668,691,717,741,777,817,839,862,890,929,929,923,930,939,1061
"52",1000,0.1,0.4,0,736,658,645,630,635,702,697,688,692,697,708,724,756,774,819,853,923,995,937,951
