"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","SumAbsDev"
"1",1,1000,0,0,0,0.233,0.233,34805.875,0.0584063412599082,0,6768486
"2",2,1000,0,0,0,-0.6985,0.6985,36339.5,0.0534019516107472,0,9763207
"3",3,1000,0,0,1,-0.973,0.973,39868.75,0.00975,0,16907307
"4",4,1000,0,0,0,-0.246,0.246,31093.65625,0.0909882371149977,0,9603075
"5",5,1000,0,0,0,0.0529999999999999,0.0529999999999999,34502.3125,0.0762156890065487,0,8101236
"6",6,1000,0,0,1,-0.983,0.983,39862.25,0.00550275137568784,0,13933719
"7",7,1000,0,0,0,0.2385,0.2385,34887.1875,0.0513017379772458,0,8574999
"8",8,1000,0,0,0,-0.296,0.296,31576.734375,0.0880826070481243,0,7995998
"9",9,1000,0,0,0,-0.2005,0.2005,36071.9375,0.0609078590785908,0,11694462
"10",10,1000,0,0,1,-0.9565,0.9565,39772.75,0.012012012012012,0,19195439
"11",11,1000,0,0,0,-0.415,0.415,39707.25,0.0122868605817452,0,7638846
"12",12,1000,0,0,0,-0.259,0.259,31283.859375,0.126312631263126,0,12692772
"13",13,1000,0,0,0,-0.279,0.279,33271.5,0.0807686750469585,0,8441765
"14",14,1000,0,0,0,0.3165,0.3165,33949.09375,0.0502361528553027,0,6747664
"15",15,1000,0,0,0,0.205,0.205,34806.375,0.0672904912618687,0,7671428
"16",16,1000,0,0,0,-0.3495,0.3495,33477.9375,0.084400257492311,0,8225355
"17",17,1000,0,0,0,-0.242,0.242,34805.125,0.0586756077116513,0,8454142
"18",18,1000,0,0,1,-0.942,0.942,39512.75,0.0163398692810458,0,19262665
"19",19,1000,0,0,0,-0.19,0.19,34108.15625,0.0917316258351893,0,8722010
"20",20,1000,0,0,1,-0.993,0.993,40000,0,0,22603681
"21",21,1000,0,0,0,0.4435,0.4435,32307.84375,0.0981080481856478,0,8463909
"22",22,1000,0,0,1,-0.9855,0.9855,39952,0.009,0,18976523
"23",23,1000,0,0,0,0.5825,0.5825,33954.8125,0.0786134543134614,0,9884784
"24",24,1000,0,0,1,-0.953,0.953,39665,0.0150375939849624,0,17660452
"25",25,1000,0,0,0,-0.958,0.958,38546.875,0.0512658227848101,0,15307782
"26",26,1000,0,0,0,-0.108,0.108,35164,0.0604972375690608,0,8938599
"27",27,1000,0,0,0,0.209,0.209,34140.109375,0.0757575757575758,0,7217151
"28",28,1000,0,0,0,-0.235,0.235,34765.8125,0.0724396336386345,0,10737745
"29",29,1000,0,0,0,0.354,0.354,34541.59375,0.0896782748272734,0,8861806
"30",30,1000,0,0,1,-0.9925,0.9925,40000,0,0,22781876
"31",31,1000,0,0,1,-0.965,0.965,39689.75,0.0142857142857143,0,18034300
"32",32,1000,0,0,0,0.15,0.15,34143.375,0.0618065433854908,0,6403480
"33",33,1000,0,0,0,-0.835,0.835,37994.875,0.0435904049522827,0,11776260
"34",34,1000,0,0,0,0.237,0.237,35051.0625,0.0648812810601877,0,7223302
"35",35,1000,0,0,0,-0.3425,0.3425,32442.40625,0.0913342101417507,0,8303320
"36",36,1000,0,0,0,0.472,0.472,34060.9375,0.0616457858769932,0,8519604
"37",37,1000,0,0,0,-0.438,0.438,35442.78125,0.0667141500474834,0,7661544
"38",38,1000,0,0,0,-0.2095,0.2095,34767.25,0.0748200442967885,0,16006526
"39",39,1000,0,0,0,-0.3725,0.3725,35261.875,0.0466629742453614,0,8062585
"40",40,1000,0,0,0,-0.2355,0.2355,36445.5,0.0443968975661942,0,7265294
"41",41,1000,0,0,0,-0.756,0.756,37426.5,0.054773082942097,0,14548395
"42",42,1000,0,0,0,0.432,0.432,34362.09375,0.0637683201803833,0,9428631
"43",43,1000,0,0,0,-0.453,0.453,31977,0.109051820001483,0,6574053
"44",44,1000,0,0,0,-0.21,0.21,39988,0.002,0,7365296
"45",45,1000,0,0,0,-0.332,0.332,40000,0,0,8755854
"46",46,1000,0,0,0,-0.484,0.484,36948.28125,0.0493273542600897,0,14808143
"47",47,1000,0,0,0,-0.646,0.646,39022.875,0.0218551461245235,0,9809115
"48",48,1000,0,0,0,-0.195,0.195,34495.125,0.0847681199666759,0,6699904
