"","budget","UT","BB","Extinct","rep","target","popInit","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20"
"1",1000,0,0,1,10,2000,1000,16,13,100,9,9,9,100,9,9,18,58,9,9,9,9,9,9,0,0,0
"2",1000,0,0,1,20,2000,1000,18,52,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0
"3",1000,0,0,1,30,2000,1000,15,55,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0
"4",1000,0,0,0,40,2000,1000,17,9,29,9,9,100,9,9,28,9,50,9,9,9,9,55,9,9,9,9
"5",1000,0,0,0,50,2000,1000,18,9,20,27,9,9,100,9,9,100,9,9,9,100,9,9,100,9,9,100
"6",1000,0,0,0,60,2000,1000,20,9,9,100,9,9,9,100,9,9,19,20,9,100,9,9,9,100,9,9
"7",1000,0,0,0,70,2000,1000,14,9,66,9,9,9,9,38,9,9,34,9,9,90,9,9,12,100,9,9
"8",1000,0,0,0,80,2000,1000,16,9,100,9,9,100,9,9,66,9,9,9,100,9,9,23,100,9,9,100
"9",1000,0,0,0,90,2000,1000,15,90,9,9,9,33,9,9,76,9,9,9,50,9,9,9,9,9,71,9
"10",1000,0,0,0,100,2000,1000,16,66,9,9,9,9,9,76,9,9,9,30,9,11,100,9,9,9,55,9
"11",1000,0.1,0,0,10,2000,1000,19,43,9,100,9,9,40,9,9,100,9,9,9,100,9,9,76,9,9,100
"12",1000,0.1,0,0,20,2000,1000,18,9,35,9,9,41,9,9,71,9,9,9,13,100,9,9,100,9,9,50
"13",1000,0.1,0,0,30,2000,1000,14,83,9,9,9,90,9,9,9,66,9,9,100,9,9,100,9,9,34,9
"14",1000,0.1,0,0,40,2000,1000,17,71,9,9,9,18,66,9,9,9,100,9,9,27,9,43,9,9,58,9
"15",1000,0.1,0,0,50,2000,1000,18,55,9,9,9,100,9,9,18,62,9,9,9,38,9,9,9,100,9,9
"16",1000,0.1,0,1,60,2000,1000,17,13,66,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0
"17",1000,0.1,0,0,70,2000,1000,15,100,9,9,9,100,9,9,100,9,47,9,9,90,9,9,9,100,9,19
"18",1000,0.1,0,0,80,2000,1000,16,9,66,9,9,9,58,9,9,9,100,9,9,21,37,9,90,9,9,18
"19",1000,0.1,0,0,90,2000,1000,16,66,9,9,37,37,9,26,52,9,9,9,62,9,9,100,9,29,71,9
"20",1000,0.1,0,0,100,2000,1000,17,52,9,9,100,9,58,9,9,90,9,9,100,9,55,9,9,100,9,62
"21",1000,0.1,0.1,0,10,2000,1000,15,100,9,9,9,37,9,9,9,100,9,9,9,100,9,9,9,100,9,9
"22",1000,0.1,0.1,0,20,2000,1000,16,12,100,9,9,30,9,9,90,8,9,50,9,9,9,100,9,9,15,83
"23",1000,0.1,0.1,0,30,2000,1000,17,9,15,76,9,9,9,9,37,9,9,50,9,9,9,9,76,9,9,9
"24",1000,0.1,0.1,0,40,2000,1000,17,45,9,9,100,9,9,41,9,76,9,9,9,16,100,9,9,50,9,9
"25",1000,0.1,0.1,0,50,2000,1000,16,10,100,9,9,66,9,9,9,100,9,9,100,9,9,40,9,83,9,9
"26",1000,0.1,0.1,0,60,2000,1000,13,9,90,9,9,27,29,45,9,9,9,100,9,9,100,9,9,100,9,9
"27",1000,0.1,0.1,0,70,2000,1000,15,100,9,9,100,9,55,9,9,100,9,13,100,9,45,9,76,9,9,100
"28",1000,0.1,0.1,0,80,2000,1000,18,9,100,9,9,100,9,43,9,90,9,9,100,9,37,9,100,9,43,9
"29",1000,0.1,0.1,0,90,2000,1000,14,31,33,33,8,100,9,21,83,9,9,62,9,9,100,9,9,66,9,9
"30",1000,0.1,0.1,0,100,2000,1000,15,9,28,55,9,9,47,9,100,9,9,100,9,41,9,100,9,35,43,9
"31",1000,0.1,0.2,0,10,2000,1000,17,9,83,9,9,9,9,83,9,9,76,9,9,58,9,9,9,9,32,9
"32",1000,0.1,0.2,0,20,2000,1000,19,40,9,9,83,9,9,9,100,9,9,9,100,9,9,90,9,9,90,9
"33",1000,0.1,0.2,0,30,2000,1000,18,9,58,9,9,9,9,100,9,9,9,100,9,9,32,9,9,100,7,9
"34",1000,0.1,0.2,0,40,2000,1000,14,12,83,9,9,9,9,38,9,9,13,100,9,9,21,71,9,9,9,9
"35",1000,0.1,0.2,0,50,2000,1000,17,9,9,9,100,9,9,9,90,9,9,9,76,9,9,55,9,9,9,9
"36",1000,0.1,0.2,0,60,2000,1000,17,14,62,9,9,9,71,9,9,9,29,9,16,71,9,9,9,9,9,9
"37",1000,0.1,0.2,0,70,2000,1000,15,76,9,9,9,20,43,9,66,9,9,9,100,9,9,58,9,9,17,71
"38",1000,0.1,0.2,0,80,2000,1000,16,9,58,9,9,9,9,76,9,9,100,9,9,100,9,9,100,9,43,9
"39",1000,0.1,0.2,0,90,2000,1000,15,62,9,9,50,9,9,100,9,9,100,9,9,100,9,9,100,9,55,9
"40",1000,0.1,0.2,0,100,2000,1000,16,9,100,9,9,100,9,27,90,9,9,90,9,9,100,9,27,28,41,9
"41",1000,0.1,0.3,0,10,2000,1000,14,9,23,23,7,71,9,9,9,100,9,47,9,9,9,9,100,9,9,9
"42",1000,0.1,0.3,0,20,2000,1000,20,9,9,21,71,9,9,9,9,9,9,9,9,9,100,9,9,9,58,9
"43",1000,0.1,0.3,0,30,2000,1000,18,9,30,9,55,9,9,100,9,9,100,7,37,9,9,9,90,9,9,18
"44",1000,0.1,0.3,0,40,2000,1000,14,90,9,9,9,62,9,9,9,100,9,9,90,9,9,9,32,62,9,9
"45",1000,0.1,0.3,0,50,2000,1000,16,58,9,9,35,47,9,9,100,9,50,9,9,76,9,9,100,9,71,9
"46",1000,0.1,0.3,0,60,2000,1000,15,9,100,9,9,100,9,62,9,9,76,9,9,100,9,9,100,9,52,9
"47",1000,0.1,0.3,0,70,2000,1000,16,9,100,9,25,47,9,25,58,9,9,27,43,9,62,9,9,100,9,35
"48",1000,0.1,0.3,0,80,2000,1000,15,23,38,9,28,58,9,9,9,100,9,76,9,9,100,9,27,90,9,9
"49",1000,0.1,0.3,0,90,2000,1000,16,9,100,9,9,100,9,100,9,9,100,9,9,100,9,47,9,58,9,9
"50",1000,0.1,0.3,0,100,2000,1000,13,9,100,9,66,9,9,76,9,9,100,9,37,37,7,52,9,55,9,15
"51",1000,0.1,0.4,0,10,2000,1000,16,9,38,9,9,9,76,9,9,58,9,9,9,9,71,9,9,9,9,100
"52",1000,0.1,0.4,0,20,2000,1000,12,9,90,9,9,9,40,9,9,9,71,9,9,9,9,100,9,9,9,100
"53",1000,0.1,0.4,0,30,2000,1000,15,23,9,100,9,9,62,9,9,62,9,9,9,9,76,9,9,9,100,9
"54",1000,0.1,0.4,0,40,2000,1000,16,9,62,9,9,100,9,9,100,6,38,9,9,9,100,9,9,31,9,9
"55",1000,0.1,0.4,0,50,2000,1000,20,9,9,40,9,9,35,9,9,35,9,16,83,9,9,9,100,9,9,58
"56",1000,0.1,0.4,0,60,2000,1000,19,9,9,100,9,43,9,62,9,9,16,66,9,9,9,9,9,100,9,9
"57",1000,0.1,0.4,0,70,2000,1000,18,9,100,9,9,100,9,9,100,9,35,32,32,6,100,9,9,100,9,62
"58",1000,0.1,0.4,0,80,2000,1000,15,9,55,9,71,9,9,83,9,9,100,9,52,9,9,100,9,19,100,9
"59",1000,0.1,0.4,0,90,2000,1000,13,10,100,9,9,100,9,37,37,6,100,9,9,100,9,62,9,9,83,9
"60",1000,0.1,0.4,0,100,2000,1000,17,9,76,9,9,71,9,9,66,9,9,100,9,66,9,9,100,9,45,9
"61",1000,0.1,0.5,0,10,2000,1000,16,9,100,9,9,83,6,9,76,9,9,22,100,9,9,90,6,9,100,9
"62",1000,0.1,0.5,0,20,2000,1000,16,25,38,9,9,9,9,100,14,9,66,9,9,9,52,9,9,58,9,9
"63",1000,0.1,0.5,0,30,2000,1000,17,9,76,9,9,100,9,9,100,9,55,9,9,71,9,9,100,9,20,25
"64",1000,0.1,0.5,0,40,2000,1000,20,9,100,9,9,100,9,55,9,9,90,9,9,100,9,32,52,9,9,100
"65",1000,0.1,0.5,0,50,2000,1000,16,16,100,9,9,100,9,45,9,76,9,9,83,9,9,100,9,35,29,40
"66",1000,0.1,0.5,0,60,2000,1000,18,43,9,83,9,9,100,9,9,100,9,20,100,9,19,90,9,9,100,9
"67",1000,0.1,0.5,0,70,2000,1000,20,9,9,100,9,55,9,26,43,9,23,76,9,9,41,9,45,9,100,9
"68",1000,0.1,0.5,0,80,2000,1000,16,18,100,9,9,100,9,55,9,9,100,9,71,9,9,83,9,9,100,9
"69",1000,0.1,0.5,0,90,2000,1000,12,9,100,9,9,100,9,66,9,9,43,9,55,9,52,9,9,100,9,47
"70",1000,0.1,0.5,0,100,2000,1000,18,9,11,100,9,71,9,9,100,9,58,9,9,100,9,66,9,9,21,83
"71",1000,0.1,0.6,0,10,2000,1000,20,9,9,40,9,9,11,100,9,9,9,100,9,9,40,9,9,9,71,9
"72",1000,0.1,0.6,0,20,2000,1000,15,76,9,9,21,90,9,9,9,9,27,33,9,9,50,9,9,9,76,9
"73",1000,0.1,0.6,0,30,2000,1000,18,76,9,9,20,35,9,9,100,9,9,45,9,9,31,9,9,52,9,9
"74",1000,0.1,0.6,1,40,2000,1000,19,9,31,55,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0
"75",1000,0.1,0.6,0,50,2000,1000,16,20,20,20,4,100,9,9,100,9,11,100,9,9,100,9,40,9,100,9
"76",1000,0.1,0.6,0,60,2000,1000,16,17,100,9,47,9,66,9,9,100,9,43,9,100,9,37,37,5,66,9
"77",1000,0.1,0.6,0,70,2000,1000,16,9,100,9,9,100,9,58,9,9,26,52,9,9,9,100,9,33,40,9
"78",1000,0.1,0.6,0,80,2000,1000,18,9,58,9,9,90,9,14,100,9,9,100,9,35,9,90,9,9,100,9
"79",1000,0.1,0.6,0,90,2000,1000,13,9,100,9,9,100,9,33,28,43,9,9,100,9,62,9,9,100,9,55
"80",1000,0.1,0.6,0,100,2000,1000,19,9,100,9,29,62,9,9,83,9,9,100,9,66,9,9,100,9,17,100
"81",1000,0.1,0.7,0,10,2000,1000,19,9,15,83,9,9,9,9,9,100,9,9,50,9,9,100,9,9,40,9
"82",1000,0.1,0.7,0,20,2000,1000,14,66,9,9,9,9,9,58,9,9,9,40,9,100,9,9,9,52,9,9
"83",1000,0.1,0.7,0,30,2000,1000,18,9,100,9,9,100,9,9,38,9,9,9,100,9,9,47,9,9,9,9
"84",1000,0.1,0.7,0,40,2000,1000,15,23,41,9,18,43,9,9,100,9,9,27,35,35,5,9,9,100,9,27
"85",1000,0.1,0.7,0,50,2000,1000,15,9,100,9,9,13,100,9,9,9,100,9,9,100,9,27,90,9,9,9
"86",1000,0.1,0.7,0,60,2000,1000,17,9,100,9,9,47,9,9,90,5,9,66,9,9,9,66,9,9,9,100
"87",1000,0.1,0.7,0,70,2000,1000,21,9,9,100,9,34,35,9,100,9,9,100,9,9,100,9,62,9,9,71
"88",1000,0.1,0.7,0,80,2000,1000,16,9,43,9,100,9,9,100,9,27,27,83,9,9,71,9,9,100,9,66
"89",1000,0.1,0.7,0,90,2000,1000,16,62,9,9,38,38,5,66,9,9,100,9,34,34,35,9,100,9,58,9
"90",1000,0.1,0.7,0,100,2000,1000,18,55,9,9,100,9,9,100,9,47,9,55,9,9,90,9,9,100,9,52
"91",1000,0.1,0.8,0,10,2000,1000,16,90,9,9,9,9,100,9,20,83,9,9,9,9,100,9,9,100,9,9
"92",1000,0.1,0.8,1,20,2000,1000,20,62,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0
"93",1000,0.1,0.8,0,30,2000,1000,14,66,9,9,9,9,9,26,9,52,9,9,10,100,9,9,23,76,9,9
"94",1000,0.1,0.8,0,40,2000,1000,14,9,100,9,9,9,100,9,9,90,9,9,100,5,14,83,9,9,9,15
"95",1000,0.1,0.8,0,50,2000,1000,15,30,9,9,100,5,10,100,9,9,9,100,9,9,31,9,9,100,9,9
"96",1000,0.1,0.8,0,60,2000,1000,18,9,50,9,100,9,9,100,9,9,100,5,9,100,9,9,14,90,9,9
"97",1000,0.1,0.8,1,70,2000,1000,18,52,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0
"98",1000,0.1,0.8,0,80,2000,1000,14,9,100,9,9,9,10,100,9,9,9,100,9,9,83,9,9,50,9,9
"99",1000,0.1,0.8,0,90,2000,1000,17,58,9,9,9,9,9,62,9,9,76,9,9,71,9,9,90,9,9,100
"100",1000,0.1,0.8,0,100,2000,1000,16,9,66,9,9,9,100,9,9,62,9,9,100,9,9,100,9,9,76,9
"101",1000,0.1,0.9,0,10,2000,1000,17,9,9,29,9,47,9,9,9,22,71,9,9,9,9,9,19,58,9,9
"102",1000,0.1,0.9,0,20,2000,1000,16,66,9,9,9,9,9,9,100,9,9,20,35,9,90,9,9,41,9,9
"103",1000,0.1,0.9,0,30,2000,1000,17,9,9,100,9,9,19,45,9,9,9,40,9,9,9,100,9,11,100,9
"104",1000,0.1,0.9,0,40,2000,1000,18,9,37,9,9,9,100,9,9,100,5,9,100,9,9,9,71,9,9,9
"105",1000,0.1,0.9,0,50,2000,1000,18,52,9,9,9,100,9,13,100,9,9,9,52,9,66,9,9,9,9,83
"106",1000,0.1,0.9,0,60,2000,1000,14,100,9,9,9,27,35,9,100,9,9,9,66,9,9,9,71,9,9,9
"107",1000,0.1,0.9,0,70,2000,1000,15,9,100,9,9,90,9,9,9,100,9,9,100,9,9,100,5,16,76,9
"108",1000,0.1,0.9,0,80,2000,1000,19,9,21,62,9,9,9,100,9,16,100,9,27,34,34,5,100,9,30,9
"109",1000,0.1,0.9,0,90,2000,1000,16,9,100,9,9,100,9,55,9,9,100,9,9,100,9,55,9,9,100,9
"110",1000,0.1,0.9,0,100,2000,1000,17,9,52,9,62,9,9,100,9,9,100,9,58,9,83,9,9,100,9,20
"111",1000,0.1,1,0,10,2000,1000,14,38,9,66,9,9,38,9,9,9,14,90,9,9,9,21,27,9,12,100
"112",1000,0.1,1,0,20,2000,1000,14,43,9,9,9,9,9,55,9,9,9,9,100,9,52,9,9,40,9,9
"113",1000,0.1,1,1,30,2000,1000,14,9,83,9,9,9,18,47,9,9,9,9,9,9,9,0,0,0,0,0
"114",1000,0.1,1,1,40,2000,1000,13,41,9,9,18,62,9,9,9,9,9,9,9,9,0,0,0,0,0,0
"115",1000,0.1,1,0,50,2000,1000,20,9,20,83,9,9,9,9,52,9,9,50,9,9,9,100,9,9,13,100
"116",1000,0.1,1,0,60,2000,1000,18,9,100,9,9,45,9,9,9,100,9,9,66,9,9,9,16,83,9,9
"117",1000,0.1,1,1,70,2000,1000,15,9,100,9,9,58,9,9,19,50,9,9,9,9,9,9,0,0,0,0
"118",1000,0.1,1,0,80,2000,1000,12,9,90,9,9,90,9,9,100,9,27,9,100,9,9,100,9,27,83,9
"119",1000,0.1,1,0,90,2000,1000,12,71,9,9,43,9,100,9,9,100,9,66,9,9,100,9,55,9,9,100
"120",1000,0.1,1,0,100,2000,1000,16,62,9,9,37,25,25,43,4,15,100,9,40,9,90,9,9,100,9,76
"121",1000,0.2,0,0,10,2000,1000,17,37,9,9,9,19,19,19,45,9,100,9,9,100,9,9,19,100,9,32
"122",1000,0.2,0,1,20,2000,1000,14,9,9,76,9,9,9,9,83,9,9,9,43,43,9,9,9,9,9,0
"123",1000,0.2,0,0,30,2000,1000,19,66,9,9,9,9,9,47,9,9,9,21,21,21,9,100,9,9,83,9
"124",1000,0.2,0,0,40,2000,1000,18,9,100,9,9,9,100,9,9,11,100,9,9,9,100,9,9,83,9,9
"125",1000,0.2,0,0,50,2000,1000,23,31,9,9,83,9,9,9,83,9,9,9,66,9,9,76,9,9,9,9
"126",1000,0.2,0,0,60,2000,1000,14,9,9,100,9,9,9,100,9,9,9,17,100,9,9,66,9,9,9,19
