"","budget","UT","BB","Extinct","rep","target","popInit","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20"
"1",1000,0,0,1,10,2000,1000,62,76,10,110,110,110,10,110,110,53,17,110,110,110,110,110,110,0,0,0
"2",1000,0,0,1,20,2000,1000,53,19,110,110,110,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0
"3",1000,0,0,1,30,2000,1000,66,18,110,110,110,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0
"4",1000,0,0,0,40,2000,1000,57,110,34,110,110,10,110,110,35,110,20,110,110,110,110,18,110,110,110,110
"5",1000,0,0,0,50,2000,1000,53,110,50,36,110,110,10,110,110,10,110,110,110,10,110,110,10,110,110,10
"6",1000,0,0,0,60,2000,1000,49,110,110,10,110,110,110,10,110,110,52,50,110,10,110,110,110,10,110,110
"7",1000,0,0,0,70,2000,1000,68,110,15,110,110,110,110,26,110,110,29,110,110,11,110,110,82,10,110,110
"8",1000,0,0,0,80,2000,1000,60,110,10,110,110,10,110,110,15,110,110,110,10,110,110,42,10,110,110,10
"9",1000,0,0,0,90,2000,1000,64,11,110,110,110,30,110,110,13,110,110,110,20,110,110,110,110,110,14,110
"10",1000,0,0,0,100,2000,1000,60,15,110,110,110,110,110,13,110,110,110,33,110,88,10,110,110,110,18,110
"11",1000,0.1,0,0,10,2000,1000,51,23,110,10,110,110,25,110,110,10,110,110,110,10,110,110,13,110,110,10
"12",1000,0.1,0,0,20,2000,1000,53,110,28,110,110,24,110,110,14,110,110,110,75,10,110,110,10,110,110,20
"13",1000,0.1,0,0,30,2000,1000,70,12,110,110,110,11,110,110,110,15,110,110,10,110,110,10,110,110,29,110
"14",1000,0.1,0,0,40,2000,1000,57,14,110,110,110,53,15,110,110,110,10,110,110,36,110,23,110,110,17,110
"15",1000,0.1,0,0,50,2000,1000,53,18,110,110,110,10,110,110,54,16,110,110,110,26,110,110,110,10,110,110
"16",1000,0.1,0,1,60,2000,1000,57,73,15,110,110,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0
"17",1000,0.1,0,0,70,2000,1000,66,10,110,110,110,10,110,110,10,110,21,110,110,11,110,110,110,10,110,52
"18",1000,0.1,0,0,80,2000,1000,60,110,15,110,110,110,17,110,110,110,10,110,110,46,27,110,11,110,110,53
"19",1000,0.1,0,0,90,2000,1000,62,15,110,110,27,27,110,38,19,110,110,110,16,110,110,10,110,34,14,110
"20",1000,0.1,0,0,100,2000,1000,56,19,110,110,10,110,17,110,110,11,110,110,10,110,18,110,110,10,110,16
"21",1000,0.1,0.1,0,10,2000,1000,64,10,110,110,110,27,110,110,110,10,110,110,110,10,110,110,110,10,110,110
"22",1000,0.1,0.1,0,20,2000,1000,61,80,10,110,110,33,110,110,11,120,110,20,110,110,110,10,110,110,63,12
"23",1000,0.1,0.1,0,30,2000,1000,56,110,64,13,110,110,110,110,27,110,110,20,110,110,110,110,13,110,110,110
"24",1000,0.1,0.1,0,40,2000,1000,57,22,110,110,10,110,110,24,110,13,110,110,110,59,10,110,110,20,110,110
"25",1000,0.1,0.1,0,50,2000,1000,62,98,10,110,110,15,110,110,110,10,110,110,10,110,110,25,110,12,110,110
"26",1000,0.1,0.1,0,60,2000,1000,74,110,11,110,110,37,34,22,110,110,110,10,110,110,10,110,110,10,110,110
"27",1000,0.1,0.1,0,70,2000,1000,65,10,110,110,10,110,18,110,110,10,110,72,10,110,22,110,13,110,110,10
"28",1000,0.1,0.1,0,80,2000,1000,55,110,10,110,110,10,110,23,110,11,110,110,10,110,27,110,10,110,23,110
"29",1000,0.1,0.1,0,90,2000,1000,71,32,30,30,120,10,110,47,12,110,110,16,110,110,10,110,110,15,110,110
"30",1000,0.1,0.1,0,100,2000,1000,66,110,35,18,110,110,21,110,10,110,110,10,110,24,110,10,110,28,23,110
"31",1000,0.1,0.2,0,10,2000,1000,56,110,12,110,110,110,110,12,110,110,13,110,110,17,110,110,110,110,31,110
"32",1000,0.1,0.2,0,20,2000,1000,52,25,110,110,12,110,110,110,10,110,110,110,10,110,110,11,110,110,11,110
"33",1000,0.1,0.2,0,30,2000,1000,55,110,17,110,110,110,110,10,110,110,110,10,110,110,31,110,110,10,130,110
"34",1000,0.1,0.2,0,40,2000,1000,69,82,12,110,110,110,110,26,110,110,73,10,110,110,46,14,110,110,110,110
"35",1000,0.1,0.2,0,50,2000,1000,58,110,110,110,10,110,110,110,11,110,110,110,13,110,110,18,110,110,110,110
"36",1000,0.1,0.2,0,60,2000,1000,56,68,16,110,110,110,14,110,110,110,34,110,60,14,110,110,110,110,110,110
"37",1000,0.1,0.2,0,70,2000,1000,64,13,110,110,110,49,23,110,15,110,110,110,10,110,110,17,110,110,57,14
"38",1000,0.1,0.2,0,80,2000,1000,60,110,17,110,110,110,110,13,110,110,10,110,110,10,110,110,10,110,23,110
"39",1000,0.1,0.2,0,90,2000,1000,64,16,110,110,20,110,110,10,110,102,10,110,110,10,110,110,10,110,18,110
"40",1000,0.1,0.2,0,100,2000,1000,59,110,10,110,110,10,110,36,11,110,110,11,110,110,10,110,37,35,24,110
"41",1000,0.1,0.3,0,10,2000,1000,69,110,43,43,140,14,110,110,110,10,110,21,110,110,110,110,10,110,110,110
"42",1000,0.1,0.3,0,20,2000,1000,50,110,110,46,14,110,110,110,110,110,110,110,110,110,10,110,110,110,17,110
"43",1000,0.1,0.3,0,30,2000,1000,54,110,33,110,18,110,110,10,110,110,10,140,27,110,110,110,11,110,110,54
"44",1000,0.1,0.3,0,40,2000,1000,67,11,110,110,110,16,110,110,110,10,110,110,11,110,110,110,31,16,110,110
"45",1000,0.1,0.3,0,50,2000,1000,61,17,110,110,28,21,110,110,10,110,20,110,110,13,110,110,10,110,14,110
"46",1000,0.1,0.3,0,60,2000,1000,65,110,10,110,110,10,110,16,110,110,13,110,110,10,110,110,10,110,19,110
"47",1000,0.1,0.3,0,70,2000,1000,60,103,10,110,40,21,110,39,17,110,110,37,23,110,16,110,110,10,110,28
"48",1000,0.1,0.3,0,80,2000,1000,65,43,26,110,35,17,110,110,110,10,110,13,110,110,10,110,36,11,110,110
"49",1000,0.1,0.3,0,90,2000,1000,60,110,10,110,110,10,110,10,110,110,10,110,110,10,110,21,110,17,110,110
"50",1000,0.1,0.3,0,100,2000,1000,74,110,10,110,15,110,110,13,110,110,10,110,27,27,140,19,110,18,110,64
"51",1000,0.1,0.4,0,10,2000,1000,62,110,26,110,110,110,13,110,110,17,110,110,110,110,14,110,110,110,110,10
"52",1000,0.1,0.4,0,20,2000,1000,79,110,11,110,110,110,25,110,110,110,14,110,110,110,110,10,110,110,110,10
"53",1000,0.1,0.4,0,30,2000,1000,65,43,110,10,110,110,16,110,110,16,110,110,110,110,13,110,110,110,10,110
"54",1000,0.1,0.4,0,40,2000,1000,62,110,16,110,110,10,110,110,10,150,26,110,110,110,10,110,110,32,110,110
"55",1000,0.1,0.4,0,50,2000,1000,48,110,110,25,110,110,28,110,110,28,110,61,12,110,110,110,10,110,110,17
"56",1000,0.1,0.4,0,60,2000,1000,51,110,110,10,110,23,110,16,110,110,60,15,110,110,110,110,110,10,110,110
"57",1000,0.1,0.4,0,70,2000,1000,53,110,10,110,110,10,110,110,10,110,28,31,31,150,10,110,110,10,110,16
"58",1000,0.1,0.4,0,80,2000,1000,64,110,18,110,14,110,110,12,110,110,10,110,19,110,110,10,110,51,10,110
"59",1000,0.1,0.4,0,90,2000,1000,72,92,10,110,110,10,110,27,27,150,10,110,110,10,110,16,110,110,12,110
"60",1000,0.1,0.4,0,100,2000,1000,58,104,13,110,110,14,110,110,15,110,110,10,110,15,110,110,10,110,22,110
"61",1000,0.1,0.5,0,10,2000,1000,62,110,10,110,110,12,160,110,13,110,110,44,10,110,110,11,160,110,10,110
"62",1000,0.1,0.5,0,20,2000,1000,61,40,26,110,110,110,110,10,67,110,15,110,110,110,19,110,110,17,110,110
"63",1000,0.1,0.5,0,30,2000,1000,58,110,13,110,110,10,110,104,10,110,18,110,110,14,110,110,10,110,49,39
"64",1000,0.1,0.5,0,40,2000,1000,48,110,10,110,110,10,110,18,110,110,11,110,110,10,110,31,19,110,110,10
"65",1000,0.1,0.5,0,50,2000,1000,62,62,10,110,110,10,110,22,110,13,110,110,12,110,110,10,110,28,34,25
"66",1000,0.1,0.5,0,60,2000,1000,54,23,110,12,110,110,10,110,110,10,110,48,10,110,51,11,110,110,10,110
"67",1000,0.1,0.5,0,70,2000,1000,50,110,110,10,110,18,110,38,23,110,42,13,110,110,24,110,22,110,10,110
"68",1000,0.1,0.5,0,80,2000,1000,61,55,10,110,110,10,110,18,110,110,10,110,14,110,110,12,110,110,10,110
"69",1000,0.1,0.5,0,90,2000,1000,77,110,10,110,110,10,110,15,110,110,23,110,18,110,19,110,110,10,110,21
"70",1000,0.1,0.5,0,100,2000,1000,54,110,90,10,110,14,110,110,10,110,17,110,110,10,110,15,110,110,47,12
"71",1000,0.1,0.6,0,10,2000,1000,50,110,110,25,110,110,90,10,110,110,110,10,110,110,25,110,110,110,14,110
"72",1000,0.1,0.6,0,20,2000,1000,63,13,110,110,46,11,110,110,110,110,37,30,110,110,20,110,110,110,13,110
"73",1000,0.1,0.6,0,30,2000,1000,55,13,110,110,48,28,110,110,10,110,110,22,110,110,32,110,110,19,110,110
"74",1000,0.1,0.6,1,40,2000,1000,51,110,32,18,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0
"75",1000,0.1,0.6,0,50,2000,1000,59,49,49,49,230,10,110,110,10,110,84,10,110,110,10,110,25,110,10,110
"76",1000,0.1,0.6,0,60,2000,1000,60,56,10,110,21,110,15,110,110,10,110,23,110,10,110,27,27,170,15,110
"77",1000,0.1,0.6,0,70,2000,1000,60,110,10,110,110,10,110,17,110,110,38,19,110,110,110,10,110,30,25,110
"78",1000,0.1,0.6,0,80,2000,1000,54,110,17,110,110,11,110,67,10,110,110,10,110,28,110,11,110,110,10,110
"79",1000,0.1,0.6,0,90,2000,1000,74,110,10,110,110,10,110,30,35,23,110,110,10,110,16,110,110,10,110,18
"80",1000,0.1,0.6,0,100,2000,1000,51,110,10,110,34,16,110,110,12,110,110,10,110,15,110,110,10,110,58,10
"81",1000,0.1,0.7,0,10,2000,1000,51,110,66,12,110,110,110,110,110,10,110,110,20,110,110,10,110,110,25,110
"82",1000,0.1,0.7,0,20,2000,1000,68,15,110,110,110,110,110,17,110,110,110,25,110,10,110,110,110,19,110,110
"83",1000,0.1,0.7,0,30,2000,1000,55,110,10,110,110,10,110,110,26,110,110,110,10,110,110,21,110,110,110,110
"84",1000,0.1,0.7,0,40,2000,1000,63,42,24,110,55,23,110,110,10,110,110,37,28,28,180,110,110,10,110,36
"85",1000,0.1,0.7,0,50,2000,1000,65,110,10,110,110,75,10,110,110,110,10,110,110,10,110,37,11,110,110,110
"86",1000,0.1,0.7,0,60,2000,1000,58,110,10,110,110,21,110,110,11,180,110,15,110,110,110,15,110,110,110,10
"87",1000,0.1,0.7,0,70,2000,1000,46,110,110,10,110,29,28,110,10,110,110,10,110,110,10,110,16,110,110,14
"88",1000,0.1,0.7,0,80,2000,1000,60,110,23,110,10,110,110,10,110,37,36,12,110,110,14,110,110,10,110,15
"89",1000,0.1,0.7,0,90,2000,1000,60,16,110,110,26,26,180,15,110,110,10,110,29,29,28,110,10,110,17,110
"90",1000,0.1,0.7,0,100,2000,1000,54,18,110,110,10,110,110,10,110,21,110,18,110,110,11,110,103,10,110,19
"91",1000,0.1,0.8,0,10,2000,1000,60,11,110,110,110,110,10,110,49,12,110,110,110,110,10,110,110,10,110,110
"92",1000,0.1,0.8,1,20,2000,1000,49,16,110,110,110,110,110,110,110,110,110,110,0,0,0,0,0,0,0,0
"93",1000,0.1,0.8,0,30,2000,1000,69,15,110,110,110,110,110,38,110,19,110,110,95,10,110,110,43,13,110,110
"94",1000,0.1,0.8,0,40,2000,1000,69,110,10,110,110,110,10,110,110,11,110,110,10,190,71,12,110,110,110,63
"95",1000,0.1,0.8,0,50,2000,1000,64,33,110,110,10,190,99,10,110,110,110,10,110,110,32,110,110,10,110,110
"96",1000,0.1,0.8,0,60,2000,1000,54,110,20,110,10,110,110,10,110,110,10,190,110,10,110,110,67,11,110,110
"97",1000,0.1,0.8,1,70,2000,1000,55,19,110,110,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0
"98",1000,0.1,0.8,0,80,2000,1000,69,110,10,110,110,110,99,10,110,110,110,10,110,110,12,110,110,20,110,110
"99",1000,0.1,0.8,0,90,2000,1000,58,17,110,110,110,110,110,16,110,110,13,110,110,14,110,110,11,110,110,10
"100",1000,0.1,0.8,0,100,2000,1000,62,110,15,110,110,110,10,110,110,16,110,110,10,110,110,10,110,110,13,110
"101",1000,0.1,0.9,0,10,2000,1000,56,110,110,34,110,21,110,110,110,44,14,110,110,110,110,110,52,17,110,110
"102",1000,0.1,0.9,0,20,2000,1000,59,15,110,110,110,110,110,110,10,110,110,48,28,110,11,110,110,24,110,110
"103",1000,0.1,0.9,0,30,2000,1000,57,110,110,10,110,110,51,22,110,110,110,25,110,110,110,10,110,90,10,110
