"","budget","UT","BB","Extinct","rep","target","popInit","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20"
"1",1000,0,0,1,10,2000,1000,1742,2109,3232,1493,1464,2053,2955,1410,1331,2156,2474,990,712,608,321,87,0,0,0,0
"2",1000,0,0,1,20,2000,1000,1736,2417,1056,824,805,699,529,240,61,14,0,0,0,0,0,0,0,0,0,0
"3",1000,0,0,1,30,2000,1000,1753,2460,1055,819,811,701,514,223,47,15,0,0,0,0,0,0,0,0,0,0
"4",1000,0,0,0,40,2000,1000,1758,1693,2247,1646,2065,3081,1524,1528,2241,1815,2440,1204,1038,1260,1663,2452,1187,981,1180,1529
"5",1000,0,0,0,50,2000,1000,1744,1614,2168,2232,1602,1998,3036,1485,1909,2952,1467,1390,1939,3450,1870,1952,3189,1617,1634,3113
"6",1000,0,0,0,60,2000,1000,1752,1318,1931,2974,1450,1420,2060,3050,1484,1505,2159,2167,2010,2886,1408,1360,1900,2943,1464,1423
"7",1000,0,0,0,70,2000,1000,1722,1819,2577,1172,1025,1223,1581,2326,1345,1368,2287,1576,1875,2788,1362,1234,2102,3016,1445,1439
"8",1000,0,0,0,80,2000,1000,1763,1841,3024,1479,1934,3009,1503,1507,2570,1342,1182,1936,3033,1520,1523,2197,3401,1696,1753,3156
"9",1000,0,0,0,90,2000,1000,1740,2764,1243,1057,1365,2274,1510,1708,2620,1299,1217,1633,2409,1148,920,1050,1255,1699,2587,1272
"10",1000,0,0,0,100,2000,1000,1738,2558,1155,958,1081,1313,1810,2653,1284,1189,1556,2254,1659,2095,2916,1352,1255,1649,2459,1228
"11",1000,0.1,0,0,10,2000,1000,1758,2358,2043,2884,1376,1329,2331,1392,1885,2944,1469,1444,2038,3089,1532,1511,2661,1417,1874,2834
"12",1000,0.1,0,0,20,2000,1000,1748,1717,2294,1423,1604,2352,1277,1682,2597,1288,1128,1477,2111,2918,1330,1707,3048,1602,1648,2415
"13",1000,0.1,0,0,30,2000,1000,1725,2689,1251,1130,1844,2741,1338,1250,1689,2574,1292,1664,2897,1526,2039,3151,1587,1546,2289,1512
"14",1000,0.1,0,0,40,2000,1000,1735,2604,1175,1034,1255,2156,2523,1012,1159,1967,3114,1539,1543,2231,1769,2372,1263,1646,2485,1230
"15",1000,0.1,0,0,50,2000,1000,1747,2427,1054,1200,1873,2962,1497,1494,2155,2488,1044,1171,1585,2320,1335,1372,1953,2814,1333,1620
"16",1000,0.1,0,1,60,2000,1000,1748,2111,2547,1061,846,836,748,587,303,74,0,0,0,0,0,0,0,0,0,0
"17",1000,0.1,0,0,70,2000,1000,1756,2823,1310,1203,1583,3027,1652,1731,3314,1807,2391,1523,1780,2741,1355,1266,1705,3018,1631,2163
"18",1000,0.1,0,0,80,2000,1000,1754,1567,2546,1253,1088,1662,2486,1246,1117,1851,2849,1411,1293,2181,2305,1919,2772,1342,1261,2156
"19",1000,0.1,0,0,90,2000,1000,1727,2531,1125,1315,2309,2174,1412,2218,2428,939,964,1475,2570,1401,1857,3326,1750,2245,2608,1127
"20",1000,0.1,0,0,100,2000,1000,1744,2436,1291,1788,3225,1705,2494,1284,1573,2775,1469,1944,3472,1857,2489,1378,1867,3333,1757,2524
"21",1000,0.1,0.1,0,10,2000,1000,1742,2815,1334,1216,1634,2310,1345,1442,2028,3002,1455,1403,1910,2941,1448,1395,1981,3067,1519,1475
"22",1000,0.1,0.1,0,20,2000,1000,1773,2102,2759,1198,1493,2249,1530,1845,2752,1354,1386,2410,1267,1125,1881,2970,1457,1461,2134,2677
"23",1000,0.1,0.1,0,30,2000,1000,1777,1620,2131,2636,1160,969,1107,1346,2309,1464,1653,2421,1184,1031,1282,1739,2619,1286,1120,1427
"24",1000,0.1,0.1,0,40,2000,1000,1747,2367,1566,1920,2914,1417,1340,2348,2072,2650,1260,1144,1480,2140,3347,1689,1639,2426,1462,2063
"25",1000,0.1,0.1,0,50,2000,1000,1747,2085,2892,1285,1676,2563,1256,1079,1583,2844,1512,1945,2918,1425,1374,2333,2000,2683,1316,1199
"26",1000,0.1,0.1,0,60,2000,1000,1772,2015,2796,1247,1524,2224,2250,2369,1078,1133,1828,2850,1423,1893,2861,1411,1853,2800,1385,1572
"27",1000,0.1,0.1,0,70,2000,1000,1773,2848,1294,1663,3262,1816,2474,1330,1714,3059,1627,2116,3567,1842,2386,1724,2657,1362,1697,3099
"28",1000,0.1,0.1,0,80,2000,1000,1761,1823,2914,1429,1847,3282,1756,2358,1761,2777,1409,1823,3353,1807,2309,2053,3419,1801,2355,1692
"29",1000,0.1,0.1,0,90,2000,1000,1754,2258,2275,2046,1707,2939,1527,2179,2673,1172,1450,2509,1318,1629,2872,1532,1348,2558,1407,1817
"30",1000,0.1,0.1,0,100,2000,1000,1731,1473,2232,2453,1143,1405,2398,1711,2823,1440,1901,3405,1810,2349,2003,3118,1585,2302,2361,1644
"31",1000,0.1,0.2,0,10,2000,1000,1747,1937,2713,1226,1062,1306,1772,2718,1352,1743,2657,1309,1652,2480,1202,1024,1227,1624,2273,1581
"32",1000,0.1,0.2,0,20,2000,1000,1740,2330,1145,1472,2699,1421,1304,1844,2848,1416,1152,1466,2797,1538,1508,2727,1482,1479,2768,1511
"33",1000,0.1,0.2,0,30,2000,1000,1761,1802,2482,1143,989,1160,1892,2998,1512,1446,2068,3155,1553,1545,2271,1579,1874,2844,1399,1592
"34",1000,0.1,0.2,0,40,2000,1000,1748,2099,2670,1162,998,1221,1573,2319,1346,1457,2114,3121,1523,1517,2183,2589,1092,843,845,794
"35",1000,0.1,0.2,0,50,2000,1000,1720,1255,1372,1888,2833,1370,1292,1776,2729,1372,1293,1732,2629,1280,1633,2490,1236,1066,1296,1727
"36",1000,0.1,0.2,0,60,2000,1000,1755,2117,2524,1089,1267,1729,2605,1306,1203,1561,2243,1689,2138,2597,1077,855,894,917,978,1459
"37",1000,0.1,0.2,0,70,2000,1000,1739,2621,1187,1045,1261,2169,2352,1580,2561,1295,1169,2000,3154,1541,1495,2493,1336,1244,2145,2566
