"","budget","UT","BB","Extinct","rep","target","popInit","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20"
"1",1000,0,0,0,10,2000,1000,15,25,9,100,9,12,100,9,9,9,100,9,9,100,9,9,76,9,9,9
"2",1000,0,0,0,20,2000,1000,20,9,9,9,9,9,9,90,9,9,9,100,9,9,45,9,9,9,9,76
"3",1000,0,0,0,30,2000,1000,23,9,9,9,71,9,9,9,9,90,9,9,9,100,9,9,71,9,9,9
"4",1000,0,0,0,40,2000,1000,16,90,9,9,9,9,100,9,9,100,9,9,100,9,9,20,100,9,9,47
"5",1000,0,0,1,50,2000,1000,27,9,100,9,9,9,27,9,34,41,9,9,9,9,9,9,9,0,0,0
"6",1000,0,0,0,60,2000,1000,16,55,9,9,9,9,9,9,9,9,9,12,100,9,9,58,9,9,9,38
"7",1000,0,0,0,70,2000,1000,15,10,100,9,9,9,100,9,9,100,9,9,100,9,9,9,90,9,9,62
"8",1000,0,0,0,80,2000,1000,17,9,83,9,9,9,9,100,9,9,100,9,9,9,100,9,9,38,9,9
"9",1000,0,0,0,90,2000,1000,15,9,62,9,9,9,9,9,100,9,9,100,9,9,55,9,9,9,83,9
"10",1000,0,0,0,100,2000,1000,17,20,9,100,9,9,9,58,9,9,9,100,9,9,100,9,9,38,9,9
"11",1000,0.1,0,1,10,2000,1000,17,9,100,9,9,100,9,9,76,9,9,9,100,9,9,9,100,100,9,0
"12",1000,0.1,0,0,20,2000,1000,17,83,9,9,9,9,100,9,9,52,9,9,9,9,9,25,25,9,9,9
"13",1000,0.1,0,1,30,2000,1000,13,45,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0
"14",1000,0.1,0,0,40,2000,1000,14,90,9,9,9,50,9,9,9,9,83,9,9,100,9,9,100,9,9,9
"15",1000,0.1,0,0,50,2000,1000,17,9,100,9,9,100,9,9,9,100,9,9,9,100,9,9,100,9,9,71
"16",1000,0.1,0,0,60,2000,1000,17,83,9,9,9,9,9,100,9,9,100,9,9,100,9,9,55,9,9,9
