"","budget","UT","BB","Extinct","rep","target","popInit","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20"
"1",1000,0,0,0,10,2000,1000,65,40,110,10,110,78,10,110,110,110,10,110,110,10,110,110,13,110,110,110
"2",1000,0,0,0,20,2000,1000,49,110,110,110,110,110,110,11,110,110,110,10,110,110,22,110,110,110,110,13
"3",1000,0,0,0,30,2000,1000,42,110,110,110,14,110,110,110,110,11,110,110,110,10,110,110,14,110,110,110
"4",1000,0,0,0,40,2000,1000,59,11,110,110,110,110,10,110,110,10,110,110,10,110,110,50,10,110,110,21
"5",1000,0,0,1,50,2000,1000,37,110,10,110,110,110,37,110,29,24,110,110,110,110,110,110,110,0,0,0
"6",1000,0,0,0,60,2000,1000,61,18,110,110,110,110,110,110,110,110,110,81,10,110,110,17,110,110,110,26
"7",1000,0,0,0,70,2000,1000,63,95,10,110,110,110,10,110,110,10,110,110,10,110,110,110,11,110,110,16
"8",1000,0,0,0,80,2000,1000,58,110,12,110,110,110,110,10,110,110,10,110,110,110,10,110,110,26,110,110
"9",1000,0,0,0,90,2000,1000,63,110,16,110,110,110,110,110,10,110,110,10,110,110,18,110,110,110,12,110
"10",1000,0,0,0,100,2000,1000,57,48,110,10,110,110,110,17,110,110,110,10,110,110,10,110,110,26,110,110
"11",1000,0.1,0,1,10,2000,1000,56,110,10,110,110,10,110,110,13,110,110,110,10,110,110,110,10,10,110,0
"12",1000,0.1,0,0,20,2000,1000,56,12,110,110,110,110,10,110,110,19,110,110,110,110,110,39,39,110,110,110
"13",1000,0.1,0,1,30,2000,1000,75,22,110,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0
"14",1000,0.1,0,0,40,2000,1000,71,11,110,110,110,20,110,110,110,110,12,110,110,10,110,110,10,110,110,110
"15",1000,0.1,0,0,50,2000,1000,56,110,10,110,110,10,110,110,110,10,110,110,110,10,110,110,10,110,110,14
"16",1000,0.1,0,0,60,2000,1000,56,12,110,110,110,110,110,10,110,110,10,110,110,10,110,110,18,110,110,110
"17",1000,0.1,0,1,70,2000,1000,56,110,110,11,110,110,10,110,110,10,10,110,0,0,0,0,0,0,0,0
"18",1000,0.1,0,0,80,2000,1000,64,110,110,16,110,110,110,10,110,110,23,110,110,110,110,10,110,110,110,10
"19",1000,0.1,0,1,90,2000,1000,55,110,110,10,110,110,28,110,110,10,10,110,0,0,0,0,0,0,0,0
"20",1000,0.1,0,1,100,2000,1000,61,110,110,10,110,110,10,110,110,110,10,10,110,0,0,0,0,0,0,0
"21",1000,0.1,0.1,0,10,2000,1000,63,13,110,110,110,110,110,110,110,28,110,31,110,110,10,120,110,41,41,120
"22",1000,0.1,0.1,0,20,2000,1000,63,10,110,110,110,110,10,120,110,15,110,110,110,110,10,120,110,110,10,120
"23",1000,0.1,0.1,0,30,2000,1000,58,110,10,110,110,21,110,110,110,110,110,10,120,26,110,110,110,110,10,10
"24",1000,0.1,0.1,1,40,2000,1000,60,37,110,110,10,10,130,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",1000,0.1,0.1,1,50,2000,1000,55,14,110,110,110,110,30,110,110,26,16,110,110,110,110,110,110,110,110,0
"26",1000,0.1,0.1,0,60,2000,1000,54,110,11,110,110,110,110,110,10,120,110,18,110,110,110,26,110,110,110,110
"27",1000,0.1,0.1,1,70,2000,1000,56,110,23,110,110,110,10,120,120,10,10,130,0,0,0,0,0,0,0,0
"28",1000,0.1,0.1,1,80,2000,1000,53,110,110,12,120,110,30,110,21,110,110,10,10,130,0,0,0,0,0,0
"29",1000,0.1,0.1,1,90,2000,1000,46,110,26,110,110,110,15,110,110,110,35,35,120,110,110,110,110,0,0,0
"30",1000,0.1,0.1,0,100,2000,1000,54,110,23,110,110,110,110,19,110,110,110,10,120,110,20,110,110,110,10,120
"31",1000,0.1,0.2,0,10,2000,1000,71,13,110,110,110,12,110,110,110,10,130,130,10,130,35,110,110,10,10,150
