"","budget","UT","BB","Extinct","rep","target","popInit","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20"
"1",1000,0,0,0,10,2000,1000,1717,2206,1796,3100,1575,2106,2953,1408,1346,1867,3527,1916,1995,2980,1467,1416,2663,1468,1410,1991
"2",1000,0,0,0,20,2000,1000,1735,999,889,967,967,1087,1852,2775,1309,1252,2058,3199,1603,1623,2379,1197,1060,1307,1743,2656
"3",1000,0,0,0,30,2000,1000,1727,1184,1261,1731,2601,1251,1086,1343,1801,2735,1330,1232,1666,3158,1706,1725,2588,1289,1148,1475
"4",1000,0,0,0,40,2000,1000,1740,2722,1248,1065,1299,1733,2832,1453,1927,2990,1476,1989,3062,1507,1485,2168,3325,1646,1703,2401
"5",1000,0,0,1,50,2000,1000,1732,1957,2832,1300,1186,1556,2226,1785,2286,2339,1032,818,767,665,489,162,1,0,0,0
"6",1000,0,0,0,60,2000,1000,1745,2464,1085,853,882,877,896,936,1012,1146,1456,2103,3250,1618,1673,2486,1223,1071,1348,2317
"7",1000,0,0,0,70,2000,1000,1763,2084,2819,1236,1097,1785,3413,1863,1945,3452,1810,1865,2825,1398,1323,1833,2738,1338,1716,2558
"8",1000,0,0,0,80,2000,1000,1759,1977,2717,1236,1078,1360,1861,3362,1792,1809,2805,1406,1284,1705,3065,1659,1647,2316,1262,1641
"9",1000,0,0,0,90,2000,1000,1756,1797,2511,1147,963,1107,1368,1899,2885,1392,1860,2920,1461,1383,2452,1295,1165,1511,2680,1421
"10",1000,0,0,0,100,2000,1000,1768,2172,2042,2901,1375,1251,1656,2492,1239,1155,1937,3002,1507,1539,2952,1633,1598,2320,1305,1281
"11",1000,0.1,0,1,10,2000,1000,1724,1595,2819,1420,1637,2864,1545,1543,2619,1392,1330,1837,2812,1420,1366,1944,3638,1978,0,0
"12",1000,0.1,0,0,20,2000,1000,1736,2642,1190,1045,1271,2173,3397,1655,1668,2453,1195,1034,1080,1248,1537,2216,1874,970,869,850
"13",1000,0.1,0,1,30,2000,1000,1739,2382,1049,805,793,578,295,72,0,0,0,0,0,0,0,0,0,0,0,0
"14",1000,0.1,0,0,40,2000,1000,1726,2798,1305,1197,1613,2417,1176,1027,1178,1495,2674,1443,1881,2887,1417,1806,2987,1512,1509,2165
"15",1000,0.1,0,0,50,2000,1000,1780,2005,3377,1685,1749,2868,1470,1450,1919,2824,1332,1267,2156,3406,1679,1722,3157,1702,1710,2611
"16",1000,0.1,0,0,60,2000,1000,1743,2654,1211,1059,1161,1427,2047,3172,1562,2039,3407,1747,1715,3099,1661,1709,2467,1224,1075,1129
"17",1000,0.1,0,1,70,2000,1000,1738,1323,1483,2753,1461,1920,2949,1449,1870,3465,1842,0,0,0,0,0,0,0,0,0
"18",1000,0.1,0,0,80,2000,1000,1732,1424,1706,2523,1214,1471,2135,3214,1592,1612,2356,1201,1100,1421,2007,3099,1537,1483,2125,3287
"19",1000,0.1,0,1,90,2000,1000,1743,1531,1921,2879,1390,1336,2300,1519,2189,3665,1865,0,0,0,0,0,0,0,0,0
"20",1000,0.1,0,1,100,2000,1000,1720,1561,2018,2982,1411,1902,2971,1488,1472,2146,3577,1841,0,0,0,0,0,0,0,0
"21",1000,0.1,0.1,0,10,2000,1000,1755,2622,1157,830,710,892,1007,1088,1334,2298,1499,2273,1621,1975,2986,1455,1510,2203,1818,1041
"22",1000,0.1,0.1,0,20,2000,1000,1752,2778,1274,1175,1407,1960,3049,1518,1606,2554,1298,1148,1369,1856,2811,1393,1386,1915,2950,1498
"23",1000,0.1,0.1,0,30,2000,1000,1767,1959,3239,1613,1590,2390,1218,1042,1135,1460,2118,3189,1545,2312,1238,1167,1530,2199,3947,2125
"24",1000,0.1,0.1,1,40,2000,1000,1755,2221,1641,2166,3846,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",1000,0.1,0.1,1,50,2000,1000,1747,2608,1179,990,1148,1467,2278,1403,1564,2320,2523,1049,809,801,744,619,387,111,1,0
"26",1000,0.1,0.1,0,60,2000,1000,1747,1933,2758,1249,952,1100,1337,1834,2822,1410,1443,2464,1291,1167,1562,2316,1241,1135,1442,2039
"27",1000,0.1,0.1,1,70,2000,1000,1738,1503,2361,1192,1459,2011,3281,1669,1800,3523,1932,0,0,0,0,0,0,0,0,0
"28",1000,0.1,0.1,1,80,2000,1000,1751,1468,1815,2705,1288,1328,2280,1591,2398,1536,2178,3602,1814,0,0,0,0,0,0,0
"29",1000,0.1,0.1,1,90,2000,1000,1716,1727,2324,1281,1270,1719,2568,1260,1081,1317,2244,1833,769,638,448,138,6,0,0,0
"30",1000,0.1,0.1,0,100,2000,1000,1759,1726,2358,1200,1129,1272,1676,2428,1143,1383,2011,3081,1531,1612,2425,1196,1446,2090,3467,1788
"31",1000,0.1,0.2,0,10,2000,1000,1724,2635,1201,1039,1747,2712,1338,1134,2012,3262,1641,1892,3088,1562,2218,1643,2098,3777,2000,0
"32",1000,0.1,0.2,0,20,2000,1000,1772,1461,1788,2540,1208,997,1153,1458,2135,3207,1591,1855,3006,1528,1690,2545,1260,1168,1554,2172
"33",1000,0.1,0.2,0,30,2000,1000,1702,1924,2674,1203,1074,1769,2988,1530,1542,2473,1252,1129,1397,1939,3002,1501,1738,2510,1216,1073
"34",1000,0.1,0.2,0,40,2000,1000,1754,2682,1208,1085,1317,1789,2710,1320,1250,1642,2396,1738,2257,1577,1836,2752,1335,1480,2176,3352
"35",1000,0.1,0.2,0,50,2000,1000,1747,1922,3281,1637,1659,2519,1243,1421,2056,3174,1577,1930,3158,1626,1890,3078,1571,1794,2938,1516
"36",1000,0.1,0.2,1,60,2000,1000,1752,2028,2899,1381,1264,2126,3351,1649,1910,3550,1905,0,0,0,0,0,0,0,0,0
"37",1000,0.1,0.2,0,70,2000,1000,1762,2271,1367,1546,2685,1402,1822,2754,1329,1422,2047,3180,1577,1832,2945,1501,2163,3456,1726,1930
"38",1000,0.1,0.2,0,80,2000,1000,1742,2524,1105,887,1410,2061,3125,1541,1773,2722,1356,1749,2669,1328,1181,1509,2162,3261,1585,2198
"39",1000,0.1,0.2,0,90,2000,1000,1754,1334,1548,2246,1718,2251,1771,2322,1241,1166,1988,3154,1580,1777,2665,1312,1189,1527,2147,3239
"40",1000,0.1,0.2,0,100,2000,1000,1741,2198,1579,2039,3091,1520,2202,2260,1355,1598,2919,1600,1614,2365,1260,1163,1502,2612,1408,1833
"41",1000,0.1,0.3,1,10,2000,1000,1749,2047,3412,1651,1642,2882,1523,1445,2071,3714,1963,0,0,0,0,0,0,0,0,0
"42",1000,0.1,0.3,0,20,2000,1000,1718,1853,2612,1166,1412,2025,3078,1544,1731,3158,1699,1735,2596,1274,1158,1511,2194,3319,1636,1928
"43",1000,0.1,0.3,1,30,2000,1000,1736,2258,1445,2267,2553,990,720,627,363,103,1,0,0,0,0,0,0,0,0,0
"44",1000,0.1,0.3,0,40,2000,1000,1751,2401,1457,1701,2557,1263,1156,1527,2216,1965,1262,1746,2665,1293,1058,1287,1760,2659,1333,1244
"45",1000,0.1,0.3,1,50,2000,1000,1727,2502,1136,793,775,656,447,153,14,0,0,0,0,0,0,0,0,0,0,0
"46",1000,0.1,0.3,1,60,2000,1000,1752,2094,2748,1217,1046,1271,2214,2093,1797,3408,1808,0,0,0,0,0,0,0,0,0
"47",1000,0.1,0.3,0,70,2000,1000,1758,1933,2655,1212,1022,1223,2044,3435,1760,2523,1193,1375,1941,3006,1458,1648,2429,1181,1420,2049
"48",1000,0.1,0.3,0,80,2000,1000,1756,2774,1271,1664,2575,1287,1659,2521,1237,1079,1791,2987,1522,2042,3119,1558,1807,2907,1463,1650
"49",1000,0.1,0.3,0,90,2000,1000,1750,2745,1271,1174,1543,2215,3006,1381,1308,1739,2577,1252,1139,1474,2521,1354,1285,1719,3052,1592
"50",1000,0.1,0.3,0,100,2000,1000,1724,1608,2151,3258,1555,1777,2743,1350,1211,1579,2332,1277,1238,2059,3158,1550,1763,3422,1872,0
"51",1000,0.1,0.4,0,10,2000,1000,1718,2309,1021,762,1122,1457,2592,1395,1271,1693,2432,1158,940,1063,1261,1687,2498,1241,1106,1351
"52",1000,0.1,0.4,1,20,2000,1000,1780,1762,2409,1083,858,871,835,679,483,186,17,2,0,0,0,0,0,0,0,0
"53",1000,0.1,0.4,1,30,2000,1000,1740,2074,2756,1214,1081,1366,1921,3464,1831,0,0,0,0,0,0,0,0,0,0,0
"54",1000,0.1,0.4,0,40,2000,1000,1741,2783,1278,1625,2455,1221,1113,1419,2058,3134,1526,1855,3100,1595,1992,3296,1682,2021,3321,1711
"55",1000,0.1,0.4,0,50,2000,1000,1751,1503,1889,2801,1325,1564,2326,1351,1373,1938,2961,1465,1799,2739,1349,1285,1745,2625,1283,1157
"56",1000,0.1,0.4,0,60,2000,1000,1728,1475,1767,2637,1243,1076,1318,1773,2754,1389,1338,1882,2861,1404,2068,3416,1744,2186,3657,1886
"57",1000,0.1,0.4,1,70,2000,1000,1720,2880,1369,1794,2701,1310,1194,1588,2342,2014,756,610,433,107,5,0,0,0,0,0
"58",1000,0.1,0.4,1,80,2000,1000,1752,2467,1062,801,776,666,488,166,20,1,0,0,0,0,0,0,0,0,0,0
"59",1000,0.1,0.4,1,90,2000,1000,1765,2632,1173,997,1190,1494,2162,3387,1693,2112,3520,1787,2161,3595,1840,0,0,0,0,0
"60",1000,0.1,0.4,0,100,2000,1000,1733,1407,2112,3321,1571,2291,1339,1390,2449,1324,1163,1515,2687,1435,1895,2899,1424,1759,2626,1272
"61",1000,0.1,0.5,0,10,2000,1000,1748,1320,1547,2232,1398,1496,2260,1588,1919,2885,1407,1719,2484,1237,1135,1628,2886,1572,1542,2209
"62",1000,0.1,0.5,0,20,2000,1000,1763,1929,2745,1260,1013,1186,1384,1896,2827,1406,1732,2477,1175,1003,1050,1158,1459,2109,3305,1578
"63",1000,0.1,0.5,1,30,2000,1000,1736,2174,2068,1782,2942,1501,1462,2116,3783,2028,0,0,0,0,0,0,0,0,0,0
"64",1000,0.1,0.5,0,40,2000,1000,1715,2493,1081,849,885,887,913,979,1108,1382,1901,2845,1379,1611,2406,1202,1004,1199,1967,3082
"65",1000,0.1,0.5,1,50,2000,1000,1741,2649,1214,1499,2229,1821,738,736,645,377,101,1,0,0,0,0,0,0,0,0
