"Time","Pop_size","Pop_est","Cull_cost","Cull_count","GA_count","AN_count","Cull_cost","User_budget"
101,10000,10000,10,548,0,100,10,10000
102,10000,10000,10,493,0,100,10,10000
103,10000,10000,10,280,0,100,10,10000
104,10000,10000,10,467,0,100,10,10000
105,10000,10000,10,571,0,100,10,10000
106,10000,10000,10,222,0,100,10,10000
107,10000,10000,10,487,0,100,10,10000
108,10000,10000,10,261,0,100,10,10000
109,10000,10000,10,242,0,100,10,10000
110,10000,10000,10,239,0,100,10,10000
111,10000,10000,10,254,0,100,10,10000
112,10000,10000,10,252,0,100,10,10000
113,10000,10000,10,497,0,100,10,10000
114,10000,10000,10,251,0,100,10,10000
115,10000,10000,10,265,0,100,10,10000
116,10000,10000,10,602,0,100,10,10000
117,10000,10000,10,462,0,100,10,10000
118,10000,10000,10,242,0,100,10,10000
119,10000,10000,10,507,0,100,10,10000
120,10000,10000,10,303,0,100,10,10000
121,10000,10000,10,242,0,100,10,10000
122,10000,10000,10,543,0,100,10,10000
123,10000,10000,10,235,0,100,10,10000
124,10000,10000,10,514,0,100,10,10000
125,10000,10000,10,229,0,100,10,10000
126,10000,10000,10,244,0,100,10,10000
127,10000,10000,10,236,0,100,10,10000
128,10000,10000,10,233,0,100,10,10000
129,10000,10000,10,513,0,100,10,10000
130,10000,10000,10,236,0,100,10,10000
131,10000,10000,10,487,0,100,10,10000
132,10000,10000,10,224,0,100,10,10000
133,10000,10000,10,504,0,100,10,10000
134,10000,10000,10,293,0,100,10,10000
135,10000,10000,10,487,0,100,10,10000
136,10000,10000,10,243,0,100,10,10000
137,10000,10000,10,494,0,100,10,10000
138,10000,10000,10,237,0,100,10,10000
139,10000,10000,10,507,0,100,10,10000
140,10000,10000,10,473,0,100,10,10000
141,10000,10000,10,215,0,100,10,10000
142,10000,10000,10,495,0,100,10,10000
143,10000,10000,10,527,0,100,10,10000
144,10000,10000,10,310,0,100,10,10000
145,10000,10000,10,252,0,100,10,10000
146,10000,10000,10,216,0,100,10,10000
147,10000,10000,10,249,0,100,10,10000
148,10000,10000,10,561,0,100,10,10000
149,10000,10000,10,511,0,100,10,10000
150,10000,10000,10,541,0,100,10,10000
151,10000,10000,10,492,0,100,10,10000
152,10000,10000,10,234,0,100,10,10000
153,10000,10000,10,468,0,100,10,10000
154,10000,10000,10,230,0,100,10,10000
155,10000,10000,10,220,0,100,10,10000
156,10000,10000,10,226,0,100,10,10000
157,10000,10000,10,479,0,100,10,10000
158,10000,10000,10,277,0,100,10,10000
159,10000,10000,10,259,0,100,10,10000
160,10000,10000,10,547,0,100,10,10000
161,10000,10000,10,469,0,100,10,10000
162,10000,10000,10,279,0,100,10,10000
163,10000,10000,10,269,0,100,10,10000
164,10000,10000,10,248,0,100,10,10000
165,10000,10000,10,502,0,100,10,10000
166,10000,10000,10,229,0,100,10,10000
167,10000,10000,10,299,0,100,10,10000
168,10000,10000,10,484,0,100,10,10000
169,10000,10000,10,494,0,100,10,10000
170,10000,10000,10,238,0,100,10,10000
171,10000,10000,10,512,0,100,10,10000
172,10000,10000,10,527,0,100,10,10000
173,10000,10000,10,514,0,100,10,10000
174,10000,10000,10,232,0,100,10,10000
175,10000,10000,10,547,0,100,10,10000
176,10000,10000,10,535,0,100,10,10000
177,10000,10000,10,269,0,100,10,10000
178,10000,10000,10,276,0,100,10,10000
179,10000,10000,10,224,0,100,10,10000
180,10000,10000,10,521,0,100,10,10000
181,10000,10000,10,195,0,100,10,10000
182,10000,10000,10,551,0,100,10,10000
183,10000,10000,10,520,0,100,10,10000
184,10000,10000,10,247,0,100,10,10000
185,10000,10000,10,197,0,100,10,10000
186,10000,10000,10,505,0,100,10,10000
187,10000,10000,10,243,0,100,10,10000
188,10000,10000,10,463,0,100,10,10000
189,10000,10000,10,268,0,100,10,10000
190,10000,10000,10,292,0,100,10,10000
191,10000,10000,10,256,0,100,10,10000
192,10000,10000,10,232,0,100,10,10000
193,10000,10000,10,524,0,100,10,10000
194,10000,10000,10,465,0,100,10,10000
195,10000,10000,10,294,0,100,10,10000
196,10000,10000,10,218,0,100,10,10000
197,10000,10000,10,542,0,100,10,10000
198,10000,10000,10,212,0,100,10,10000
199,10000,10000,10,290,0,100,10,10000
200,10000,10000,10,499,0,100,10,10000
101,10000,10000,10,544,0,200,10,10000
102,10000,10000,10,666,0,200,10,10000
103,10000,10000,10,483,0,200,10,10000
104,10000,10000,10,451,0,200,10,10000
105,10000,10000,10,467,0,200,10,10000
106,10000,10000,10,558,0,200,10,10000
107,10000,10000,10,729,0,200,10,10000
108,10000,10000,10,733,0,200,10,10000
109,10000,10000,10,508,0,200,10,10000
110,10000,10000,10,703,0,200,10,10000
111,10000,10000,10,526,0,200,10,10000
112,10000,10000,10,680,0,200,10,10000
113,10000,10000,10,745,0,200,10,10000
114,10000,10000,10,719,0,200,10,10000
115,10000,10000,10,718,0,200,10,10000
116,10000,10000,10,433,0,200,10,10000
117,10000,10000,10,479,0,200,10,10000
118,10000,10000,10,711,0,200,10,10000
119,10000,10000,10,746,0,200,10,10000
120,10000,10000,10,525,0,200,10,10000
121,10000,10000,10,706,0,200,10,10000
122,10000,10000,10,553,0,200,10,10000
123,10000,10000,10,529,0,200,10,10000
124,10000,10000,10,685,0,200,10,10000
125,10000,10000,10,667,0,200,10,10000
126,10000,10000,10,534,0,200,10,10000
127,10000,10000,10,649,0,200,10,10000
128,10000,10000,10,515,0,200,10,10000
129,10000,10000,10,680,0,200,10,10000
130,10000,10000,10,484,0,200,10,10000
131,10000,10000,10,461,0,200,10,10000
132,10000,10000,10,474,0,200,10,10000
133,10000,10000,10,466,0,200,10,10000
134,10000,10000,10,557,0,200,10,10000
135,10000,10000,10,508,0,200,10,10000
136,10000,10000,10,632,0,200,10,10000
137,10000,10000,10,506,0,200,10,10000
138,10000,10000,10,709,0,200,10,10000
139,10000,10000,10,698,0,200,10,10000
140,10000,10000,10,530,0,200,10,10000
141,10000,10000,10,517,0,200,10,10000
142,10000,10000,10,544,0,200,10,10000
143,10000,10000,10,675,0,200,10,10000
144,10000,10000,10,459,0,200,10,10000
145,10000,10000,10,531,0,200,10,10000
146,10000,10000,10,682,0,200,10,10000
147,10000,10000,10,703,0,200,10,10000
148,10000,10000,10,493,0,200,10,10000
149,10000,10000,10,736,0,200,10,10000
150,10000,10000,10,691,0,200,10,10000
151,10000,10000,10,681,0,200,10,10000
152,10000,10000,10,727,0,200,10,10000
153,10000,10000,10,681,0,200,10,10000
154,10000,10000,10,468,0,200,10,10000
155,10000,10000,10,448,0,200,10,10000
156,10000,10000,10,515,0,200,10,10000
157,10000,10000,10,671,0,200,10,10000
158,10000,10000,10,456,0,200,10,10000
159,10000,10000,10,662,0,200,10,10000
160,10000,10000,10,540,0,200,10,10000
161,10000,10000,10,650,0,200,10,10000
162,10000,10000,10,504,0,200,10,10000
163,10000,10000,10,450,0,200,10,10000
164,10000,10000,10,715,0,200,10,10000
165,10000,10000,10,670,0,200,10,10000
166,10000,10000,10,703,0,200,10,10000
167,10000,10000,10,702,0,200,10,10000
168,10000,10000,10,730,0,200,10,10000
169,10000,10000,10,539,0,200,10,10000
170,10000,10000,10,700,0,200,10,10000
171,10000,10000,10,459,0,200,10,10000
172,10000,10000,10,473,0,200,10,10000
173,10000,10000,10,460,0,200,10,10000
174,10000,10000,10,742,0,200,10,10000
175,10000,10000,10,736,0,200,10,10000
176,10000,10000,10,423,0,200,10,10000
177,10000,10000,10,419,0,200,10,10000
178,10000,10000,10,677,0,200,10,10000
179,10000,10000,10,406,0,200,10,10000
180,10000,10000,10,635,0,200,10,10000
181,10000,10000,10,427,0,200,10,10000
182,10000,10000,10,658,0,200,10,10000
183,10000,10000,10,432,0,200,10,10000
184,10000,10000,10,475,0,200,10,10000
185,10000,10000,10,496,0,200,10,10000
186,10000,10000,10,701,0,200,10,10000
187,10000,10000,10,507,0,200,10,10000
188,10000,10000,10,703,0,200,10,10000
189,10000,10000,10,780,0,200,10,10000
190,10000,10000,10,510,0,200,10,10000
191,10000,10000,10,406,0,200,10,10000
192,10000,10000,10,409,0,200,10,10000
193,10000,10000,10,516,0,200,10,10000
194,10000,10000,10,466,0,200,10,10000
195,10000,10000,10,672,0,200,10,10000
196,10000,10000,10,666,0,200,10,10000
197,10000,10000,10,751,0,200,10,10000
198,10000,10000,10,499,0,200,10,10000
199,10000,10000,10,517,0,200,10,10000
200,10000,10000,10,699,0,200,10,10000
101,10000,10000,10,722,0,300,10,10000
102,10000,10000,10,758,0,300,10,10000
103,10000,10000,10,749,0,300,10,10000
104,10000,10000,10,804,0,300,10,10000
105,10000,10000,10,824,0,300,10,10000
106,10000,10000,10,740,0,300,10,10000
107,10000,10000,10,826,0,300,10,10000
108,10000,10000,10,818,0,300,10,10000
109,10000,10000,10,877,0,300,10,10000
110,10000,10000,10,759,0,300,10,10000
111,10000,10000,10,697,0,300,10,10000
