"Fitness_calls","Mean_Fitness","LCI","UCI"
100,389.225,347.275,435.775
200,772.45,726.075,822.35
300,1032.975,971.625,1090.1
400,1356.775,1278.675,1428.875
500,1642.7,1559.1,1726.175
600,1931.95,1828.35,2034.45
700,2110.75,2001.6,2221.975
800,2322.1,2193.225,2456.55
900,2489.875,2366.35,2619.1
1000,2740.475,2598.675,2873.45
1100,2873.85,2703.45,3023.6
1200,2991.55,2820.45,3161.6
1300,3197.475,3017.9,3362.3
1400,3294.875,3108.025,3479.025
1500,3422.175,3245.75,3613.4
1600,3568.4,3370.725,3764.225
1700,3656.15,3445,3859.625
1800,3786.375,3564.05,4015.15
1900,3892.675,3656.2,4108.725
2000,3953.825,3714.6,4205.65
2100,4039.85,3792.775,4292.75
2200,4149.175,3872.95,4409.175
2300,4234.225,3962.1,4495.625
2400,4310.075,4006.35,4585.725
2500,4337.7,4040.9,4643.775
2600,4413.35,4105.65,4710.575
2700,4445.375,4165.8,4727.125
2800,4512.8,4185.075,4838.375
2900,4559.9,4247.65,4869.8
3000,4579.2,4263.55,4884.65
3100,4606.9,4301,4890.975
3200,4609.275,4290.025,4900.425
3300,4638.85,4340.875,4964.175
3400,4626.375,4326.925,4923.95
3500,4615.275,4272.575,4938.575
3600,4660.2,4363.775,4943.05
3700,4632.65,4315.45,4918.325
3800,4655.85,4360.175,4979.225
3900,4619.725,4321.675,4922.95
4000,4664.45,4334.425,4965.675
4100,3108.33333333333,1950,3750
4200,1770,57,1734
