"Fitness_calls","Mean_Fitness","LCI","UCI"
2,1495.65,1361.75,1624.35
4,1809.6,1580.15,2054
6,1909.7,1678.95,2165.8
8,1977.95,1738.75,2223
10,2029.95,1777.1,2265.9
12,2111.85,1872,2368.6
14,2168.4,1916.85,2408.25
16,2229.5,1981.85,2507.05
18,2303.6,2046.2,2565.55
20,2350.4,2079.35,2624.7
22,2403.05,2127.45,2662.4
24,2467.4,2176.2,2748.85
26,2519.4,2236,2790.45
28,2576.6,2289.3,2865.2
30,2620.15,2340,2921.1
32,2676.05,2400.45,2965.95
34,2724.8,2401.1,3024.45
36,2798.25,2470,3118.05
38,2852.85,2538.9,3159.65
40,2884.05,2574,3193.45
42,2939.3,2606.5,3259.1
44,2972.45,2638.35,3318.9
46,3010.15,2694.9,3331.25
48,3060.2,2742.35,3394.3
50,3090.1,2732.6,3443.7
52,3129.75,2769.65,3480.1
54,3167.45,2791.1,3547.05
56,3193.45,2848.3,3562.65
58,3220.1,2817.1,3593.2
60,3244.15,2882.75,3615.95
62,3269.5,2903.55,3670.55
64,3289.65,2902.9,3702.4
66,3313.05,2958.15,3708.25
68,3327.35,2940.6,3738.8
70,3350.75,2965.3,3721.9
72,3369.6,2960.75,3758.95
74,3383.25,2978.3,3784.3
76,3394.3,2986.1,3781.05
78,3430.05,3032.25,3830.45
80,3446.3,3045.25,3846.05
82,3458.65,3052.4,3862.95
84,3469.7,3076.45,3905.85
86,3481.4,3072.55,3903.25
88,3485.95,3075.15,3892.85
90,3488.55,3055.65,3905.85
92,3497,3105.7,3890.9
94,3506.75,3087.5,3931.2
96,3509.35,3081,3955.9
98,3513.9,3105.7,3905.85
100,3516.5,3094,3926.65
102,3523.65,3125.85,3941.6
104,3526.25,3104.4,3939
106,3527.55,3120.65,3963.05
108,3530.15,3119.35,3950.7
110,3530.15,3105.7,3966.95
112,3530.8,3094.65,3944.2
114,3534.05,3106.35,3949.4
116,3535.35,3136.9,3924.7
118,3536,3136.25,3941.6
120,3537.95,3132.35,3948.1
122,3537.95,3124.55,3946.15
124,3539.9,3091.4,3966.3
126,3540.55,3114.15,3961.75
128,3540.55,3120.65,3909.1
130,3541.2,3091.4,3957.2
132,3541.2,3092.05,3961.75
134,3542.5,3104.4,3976.05
136,3543.15,3116.1,3948.1
138,3543.15,3145.35,3978.65
140,3543.15,3120,3938.35
142,3543.15,3129.1,3981.25
144,3543.15,3079.05,3950.7
146,3543.15,3113.5,3941.6
148,3543.15,3117.4,3973.45
150,3543.15,3125.2,3974.75
152,3543.8,3116.1,3965.65
