"fitness_calls","sa_user_cull","sa_user_all","sa_mana_cull","sa_mana_all"
4,24.96,11.75,9847701.35807805,9853798.57428475
6,25.805,13.05,9856435.20118962,9846208.79330212
8,27.7875,14.435,9856077.6564909,9852299.93213522
10,28.08,14.8775,9859790.97179892,9848544.43386512
12,30.1925,16.1875,9861281.4496243,9853202.34561192
14,31.005,14.0825,9862940.40133573,9856679.43150505
16,32.4675,20.9325,9864164.86564212,9855681.8672423
18,33.085,20.935,9863633.76895092,9861581.66689245
20,34.8725,19.89,9865791.5051411,9859353.97005388
22,36.0425,24.9125,9866270.78904428,9859373.51808448
24,36.3025,23.8575,9865904.88800915,9861264.42277678
26,37.57,22.6175,9866363.30028245,9863033.23201868
28,37.57,26.1175,9864418.26689917,9864764.13987502
30,39.91,26.4575,9866175.41795087,9864064.77103907
32,39.715,26.9375,9865881.63493037,9864038.55750168
34,41.3725,28.1875,9866479.9114908,9867946.84371525
36,41.145,27.2675,9867940.96269258,9863579.4273577
38,40.69,26.15,9868411.02925747,9866685.99660362
40,42.9,29.4875,9869735.13805592,9863398.12527375
42,42.38,29.3225,9868963.21009422,9869404.88585437
44,43.9075,29.4,9869485.4896773,9867737.69885185
46,43.7775,31.54,9872057.75933092,9861804.46049068
48,44.005,30.4075,9871886.606462,9861026.8977922
50,45.305,31.6375,9870487.22331905,9858716.3059357
52,44.2975,33.7075,9871638.9862942,9869343.14390007
54,46.605,33.6525,9873997.44327907,9868028.24718978
56,46.085,35.03,9874013.99654122,9865017.91488795
58,45.76,33.375,9874319.17588823,9865533.33969258
60,46.5075,34.2525,9875457.9443447,9864837.9478006
62,46.41,33.1625,9873852.1590173,9857604.19984468
64,46.865,33.7425,9873222.53915435,9866391.41850618
66,47.32,36.64,9877067.46859955,9860693.47222177
68,46.4425,36.995,9877533.66199218,9865090.5115631
70,47.6775,38.425,9878723.09795255,9859963.06988423
72,47.0925,38.5525,9877534.71681483,9862026.06053907
74,48.165,40.48,9879568.3264939,9866012.39882847
76,47.125,42.2725,9878934.18019948,9865300.81340702
78,47.45,41.46,9879925.29897377,9859285.21925687
80,48.7825,42.4875,9880636.7792623,9868774.40400567
82,48.685,42.3175,9879551.00685915,9867020.9968761
84,48.4575,44.1375,9882317.03530728,9866831.22162458
86,48.9775,44.72,9881541.12047227,9866178.70658118
88,49.985,44.89,9881460.03052093,9865202.91577243
90,50.6675,44.04,9881979.0805486,9866622.45538672
92,47.5475,43.225,9882744.39871462,9865045.54008305
94,50.0825,45.95,9885888.62126978,9865412.07778545
96,49.8875,47.0175,9886209.9808347,9868016.75797457
98,49.4,46.59,9886316.3290008,9868600.15301145
100,49.985,45.7275,9889264.3628545,9866050.4749006
102,50.05,47.3225,9887539.6791861,9863446.42427965
104,50.1475,45.9275,9890774.24295703,9866577.05075053
106,50.6675,45.8625,9892857.64012625,9867556.3761089
108,50.05,49.095,9889766.53935573,9863780.1362244
110,49.335,48.47,9893189.71538953,9859960.94328937
112,50.635,48.8475,9890691.5352046,9861303.6628776
114,49.8225,48.285,9888445.80407578,9862657.63513402
116,51.09,49.495,9893439.6654171,9864297.18712638
118,51.1875,46.4425,9891427.68570583,9865963.9764267
120,50.115,50.55,9896025.55784632,9863051.34376715
122,49.92,50.3925,9894380.6726815,9868584.6246044
124,50.9925,45.5375,9896129.2295738,9868463.06853307
126,51.74,49.1775,9893452.46226167,9867869.34557413
128,49.4,51.025,9897630.20151385,9858690.2901665
130,50.57,51.325,9897966.12825393,9865971.87937313
132,49.8875,51.51,9894822.2567983,9863820.25482232
134,50.5375,52.5225,9897246.74707215,9867236.33979135
136,50.2125,51.935,9897398.81675155,9865999.12573588
138,50.8625,51.66,9900825.31149828,9868303.20632085
140,49.4975,54.09,9893747.67311845,9868343.84796477
142,50.9925,53.3775,9900086.41227577,9868230.91888595
144,49.01,52.6625,9897955.16687942,9867885.85599635
146,49.6275,54.5025,9896585.06181125,9862062.2134875
148,50.9925,53.245,9897764.63709648,9865308.22643467
150,49.92,54.98,9900158.2714048,9866425.9286849
152,50.4725,52.91,9900213.33639893,9858326.35826725
154,51.22,54.4675,9897168.59122735,9866827.17426017
156,51.5775,53.95,9899623.3288015,9863902.34572368
158,51.0575,53.285,9894573.009276,9867242.84872455
160,51.1225,55.085,9902143.86623387,9867766.02086812
162,51.7075,53.585,9896245.47476988,9863078.17254102
164,51.87,54.105,9902583.43781,9870251.57445618
166,51.4475,55.7475,9900396.91556725,9866591.0362622
168,49.5625,56.1725,9902351.2887473,9864129.98201875
170,51.48,55.78,9901340.75562852,9866550.18527347
172,50.115,55.67,9899952.07033945,9870310.70770423
174,50.57,56.3075,9899326.93950795,9870197.0304203
176,50.7325,59.5325,9898935.73157842,9868442.73544643
178,50.8625,55.47,9901672.28541042,9866295.88745403
180,51.1875,56.6725,9900218.7594881,9863883.6947177
182,50.7,58.82,9900754.27776458,9868055.43183245
184,50.7325,57.215,9902624.40408915,9860227.2883759
186,50.115,55.885,9900979.06522037,9867032.53030238
188,50.4725,57.48,9900639.12243808,9864667.41233323
190,50.7975,56.0075,9899514.79834395,9865602.85454248
192,50.57,58.43,9904752.3610998,9869444.40190228
194,50.375,56.6675,9902365.16865103,9864254.55887315
196,49.855,58.4325,9902928.6893864,9866528.10802883
198,50.9275,58.1825,9902443.57633895,9862546.7993494
200,51.805,58.5625,9901974.33028765,9869198.35626592
202,51.87,58.995,9905368.1897283,9862909.06075072
204,51.1225,60.9725,9902761.90462887,9862014.14965313
206,51.48,58.39,9905215.42348225,9868937.2010458
208,51.285,58.305,9905631.55024685,9870365.22256918
210,50.7,60.2375,9906177.35602823,9867183.5277664
212,50.4075,59.805,9901009.3781362,9860830.88697593
214,51.805,59.0975,9905456.25786752,9870000.93306313
216,50.7975,59.425,9902589.28138163,9863373.3075731
