"Fitness_calls","Mean_Fitness","LCI","UCI"
103,931.25,889.9,974.325
105,2824.15,2466.05,3196.35
107,3183.125,2831.775,3533.25
109,3448.275,3084.575,3802.4
111,3649.375,3306.15,3971.075
113,3836.275,3503.075,4158.55
115,3892.075,3541.3,4250.425
117,4001.675,3639.1,4379.8
119,4104.475,3743.075,4473.45
121,4192.975,3858.025,4534.125
123,4277.3,3931.85,4638.65
125,4354.3,4012.925,4707.6
127,4364,4020.375,4689.525
129,4429.125,4094.225,4755.475
131,4492.675,4167.95,4821.675
133,4568.325,4253.3,4867.7
135,4570,4242.55,4871.525
137,4626.475,4290.525,4923.4
139,4670.425,4332.925,4965.425
141,4702.675,4413.675,5017.225
143,4703.8,4405.475,4988.25
145,4731.65,4442.375,5021.8
147,4736.2,4428.775,5025.15
149,4753.85,4469.175,5063.45
151,4782.925,4485.25,5068.7
153,4812.95,4530.475,5115.375
155,4824.7,4542.425,5130.4
157,4825.375,4524.25,5109.475
159,4825.375,4545.575,5121.025
161,4831,4514.35,5109.7
163,4831,4548.35,5140.65
165,4847.025,4547.3,5143.65
167,4891.4,4622.525,5191.95
169,4891.4,4589.05,5181.25
171,4920.2,4635.2,5216.475
173,4920.2,4613.15,5188.875
175,4920.2,4618.15,5205.6
177,4920.2,4618.3,5188.75
179,4929.95,4671.8,5231.05
181,4950.65,4674.775,5202.35
183,4951,4664.25,5235.675
185,4951,4696.25,5220.2
187,4951,4669.975,5220.075
189,4951,4689.15,5241.1
191,4964.2,4687.175,5247.9
193,4969.275,4673.15,5254.075
195,4969.275,4684.9,5257.125
197,4969.275,4679.075,5245.475
199,4969.275,4672.325,5235.375
201,4982.325,4682.875,5252.75
203,4982.325,4684.05,5253.875
205,4982.325,4677.4,5277.05
207,4986.5,4710.175,5272.5
209,4986.5,4688.5,5261.3
211,4986.5,4721.9,5272.475
213,4986.5,4717.5,5274.525
215,4987.625,4681.55,5278.1
217,4987.625,4694.05,5258.3
219,4987.625,4697.875,5262.425
221,4987.625,4703.175,5278.575
223,4987.625,4711.55,5282.7
225,4987.625,4724.375,5272.425
227,4987.625,4699.9,5263.025
229,4987.625,4706.075,5266
231,4987.625,4707.75,5278.575
233,4987.625,4693.375,5264.525
235,4987.625,4712.55,5255.4
237,4987.625,4704.45,5247.35
239,4987.625,4706.325,5274.65
241,4987.625,4684.05,5239.25
243,4987.625,4706.95,5249.05
245,4987.625,4696.95,5274.45
247,4999.45,4715.2,5272.5
249,4999.45,4733.7,5262.9
251,4999.45,4715,5290
253,4999.45,4717.15,5275
255,4999.45,4710.45,5264.45
257,4999.45,4717.95,5283.5
259,4999.45,4680.85,5301.75
261,4999.45,4736.95,5290.2
263,4999.45,4726.2,5290.4
265,4999.45,4734.45,5293.7
267,4999.45,4697.7,5282.9
269,4999.45,4706.95,5283.7
271,4999.45,4707.95,5282.5
273,4999.45,4715.2,5272.5
275,4999.45,4726.95,5264.85
277,4999.45,4715.25,5273.1
279,4999.45,4699.1,5259.1
281,4999.45,4735,5264.45
283,4999.45,4717.15,5282.5
285,4999.45,4716.75,5281.95
287,4999.45,4724.45,5273.3
289,4999.45,4707.9,5281.95
291,4999.45,4725.4,5281.95
293,4999.45,4716,5281.95
295,4999.45,4690.2,5282.9
297,4999.45,4718.95,5262.5
299,4999.45,4715.4,5273.9
301,4999.45,4706.75,5282.5
303,4999.45,4727,5284.45
305,4999.45,4712.7,5300.2
307,4999.45,4717.5,5290.2
309,4999.45,4744.25,5285
311,4999.45,4722.7,5319.25
313,4999.45,4725.4,5254.65
315,4999.45,4707.75,5282.5
317,4999.45,4716.75,5283.9
319,4999.45,4706.2,5274.25
321,4999.45,4716.75,5274.25
323,4999.45,4714.25,5290.2
325,4999.45,4724.25,5290
327,4999.45,4726.2,5283.7
329,4999.45,4722.9,5274.45
331,4999.45,4718.7,5301
333,4999.45,4726.95,5274.65
335,4999.45,4697.75,5264.45
337,4999.45,4714.65,5272.5
339,4999.45,4724.65,5282.5
341,4999.45,4724.65,5282.5
343,4999.45,4741.75,5262.7
345,4999.45,4705.2,5265.2
347,4999.45,4722.7,5290.2
349,4999.45,4717.95,5276.95
351,4999.45,4715,5282.7
353,4999.45,4701,5301.75
355,4999.45,4724.45,5272.5
357,4999.45,4723.7,5281.95
359,4999.45,4724.45,5255.2
361,4999.45,4699.45,5264.65
363,4999.45,4724.65,5290
365,4999.45,4700.25,5272.7
367,4999.45,4709.7,5274.25
369,4999.45,4734.25,5290
371,4999.45,4726.95,5290.2
373,4999.45,4725.65,5262.7
375,4999.45,4734.25,5274.45
377,4999.45,4706.75,5264.65
379,4999.45,4715.6,5290.2
381,4999.45,4715.6,5293.7
383,4999.45,4705.8,5291.95
385,4999.45,4725,5281.95
387,4999.45,4709.15,5276.75
389,4999.45,4714.85,5290
391,4999.45,4724.25,5264.45
393,4999.45,4690.4,5256.2
395,4999.45,4707.15,5310.4
397,4999.45,4726.75,5245.4
399,4999.45,4724.45,5281.75
401,4999.45,4726,5291.95
403,4999.45,4696.95,5266.4
405,4999.45,4715.2,5282.9
407,4999.45,4706.75,5274.25
409,4999.45,4724.45,5282.9
411,4999.45,4696.75,5300
413,4999.45,4726,5265.2
415,4999.45,4735,5272.9
417,4999.45,4714.45,5300.2
