"Generation","User_culling","User_all","Manager_culling","Manager_all"
1,1977.1375,1332.01875,33628.2491949182,1865116.8848579
2,2112.0125,1557.11875,35076.0902847126,1869286.58354885
3,2246.075,1791.2625,36564.7742312029,1871333.63072914
4,2369.25,1992.04375,38122.4453578666,1872877.60705181
5,2475.0375,2191.0375,38965.2874925341,1874133.70381285
6,2580.5,2373.39375,41327.8046982549,1875121.76506948
7,2675.5625,2539.05,43851.9535984918,1875983.6298386
8,2764.775,2703.95,48910.4241904691,1876582.45604079
9,2853.175,2857.81875,56465.8570409901,1877124.70313547
10,2929.3875,2997.5,65695.7878423855,1877574.98591254
11,2993.25,3137.84375,71428.0496550351,1877936.24583629
12,3054.1875,3271.1375,72758.8476226125,1878168.12332054
13,3112.525,3389.65625,72879.0675115623,1878301.94129197
14,3156.4,3496.11875,72883.1332197767,1878340.75607715
15,3196.5375,3603.99375,72883.1332197767,1878348.78194064
16,3230.5,3704.45,72883.1332197767,1878356.01419918
17,3253.4125,3794.95625,72883.1332197767,1878358.8602339
18,3265.6,3876.00625,72883.1332197767,1878362.73935162
19,3270.475,3960.8625,72883.1332197767,1878361.93036396
20,3271.6125,4032.375,72883.1332197767,1878364.09558859
21,3272.1,4097.7125,72883.1332197767,1878369.1223645
22,3272.1,4156.58125,72883.1332197767,1878367.45647213
23,3272.1,4213.60625,72883.1332197767,1878370.95732187
24,3272.1,4259.49375,72883.1332197767,1878372.26392063
25,3272.1,4303.4125,72883.1332197767,1878370.2807521
26,3272.1,4333.80625,72883.1332197767,1878369.66946814
27,3272.1,4358.325,72883.1332197767,1878372.56999239
28,3272.1,4380.2125,72883.1332197767,1878372.77493098
29,3272.1,4395.85625,72883.1332197767,1878374.02938031
30,3272.1,4407.475,72883.1332197767,1878376.92712344
31,3272.1,4416.6875,72883.1332197767,1878374.51186019
32,3272.1,4422.39375,72883.1332197767,1878375.84979438
33,3272.1,4426.56875,72883.1332197767,1878376.4258327
34,3272.1,4429.125,72883.1332197767,1878375.6859865
35,3272.1,4431.24375,72883.1332197767,1878374.56907089
36,3272.1,4432.8,72883.1332197767,1878377.33957337
37,3272.1,4434.4625,72883.1332197767,1878373.87645529
38,3272.1,4435.3625,72883.1332197767,1878377.39124733
39,3272.1,4436.39375,72883.1332197767,1878378.38168395
