"Time_steps","GA_time","GA_fit_calls","SA_time","SA_fit_calls"
10,1.46487712860107,1000,1.25899004936218,10000
20,2.72472906112671,2000,2.37627768516541,20000
30,3.9791567325592,3000,3.46554946899414,30000
40,5.21964478492737,4000,4.58120250701904,40000
50,6.52096509933472,5000,5.71806168556213,50000
60,7.71823954582214,6000,6.82577037811279,60000
70,8.9721691608429,7000,7.86479163169861,70000
80,10.2191660404205,8000,9.00137829780579,80000
90,11.4744787216187,9000,10.1884794235229,90000
100,12.5853369235992,10000,11.0991053581238,1e+05
110,13.9345111846924,11000,12.3659641742706,110000
120,15.1683664321899,12000,13.3514742851257,120000
130,16.3509783744812,13000,14.445321559906,130000
140,17.8404445648193,14000,15.776914358139,140000
150,19.1841814517975,15000,16.8976631164551,150000
160,19.9468986988068,16000,17.742734670639,160000
170,21.2424294948578,17000,18.6264810562134,170000
180,22.6883211135864,18000,20.1689884662628,180000
190,23.8195974826813,19000,21.0464255809784,190000
200,24.6797535419464,20000,21.8280031681061,2e+05
