"Fitness_calls","Mean_Fitness","LCI","UCI"
100,9842003.42610329,9789021.31901772,9884835.13388269
200,9852313.6320765,9801010.88175035,9894506.80228321
300,9862254.45984452,9815296.96971484,9903812.06567233
400,9865259.24079342,9817397.95978478,9903357.34895892
500,9866956.63391241,9815212.26691297,9909721.88503553
600,9866982.68135038,9812639.04271306,9908755.25626293
700,9870327.30621076,9822775.9523939,9908869.07325379
800,9868757.7143859,9819135.3070689,9911147.0291578
900,9871827.54741773,9820822.35396813,9911524.82508772
1000,9872677.1157199,9827341.69891995,9911303.87483704
1100,9871714.17123533,9822987.92829539,9911406.85821952
1200,9872062.26624391,9821909.85397128,9911775.42458417
1300,9872322.71263756,9823855.8263899,9910538.93989901
1400,9872880.84116761,9823860.42886562,9912362.15444525
1500,9873353.41783145,9826359.94025271,9911317.51693449
1600,9873278.74879052,9829450.89022355,9913152.57281466
1700,9873698.1251589,9828211.36806374,9911045.06774866
1800,9872632.82311804,9825023.69759394,9911825.16515913
1900,9872756.98529153,9829067.46977319,9912076.64657201
2000,9871306.24920677,9819670.22685457,9911801.6749252
2100,9872743.78134979,9826290.62593342,9911441.64848359
2200,9873615.29184088,9827844.94904958,9910656.09406337
2300,9874045.07823134,9826460.3073472,9911081.7957703
2400,9872243.78943539,9821468.23148974,9909932.71947512
2500,9873150.80755616,9828308.42123277,9911298.09369697
2600,9872403.91448271,9824804.20259981,9913569.46961077
2700,9872947.38747868,9826341.90549879,9915489.50066312
2800,9872608.45816727,9827189.99540436,9911655.11744138
2900,9872781.01676485,9823522.58221808,9912836.74723385
3000,9872122.98959012,9826096.53755834,9914262.22348156
3100,9873129.46154584,9823716.37079666,9910307.117607
3200,9872436.28246302,9823561.50965076,9913526.05693637
3300,9873095.04244928,9826959.33349666,9914205.40341857
3400,9873447.24907436,9826761.11041673,9913823.04037815
3500,9873186.69051099,9823525.8483327,9911421.36760652
3600,9871968.95454014,9823406.34083995,9911983.84014094
3700,9872485.10456479,9821314.43558634,9911796.42222211
3800,9872494.65695719,9821951.66580764,9911351.14741032
3900,9872945.56532125,9825458.22811013,9914500.84795292
4000,9872643.33567497,9830532.3551564,9913046.68604031
