"fitness_calls","ga_user_cull","ga_user_all","ga_mana_cull","ga_mana_all"
200,1677,1016.3125,9844670.11351508,9824714.79817547
300,1813.5,1276.8125,9846150.32572057,9832475.12470315
400,1922.375,1508.0625,9848046.52170932,9836403.88413015
500,2021.5,1746.4375,9849550.15333512,9838553.97765775
600,2140.125,1966.1875,9852259.72642055,9840313.77487453
700,2232.75,2202.8125,9851789.27991213,9841950.1913246
800,2315.625,2377.4375,9854488.17625538,9843030.75976515
900,2387.125,2578.9375,9858590.62659918,9843685.6850718
1000,2487.875,2754.9375,9864113.72846245,9844496.28314135
1100,2522,2922.875,9869477.10119222,9845006.86646345
1200,2606.5,3077.5,9872776.39124143,9845479.98614988
1300,2652,3180.6875,9876811.12840297,9845850.55125435
1400,2713.75,3347.125,9878740.82232075,9846220.88110498
1500,2754.375,3446.25,9878740.82232075,9846434.0228573
1600,2795,3563.625,9878740.82232075,9846532.94045733
1700,2814.5,3639.0625,9878740.82232075,9846558.66911992
1800,2838.875,3747.375,9878740.82232075,9846562.70662523
1900,2843.75,3836.25,9878740.82232075,9846562.69179578
2000,2850.25,3914.625,9878740.82232075,9846558.44908947
2100,2856.75,3998.625,9878740.82232075,9846563.92311725
2200,2861.625,4063.8125,9878740.82232075,9846560.11106527
2300,2861.625,4142.75,9878740.82232075,9846560.11125777
2400,2861.625,4227.5625,9878740.82232075,9846554.08963095
2500,2861.625,4283.3125,9878740.82232075,9846558.55559222
2600,2861.625,4337.625,9878740.82232075,9846526.92902735
2700,2861.625,4373.375,9878740.82232075,9846555.39757405
2800,2861.625,4408,9878740.82232075,9846555.55073033
2900,2861.625,4445.4375,9878740.82232075,9846563.94467942
3000,2861.625,4465,9878740.82232075,9846560.62803025
3100,2861.625,4484.5,9878740.82232075,9846563.9180021
3200,2861.625,4496.0625,9878740.82232075,9846563.92368705
3300,2861.625,4517.3125,9878740.82232075,9846553.11722407
3400,2861.625,4533.9375,9878740.82232075,9846564.06163692
3500,2861.625,4547.625,9878740.82232075,9846546.89340385
3600,2861.625,4554.75,9878740.82232075,9846558.57851678
3700,2861.625,4557.5625,9878740.82232075,9846564.03894995
3800,2861.625,4560.75,9878740.82232075,9846558.61176232
3900,2861.625,4564.3125,9878740.82232075,9846564.03347448
4000,2861.625,4565.625,9878740.82232075,9846550.8230281
