"Generation","User_culling","User_all","Manager_culling","Manager_all"
1,1789.2875,2117.40625,2017.26051153056,314275.417653588
2,1868.5875,2185.1375,5784.30561840907,322863.804615468
3,1956.6625,2264.23125,8718.02570389584,335647.985069132
4,2019.0625,2329.725,9992.63326048292,344430.378994538
5,2090.8875,2377.59375,12488.7637992147,354508.326989853
6,2152.6375,2434.575,13759.212230118,355528.763173567
7,2216.825,2492.775,16566.8216447104,364712.486255217
8,2283.2875,2540.325,17715.8570046369,368046.006072313
9,2342.275,2586.79375,19819.7799878474,376298.468402805
10,2399.475,2632.84375,21584.0000136644,373773.27223282
11,2441.2375,2669.275,22805.9297989495,374382.701785558
12,2482.1875,2715.39375,24129.6180357505,381377.267079272
13,2518.9125,2741.3,25796.9984956458,384891.963681703
14,2559.7,2783.075,27893.0622275304,382872.738114397
15,2601.4625,2815.29375,30761.6896852143,385887.423081165
16,2640.625,2861.9875,31710.1232257243,386940.41133589
17,2678.8125,2902.0625,31673.1319755204,379915.430887463
18,2704,2933.5625,32900.4304765183,383824.687850435
19,2740.725,2968.9375,33588.6407724451,387755.20596423
20,2770.95,3004.5125,35094.5215682909,382683.248237755
21,2805.075,3041.78125,36653.5626174584,384311.307131892
22,2835.625,3075.3125,36254.6880982481,385956.095212275
23,2860.4875,3112.4,37855.1810094472,389336.252526525
24,2887.625,3143.9875,38700.4663021546,388929.022144867
25,2911.675,3177.75625,38746.0249691419,391397.050198883
26,2934.425,3210.01875,40098.7301390283,390435.106435558
27,2950.8375,3247.06875,40844.7496029884,387268.461875218
28,2966.7625,3278.9,42128.8676065877,387279.799461298
29,2988.05,3308.03125,43138.2974768896,388569.177783158
30,3011.45,3336.81875,42344.7593565993,389548.679396298
31,3025.5875,3368.11875,43606.0574196801,384523.687731415
32,3038.9125,3403.7875,43995.657225972,382363.58218743
33,3050.9375,3431.325,44992.6328484621,390564.084873255
34,3060.6875,3458.31875,46945.6107975952,385713.148863533
35,3070.7625,3487.4375,46540.7759381868,387991.417569082
36,3079.5375,3516.71875,48362.0648612473,388063.685786388
37,3086.525,3542.91875,49270.6827512681,386901.501152428
38,3094.8125,3567.08125,48904.8885512333,391351.718232606
39,3104.075,3591.85,50595.5145607907,390330.406455243
